episodio,distancia,tempo,recompensa,passos,sucesso
1,0.692,3.333,-239.171,100,0
2,0.595,3.433,-250.564,103,0
3,0.721,3.400,-261.255,102,0
4,0.596,3.133,-266.906,94,0
5,0.774,3.333,-253.831,100,0
6,0.725,3.300,-260.047,99,0
7,0.686,3.433,-232.124,103,0
8,0.728,3.367,-261.717,101,0
9,0.598,3.033,-263.817,91,0
10,0.329,2.933,-304.811,88,0
11,0.710,3.567,-233.978,107,0
12,0.705,3.133,-257.267,94,0
13,0.695,3.333,-235.648,100,0
14,0.697,3.300,-237.353,99,0
15,0.564,3.167,-280.947,95,0
16,0.751,3.333,-260.370,100,0
17,0.228,2.833,-329.991,85,0
18,0.311,3.033,-313.760,91,0
19,0.360,3.033,-304.669,91,0
20,0.714,3.533,-236.969,106,0
21,0.515,3.200,-287.289,96,0
22,0.456,3.167,-290.154,95,0
23,0.685,3.333,-235.346,100,0
24,0.656,3.133,-258.089,94,0
25,0.392,2.867,-298.121,86,0
26,0.324,2.933,-307.058,88,0
27,0.641,3.367,-243.946,101,0
28,0.680,3.433,-237.810,103,0
29,0.788,3.300,-255.739,99,0
30,0.740,3.267,-259.690,98,0
31,0.391,2.967,-296.196,89,0
32,0.297,3.000,-319.613,90,0
33,0.695,3.400,-237.827,102,0
34,0.645,3.300,-271.012,99,0
35,0.755,3.367,-235.842,101,0
36,0.728,3.067,-251.779,92,0
37,0.712,3.200,-262.431,96,0
38,0.666,3.467,-244.561,104,0
39,0.737,3.367,-258.019,101,0
40,0.488,2.933,-279.589,88,0
41,0.744,3.367,-260.152,101,0
42,0.709,3.300,-253.151,99,0
43,0.546,3.167,-283.586,95,0
44,0.534,3.033,-276.153,91,0
45,0.685,3.367,-241.537,101,0
46,0.693,3.400,-238.239,102,0
47,0.721,3.367,-231.935,101,0
48,0.703,3.400,-237.383,102,0
49,0.721,3.300,-256.797,99,0
50,0.492,2.933,-279.056,88,0
51,0.680,3.267,-264.046,98,0
52,0.670,3.233,-260.016,97,0
53,0.740,3.300,-261.778,99,0
54,0.724,3.367,-232.424,101,0
55,0.679,3.267,-264.461,98,0
56,0.481,3.133,-290.217,94,0
57,0.669,3.300,-260.481,99,0
58,0.674,3.267,-261.314,98,0
59,0.632,3.233,-269.523,97,0
60,0.450,2.933,-288.420,88,0
61,0.385,2.933,-301.696,88,0
62,0.743,3.467,-229.525,104,0
63,0.726,3.633,-239.526,109,0
64,0.628,3.133,-265.563,94,0
65,0.795,3.500,-226.170,105,0
66,0.474,2.900,-283.883,87,0
67,0.716,3.167,-253.945,95,0
68,0.624,3.267,-244.600,98,0
69,0.661,3.333,-263.795,100,0
70,0.715,3.367,-232.782,101,0
71,0.592,3.233,-250.298,97,0
72,0.700,3.133,-252.739,94,0
73,0.406,2.933,-300.348,88,0
74,0.573,3.133,-274.779,94,0
75,0.672,3.200,-262.440,96,0
76,0.725,3.233,-260.623,97,0
77,0.764,3.400,-221.691,102,0
78,0.677,3.200,-259.335,96,0
79,0.584,3.067,-283.792,92,0
80,0.256,2.933,-325.987,88,0
81,0.675,3.367,-269.477,101,0
82,0.730,3.500,-231.006,105,0
83,0.539,3.233,-287.399,97,0
84,0.375,2.900,-303.595,87,0
85,0.594,3.133,-275.562,94,0
86,0.720,3.367,-234.090,101,0
87,0.681,3.133,-264.382,94,0
88,0.722,3.367,-238.446,101,0
89,0.646,3.233,-261.461,97,0
90,0.567,3.233,-277.491,97,0
91,0.651,3.200,-263.483,96,0
92,0.726,3.467,-234.254,104,0
93,0.456,3.067,-294.814,92,0
94,0.665,3.400,-242.115,102,0
95,0.645,3.333,-274.555,100,0
96,0.736,3.333,-253.457,100,0
97,0.399,2.800,-292.932,84,0
98,0.722,3.167,-250.215,95,0
99,0.660,3.267,-236.026,98,0
100,0.705,3.167,-253.085,95,0
101,0.712,3.433,-232.493,103,0
102,0.747,3.367,-265.760,101,0
103,0.484,3.033,-286.403,91,0
104,-0.976,2.333,-747.680,70,0
105,-1.184,1.333,-740.599,40,0
106,-0.977,1.167,-490.884,35,0
107,0.761,1.800,-400.269,54,0
108,0.700,1.600,-460.995,48,0
109,-1.046,1.500,-590.476,45,0
110,-0.938,0.933,-641.666,28,0
111,-1.120,1.100,-669.462,33,0
112,-0.636,1.600,-650.834,48,0
113,-0.320,1.500,-667.776,45,0
114,-1.345,1.933,-831.525,58,0
