episodio,distancia,tempo,recompensa,passos,sucesso
1,0.692,3.333,-239.171,100,0
2,0.595,3.433,-250.553,103,0
3,0.758,3.433,-257.197,103,0
4,0.473,3.067,-286.021,92,0
5,0.580,3.200,-279.493,96,0
6,0.734,3.233,-260.385,97,0
7,0.576,3.200,-270.252,96,0
8,0.765,3.500,-231.610,105,0
9,0.663,3.233,-263.730,97,0
10,0.495,3.067,-285.304,92,0
11,0.674,3.533,-238.416,106,0
12,0.649,3.033,-262.962,91,0
13,0.533,3.300,-290.055,99,0
14,0.336,2.867,-305.880,86,0
15,0.750,3.367,-253.900,101,0
16,0.498,3.067,-289.908,92,0
17,0.474,3.167,-292.584,95,0
18,0.428,3.100,-293.682,93,0
19,0.668,3.300,-260.925,99,0
20,0.695,3.400,-243.358,102,0
21,0.662,3.367,-240.253,101,0
22,0.707,3.367,-231.183,101,0
23,0.695,3.367,-238.273,101,0
24,0.703,3.167,-258.880,95,0
25,0.702,3.300,-264.593,99,0
26,0.647,3.100,-260.637,93,0
27,0.734,3.300,-224.922,99,0
28,0.703,3.200,-264.101,96,0
29,0.678,3.467,-236.563,104,0
30,0.659,3.333,-245.469,100,0
31,0.531,3.267,-258.269,98,0
32,0.463,3.000,-285.020,90,0
33,0.601,3.200,-271.170,96,0
34,0.727,3.400,-261.688,102,0
35,0.714,3.300,-256.597,99,0
36,0.629,3.167,-259.755,95,0
37,0.635,3.267,-263.252,98,0
38,0.579,3.267,-281.189,98,0
39,0.768,3.500,-263.278,105,0
40,0.658,3.200,-260.865,96,0
41,0.719,3.367,-234.779,101,0
42,0.618,3.267,-246.732,98,0
43,0.449,3.000,-293.454,90,0
44,0.692,3.300,-260.327,99,0
45,0.407,3.067,-300.244,92,0
46,0.491,3.000,-280.600,90,0
47,0.711,3.067,-253.285,92,0
48,0.695,3.267,-264.941,98,0
49,0.695,3.267,-261.897,98,0
50,0.644,3.067,-260.476,92,0
51,0.398,2.867,-291.147,86,0
52,0.726,3.467,-231.789,104,0
53,0.751,3.467,-234.765,104,0
54,0.675,3.300,-264.966,99,0
55,0.401,3.067,-298.443,92,0
56,0.672,3.500,-244.588,105,0
57,0.659,3.300,-241.614,99,0
58,0.678,3.200,-262.707,96,0
59,0.702,3.233,-258.217,97,0
60,0.687,3.433,-234.513,103,0
61,0.741,3.367,-255.977,101,0
62,0.670,3.233,-260.351,97,0
63,0.644,3.233,-266.025,97,0
64,0.713,3.200,-253.549,96,0
65,0.740,3.300,-256.623,99,0
66,0.695,3.333,-238.991,100,0
67,0.413,3.000,-295.881,90,0
