episodio,distancia,tempo,recompensa,passos,sucesso
1,0.692,3.333,-239.176,100,0
2,0.595,3.433,-250.564,103,0
3,0.758,3.433,-257.215,103,0
4,0.473,3.067,-286.038,92,0
5,0.580,3.200,-279.510,96,0
6,0.734,3.233,-260.400,97,0
7,0.576,3.200,-270.267,96,0
8,0.765,3.500,-231.626,105,0
9,0.663,3.233,-263.745,97,0
10,0.495,3.067,-285.318,92,0
11,0.674,3.533,-238.431,106,0
12,0.649,3.033,-262.975,91,0
13,0.533,3.300,-290.069,99,0
14,0.336,2.867,-305.893,86,0
15,0.750,3.367,-253.915,101,0
16,0.498,3.067,-289.922,92,0
17,0.474,3.167,-292.599,95,0
18,0.428,3.100,-293.696,93,0
19,0.668,3.300,-260.940,99,0
20,0.695,3.400,-243.372,102,0
21,0.662,3.367,-240.267,101,0
22,0.707,3.367,-231.197,101,0
23,0.695,3.367,-238.286,101,0
24,0.703,3.167,-258.891,95,0
25,0.702,3.300,-264.605,99,0
26,0.647,3.100,-260.649,93,0
27,0.734,3.300,-224.935,99,0
28,0.703,3.200,-264.113,96,0
29,0.678,3.467,-236.575,104,0
30,0.659,3.333,-245.483,100,0
31,0.531,3.267,-258.282,98,0
32,0.463,3.000,-285.033,90,0
33,0.601,3.200,-271.184,96,0
34,0.727,3.400,-261.704,102,0
35,0.714,3.300,-256.611,99,0
36,0.629,3.167,-259.770,95,0
37,0.635,3.267,-263.266,98,0
38,0.579,3.267,-281.203,98,0
39,0.768,3.500,-263.292,105,0
40,0.658,3.200,-260.879,96,0
41,0.719,3.367,-234.793,101,0
42,0.618,3.267,-246.746,98,0
43,0.449,3.000,-293.467,90,0
44,0.692,3.300,-260.343,99,0
45,0.407,3.067,-300.259,92,0
46,0.491,3.000,-280.614,90,0
47,0.711,3.067,-253.298,92,0
48,0.695,3.267,-264.953,98,0
49,0.695,3.267,-261.910,98,0
50,0.644,3.067,-260.488,92,0
51,0.398,2.867,-291.158,86,0
52,0.726,3.467,-231.802,104,0
53,0.751,3.467,-234.778,104,0
54,0.675,3.300,-264.979,99,0
55,0.401,3.067,-298.456,92,0
56,0.672,3.500,-244.605,105,0
57,0.659,3.300,-241.632,99,0
58,0.678,3.200,-262.724,96,0
59,0.702,3.233,-258.234,97,0
60,0.687,3.433,-234.531,103,0
61,0.741,3.367,-255.993,101,0
62,0.670,3.233,-260.367,97,0
63,0.644,3.233,-266.040,97,0
64,0.713,3.200,-253.564,96,0
65,0.740,3.300,-256.639,99,0
66,0.695,3.333,-239.007,100,0
67,0.413,3.000,-295.896,90,0
68,0.311,2.933,-309.336,88,0
69,0.744,3.267,-258.073,98,0
70,0.448,3.200,-293.851,96,0
71,0.373,2.933,-296.465,88,0
72,0.700,3.133,-252.739,94,0
73,0.406,2.933,-300.348,88,0
74,0.573,3.133,-274.779,94,0
75,0.711,3.233,-258.670,97,0
76,0.725,3.200,-253.386,96,0
77,0.729,3.367,-226.167,101,0
78,0.734,3.267,-259.581,98,0
79,0.567,3.000,-282.449,90,0
80,0.310,3.133,-320.828,94,0
81,0.719,3.167,-256.219,95,0
82,0.722,3.400,-261.155,102,0
83,0.717,3.467,-246.544,104,0
84,0.696,3.300,-255.442,99,0
85,0.504,3.100,-283.895,93,0
86,0.679,3.200,-253.492,96,0
87,0.741,3.333,-262.652,100,0
88,0.737,3.467,-230.494,104,0
89,0.706,3.167,-255.667,95,0
90,0.359,2.967,-307.180,89,0
91,0.681,3.233,-259.230,97,0
92,0.534,3.867,-233.986,116,0
93,0.291,2.800,-310.727,84,0
94,0.615,3.567,-252.360,107,0
95,0.681,3.333,-267.400,100,0
96,0.778,3.633,-239.247,109,0
97,0.518,3.167,-255.856,95,0
98,0.682,3.000,-256.575,90,0
99,0.745,3.333,-259.749,100,0
100,0.595,3.400,-252.255,102,0
101,0.738,3.500,-232.388,105,0
102,0.636,3.533,-251.257,106,0
103,-0.976,2.333,-747.678,70,0
104,-1.184,1.333,-740.591,40,0
105,-0.977,1.167,-490.877,35,0
106,0.761,1.800,-400.260,54,0
107,0.700,1.600,-460.990,48,0
108,-1.046,1.500,-590.474,45,0
109,-0.938,0.933,-641.665,28,0
110,-1.120,1.100,-669.461,33,0
111,-0.636,1.600,-650.835,48,0
112,-0.320,1.500,-667.776,45,0
113,-1.345,1.933,-831.525,58,0
114,-1.143,1.500,-718.153,45,0
115,-0.929,1.300,-516.234,39,0
116,-1.114,1.667,-649.626,50,0
117,-0.752,1.167,-575.490,35,0
118,-0.923,1.567,-594.041,47,0
119,0.594,1.900,-458.255,57,0
120,-1.062,1.300,-518.078,39,0
121,0.414,3.233,-604.641,97,0
122,-0.969,1.333,-641.852,40,0
