# RESUMO ESTATÍSTICO - COMPARAÇÃO DE TREINAMENTOS
##################################################
# Arquivo: training_data.json
# Robot: robot_stage4
# Algorithm: TD3
# Environment: todos_alternados
# Data: 2025-11-27T00:55:09.220705
##################################################
# QUADRO DE RESUMO POR TIPO DE PISTA padrão
Métrica,PR,PBA,PG,PRB,PRD,PRA,MÉDIA
Total Episódios,2337,2337,2337,2337,2336,2336,
Melhor Distancia,9.038,9.041,8.06,9.042,9.041,9.042,
Maior Recompensa,5633.946,5700.918,5240.532,4908.7,5599.217,5787.358,
Menor Distância,-1.403,-1.348,-1.262,-1.202,-1.207,-1.313,
Média recompensa,2144.221,3157.337,2276.511,1660.315,2165.239,2163.459,2261.18
Média Distância,4.351,5.754,3.404,4.256,4.421,4.405,4.432
Episodios de sucesso,127,646,0,138,147,148,
Percentual de Sucessos,5.40%,27.60%,0.00%,5.90%,6.30%,6.30%,8.60%
Total de Passos,532134,682488,731916,397978,538590,537287,
Total tempo (s),17737.8,22749.6,24397.2,13265.933,17953.0,17909.567,
Primeiro episódio de Sucesso,3774,3943,0,7600,3977,3711,
Soma passos até Primeiro Sucesso,88054,109170,0,160950,97496,82233,
Tempo do Primeiro Sucesso (s),14.167,13.767,0,9.733,14.467,14.6,
Número do Episódio mais rápido >9m,12042,7753,0,11302,7091,7743,
Melhor Tempo do Percurso (9m) (s),12.233,10.6,0,8.9,11.9,12.233,
% Sucessos depois de 9m,7.40%,38.50%,0.00%,12.90%,8.80%,8.60%,15.24%
##################################################
# QUADRO DE RESUMO POR TIPO DE PISTA DPG
Métrica,PR,PBA,PG,PRB,PRD,PRA,MÉDIA
Total Episódios,732,733,733,732,732,732,
Melhor Distancia,6.064,6.717,5.985,6.326,5.857,3.133,
Maior Recompensa,3377.265,3147.446,2676.459,2829.803,2028.697,3132.887,
Menor Distância,-1.235,-1.214,-1.496,-1.322,-1.425,-1.288,
Média recompensa,177.128,162.533,181.471,163.94,55.309,79.694,136.679
Média Distância,0.798,0.808,0.841,0.805,0.802,0.129,0.697
Episodios de sucesso,0,0,0,0,0,0,
Percentual de Sucessos,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Total de Passos,72314,73790,84876,75868,57411,88987,
Total tempo (s),2410.467,2459.667,2829.2,2528.933,1913.7,2966.233,
Primeiro episódio de Sucesso,0,0,0,0,0,0,
Soma passos até Primeiro Sucesso,0,0,0,0,0,0,
Tempo do Primeiro Sucesso (s),0,0,0,0,0,0,
Número do Episódio mais rápido >9m,0,0,0,0,0,0,
Melhor Tempo do Percurso (9m) (s),0,0,0,0,0,0,
% Sucessos depois de 9m,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
# DADOS DETALHADOS DOS EPISÓDIOS
Pista,episodio,distancia,tempo,recompensa,passos,successos,imu_x,imu_y,imu_z,roll_deg,pitch_deg,yaw_deg,imu_average_x_vel,imu_average_y_vel,imu_average_z_vel,roll_vel_deg,pitch_vel_deg,yaw_vel_deg,imu_x_vel,imu_y_vel,imu_z_vel,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel
PR,1,0.295,10.000,72.248,300,0,0.445,0.135,0.810,-10.480,29.435,-5.598,0.030,0.013,-0.007,-4.171,1.282,-0.199,0.020,0.057,-0.009,-0.183,0.514,-0.098,-0.073,0.022,-0.003
PBA,2,0.235,10.000,70.219,300,0,0.385,0.087,0.828,-6.056,30.247,-2.322,0.025,0.008,-0.006,5.531,-1.694,0.146,-0.022,-0.076,-0.002,-0.106,0.528,-0.041,0.097,-0.030,0.003
PG,3,0.238,10.000,67.520,300,0,0.388,0.087,0.838,-5.615,25.686,-2.335,0.024,0.008,-0.006,-1.095,1.107,-0.495,0.016,0.012,-0.002,-0.098,0.448,-0.041,-0.019,0.019,-0.009
PRA,4,0.204,10.000,51.919,300,0,0.354,0.059,0.833,-4.976,26.991,-2.833,0.021,0.006,-0.005,-2.543,-1.943,-1.019,-0.030,0.037,-0.008,-0.087,0.471,-0.049,-0.044,-0.034,-0.018
PRB,5,0.256,10.000,73.823,300,0,0.406,0.094,0.812,-8.995,32.172,-4.942,0.026,0.009,-0.008,-4.052,-2.622,0.001,-0.037,0.054,0.011,-0.157,0.562,-0.086,-0.071,-0.046,0.000
PRD,6,0.188,10.000,62.973,300,0,0.338,0.048,0.840,-3.105,26.563,0.306,0.020,0.004,-0.005,-1.479,2.340,-0.758,0.033,0.022,-0.013,-0.054,0.464,0.005,-0.026,0.041,-0.013
PR,7,0.166,10.000,56.588,300,0,0.316,0.038,0.853,-1.977,24.175,-0.194,0.018,0.004,-0.005,-1.131,3.043,-0.086,0.042,0.019,-0.009,-0.035,0.422,-0.003,-0.020,0.053,-0.002
PBA,8,0.261,10.000,71.823,300,0,0.411,0.108,0.827,-8.518,27.616,-3.244,0.027,0.010,-0.007,-0.206,-1.976,0.464,-0.030,0.002,-0.002,-0.149,0.482,-0.057,-0.004,-0.034,0.008
PG,9,0.242,10.000,68.355,300,0,0.392,0.078,0.837,-5.515,26.517,-3.862,0.025,0.007,-0.007,-0.820,1.774,1.313,0.036,0.013,-0.004,-0.096,0.463,-0.067,-0.014,0.031,0.023
PRA,10,0.256,10.000,70.416,300,0,0.406,0.066,0.828,-5.859,28.123,-2.261,0.026,0.006,-0.007,-3.396,-1.310,-0.458,-0.019,0.049,-0.009,-0.102,0.491,-0.039,-0.059,-0.023,-0.008
PRB,11,0.238,10.000,71.262,300,0,0.388,0.045,0.843,-4.420,24.967,-2.266,0.025,0.005,-0.006,0.434,-1.921,0.211,-0.027,-0.008,0.012,-0.077,0.436,-0.040,0.008,-0.034,0.004
PRD,12,0.236,10.000,58.852,300,0,0.386,0.101,0.819,-8.384,30.146,-4.410,0.025,0.010,-0.007,-1.618,2.185,-0.162,0.034,0.011,-0.014,-0.146,0.526,-0.077,-0.028,0.038,-0.003
PR,13,0.276,10.000,68.402,300,0,0.426,0.137,0.809,-9.630,29.841,-4.398,0.028,0.013,-0.007,-0.751,4.110,-0.564,0.051,0.003,-0.013,-0.168,0.521,-0.077,-0.013,0.072,-0.010
PBA,14,0.211,10.000,64.226,300,0,0.361,0.013,0.860,-0.920,22.893,1.142,0.023,0.002,-0.005,-0.707,-1.887,0.401,-0.028,0.007,-0.002,-0.016,0.400,0.020,-0.012,-0.033,0.007
PG,15,0.197,10.000,61.289,300,0,0.347,0.051,0.849,-1.666,24.148,0.511,0.022,0.005,-0.006,3.440,-5.568,0.347,-0.078,-0.046,0.028,-0.029,0.421,0.009,0.060,-0.097,0.006
PRA,16,0.248,10.000,62.234,300,0,0.398,0.092,0.826,-7.460,27.012,-3.219,0.025,0.009,-0.008,-3.262,0.873,-0.171,0.017,0.044,-0.010,-0.130,0.471,-0.056,-0.057,0.015,-0.003
PRB,17,0.219,10.000,66.103,300,0,0.369,0.070,0.846,-3.285,25.553,-1.820,0.023,0.007,-0.006,-0.053,6.249,0.070,0.094,-0.020,-0.029,-0.057,0.446,-0.032,-0.001,0.109,0.001
PRD,18,0.335,10.000,78.147,300,0,0.485,0.108,0.812,-9.428,28.502,-3.573,0.033,0.010,-0.008,-2.601,2.603,0.502,0.036,0.039,-0.005,-0.165,0.497,-0.062,-0.045,0.045,0.009
PR,19,0.181,10.000,55.938,300,0,0.331,0.065,0.848,-2.730,24.401,-0.830,0.018,0.005,-0.006,5.815,-0.740,0.010,-0.015,-0.082,-0.007,-0.048,0.426,-0.014,0.101,-0.013,0.000
PBA,20,0.300,10.000,74.021,300,0,0.450,0.150,0.798,-12.143,30.667,-7.313,0.030,0.014,-0.008,-0.687,6.035,0.004,0.083,0.009,-0.015,-0.212,0.535,-0.128,-0.012,0.105,0.000
PG,21,0.194,10.000,63.865,300,0,0.344,0.085,0.839,-3.655,27.216,-1.147,0.022,0.008,-0.006,-1.526,0.737,0.316,0.008,0.020,-0.003,-0.064,0.475,-0.020,-0.027,0.013,0.006
PRA,22,0.313,10.000,80.464,300,0,0.463,0.123,0.803,-12.220,31.525,-6.098,0.031,0.013,-0.008,-6.462,4.211,-0.869,0.051,0.095,-0.029,-0.213,0.550,-0.106,-0.113,0.073,-0.015
PRB,23,0.193,10.000,63.072,300,0,0.343,0.079,0.833,-4.593,28.533,-2.310,0.020,0.007,-0.005,-3.174,2.161,-0.366,0.026,0.047,-0.007,-0.080,0.498,-0.040,-0.055,0.038,-0.006
PRD,24,0.273,10.000,75.605,300,0,0.423,0.090,0.830,-6.753,26.905,-3.050,0.028,0.008,-0.007,2.726,-0.826,0.196,-0.012,-0.039,0.003,-0.118,0.470,-0.053,0.048,-0.014,0.003
PR,25,0.234,10.000,68.234,300,0,0.384,0.065,0.824,-5.700,30.665,-3.570,0.024,0.005,-0.006,-3.299,3.992,-1.550,0.056,0.070,-0.017,-0.099,0.535,-0.062,-0.058,0.070,-0.027
PBA,26,0.255,10.000,70.991,300,0,0.405,0.089,0.831,-5.845,27.730,-2.727,0.026,0.008,-0.006,-7.501,5.909,0.097,0.081,0.104,-0.022,-0.102,0.484,-0.048,-0.131,0.103,0.002
PG,27,0.189,10.000,63.215,300,0,0.339,0.063,0.843,-3.392,24.803,-1.924,0.020,0.006,-0.006,-0.704,1.534,-0.354,0.022,0.006,-0.005,-0.059,0.433,-0.034,-0.012,0.027,-0.006
PRA,28,0.182,10.000,60.377,300,0,0.332,0.053,0.840,-3.302,26.390,-2.269,0.019,0.005,-0.006,-2.491,0.487,-0.269,0.059,0.043,0.006,-0.058,0.461,-0.040,-0.043,0.008,-0.005
PRB,29,0.219,10.000,61.932,300,0,0.369,0.096,0.828,-6.200,27.221,-2.813,0.022,0.008,-0.006,-2.948,1.439,0.535,0.021,0.038,-0.004,-0.108,0.475,-0.049,-0.051,0.025,0.009
PRD,30,0.275,10.000,66.840,300,0,0.425,0.102,0.819,-6.974,29.586,-3.967,0.029,0.010,-0.007,-3.038,3.337,0.170,0.048,0.042,-0.021,-0.122,0.516,-0.069,-0.053,0.058,0.003
PR,31,0.259,10.000,68.395,300,0,0.409,0.051,0.829,-5.216,28.466,-1.393,0.026,0.006,-0.007,-0.932,4.090,0.028,0.058,0.013,-0.004,-0.091,0.497,-0.024,-0.016,0.071,0.000
PBA,32,0.186,10.000,58.343,300,0,0.336,0.031,0.850,-2.642,24.738,-1.194,0.020,0.003,-0.007,-0.081,0.184,-0.003,0.003,0.004,0.001,-0.046,0.432,-0.021,-0.001,0.003,-0.000
PG,33,0.307,10.000,72.545,300,0,0.457,0.123,0.800,-10.336,32.724,-4.957,0.031,0.012,-0.008,1.554,2.911,0.282,0.042,-0.020,-0.007,-0.180,0.571,-0.087,0.027,0.051,0.005
PRA,34,0.126,10.000,48.255,300,0,0.276,-0.004,0.863,0.068,19.851,0.795,0.013,0.000,-0.005,-2.218,-0.411,-0.111,-0.007,0.036,-0.004,0.001,0.346,0.014,-0.039,-0.007,-0.002
PRB,35,0.246,10.000,68.319,300,0,0.396,0.092,0.826,-6.865,27.746,-2.263,0.024,0.009,-0.006,-1.169,1.858,0.263,0.024,0.021,-0.001,-0.120,0.484,-0.039,-0.020,0.032,0.005
PRD,36,0.252,10.000,69.343,300,0,0.402,0.055,0.832,-5.608,26.693,-1.639,0.026,0.005,-0.006,2.562,-2.996,-0.310,-0.039,-0.041,0.012,-0.098,0.466,-0.029,0.045,-0.052,-0.005
PR,37,0.261,10.000,69.454,300,0,0.411,0.083,0.827,-7.089,28.295,-3.340,0.027,0.008,-0.007,-5.640,2.328,-0.063,0.037,0.093,0.002,-0.124,0.494,-0.058,-0.098,0.041,-0.001
PBA,38,0.284,10.000,74.106,300,0,0.434,0.079,0.826,-7.579,27.879,-2.995,0.029,0.007,-0.008,0.951,1.824,0.127,0.023,-0.001,-0.008,-0.132,0.487,-0.052,0.017,0.032,0.002
PG,39,0.238,10.000,67.337,300,0,0.388,0.079,0.840,-5.117,26.031,-1.842,0.025,0.007,-0.006,-3.710,3.083,-0.803,0.044,0.048,-0.016,-0.089,0.454,-0.032,-0.065,0.054,-0.014
