# RESUMO ESTATÍSTICO - COMPARAÇÃO DE TREINAMENTOS
##################################################
# Arquivo: training_data.json
# Robot: robot_stage4
# Algorithm: TD3
# Environment: todos_alternados
# Data: 2025-11-27T10:20:18.673579
##################################################
# QUADRO DE RESUMO POR TIPO DE PISTA
Métrica,PR,PBA,PG,PRB,PRD,PRA,MÉDIA
Total Episódios,831,832,832,831,831,832,
Melhor Distancia,7.956,9.011,7.762,8.21,7.743,4.6,
Maior Recompensa,3989.755,4790.87,4063.704,4108.724,3026.948,3642.044,
Menor Distância,-1.235,-1.214,-1.496,-1.322,-1.425,-1.288,
Média recompensa,443.672,433.445,476.893,430.762,234.29,328.199,391.21
Média Distância,1.334,1.332,1.415,1.336,1.23,0.396,1.174
Episodios de sucesso,0,1,0,0,0,0,
Percentual de Sucessos,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
Total de Passos,99835,101298,116110,103621,72945,124593,
Total tempo (s),3327.833,3376.6,3870.333,3454.033,2431.5,4153.1,
Primeiro episódio de Sucesso,0,4903,0,0,0,0,
Soma passos até Primeiro Sucesso,0,97206,0,0,0,0,
Tempo do Primeiro Sucesso (s),0,14.967,0,0,0,0,
Número do Episódio mais rápido >9m,0,4903,0,0,0,0,
Melhor Tempo do Percurso (9m) (s),0,14.967,0,0,0,0,
% Sucessos depois de 9m,0.00%,6.70%,0.00%,0.00%,0.00%,0.00%,6.70%
##################################################
# DADOS DETALHADOS DOS EPISÓDIOS
Pista,episodio,distancia,tempo,recompensa,passos,successos,imu_x,imu_y,imu_z,roll_deg,pitch_deg,yaw_deg,imu_average_x_vel,imu_average_y_vel,imu_average_z_vel,roll_vel_deg,pitch_vel_deg,yaw_vel_deg,imu_x_vel,imu_y_vel,imu_z_vel,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel
PBA,1,-0.959,0.933,-489.986,28,0,-0.809,0.093,0.395,4.087,-81.743,-4.370,-1.059,0.124,-0.652,18.657,-154.682,15.733,-1.568,0.091,-3.254,0.071,-1.427,-0.076,0.326,-2.700,0.275
PG,2,-1.487,2.733,-741.094,82,0,-1.337,-0.190,0.480,50.645,-45.220,-66.612,-0.558,-0.056,-0.198,-47.256,-166.794,-82.168,-2.143,0.737,-2.516,0.884,-0.789,-1.163,-0.825,-2.911,-1.434
PRA,3,-0.558,0.667,-258.708,20,0,-0.408,-0.042,0.794,-23.636,-41.392,67.071,-0.843,-0.127,-0.243,-47.394,-193.750,203.110,-1.374,-0.594,-1.877,-0.413,-0.722,1.171,-0.827,-3.382,3.545
PRB,4,-1.014,1.367,-399.191,41,0,-0.864,0.574,0.557,-74.350,-50.946,62.120,-0.758,0.427,-0.336,-145.037,-131.780,51.617,-1.708,0.809,-2.798,-1.298,-0.889,1.084,-2.531,-2.300,0.901
PRD,5,-1.005,0.867,-475.133,26,0,-0.855,0.024,0.486,43.403,-73.903,-36.540,-1.208,0.008,-0.576,114.550,-211.916,-29.684,-1.808,-0.276,-3.025,0.758,-1.290,-0.638,1.999,-3.699,-0.518
PR,6,-0.469,2.033,-485.698,61,0,-0.319,0.965,0.476,-71.749,16.609,29.641,-0.236,0.472,-0.257,-109.700,-80.572,-20.726,-0.382,1.006,-2.029,-1.252,0.290,0.517,-1.915,-1.406,-0.362
PBA,7,-0.776,1.033,-328.605,31,0,-0.626,-0.380,0.410,107.419,-83.762,-78.230,-0.786,-0.385,-0.577,92.514,-204.052,21.808,-1.293,-0.881,-3.267,1.875,-1.462,-1.365,1.615,-3.561,0.381
PG,8,-0.983,0.900,-351.122,27,0,-0.833,-0.118,0.397,79.082,-77.620,-81.634,-1.130,-0.125,-0.673,83.232,-204.016,-26.623,-1.400,0.176,-3.441,1.380,-1.355,-1.425,1.453,-3.561,-0.465
PRA,9,-1.108,1.200,-422.149,36,0,-0.958,0.001,0.500,-141.932,-88.942,148.403,-0.950,0.040,-0.429,-66.149,-255.751,-15.847,-2.112,0.341,-3.037,-2.477,-1.552,2.590,-1.155,-4.464,-0.277
PRB,10,-0.968,0.933,-357.887,28,0,-0.818,0.077,0.460,70.483,-84.121,-82.115,-1.070,0.113,-0.612,-101.357,-191.098,-32.786,-1.589,1.046,-3.329,1.230,-1.468,-1.433,-1.769,-3.335,-0.572
PRD,11,-0.812,1.067,-457.388,32,0,-0.662,0.336,0.449,7.692,-70.959,-31.008,-0.773,0.333,-0.514,-149.208,-131.215,-2.419,-1.264,1.110,-2.996,0.134,-1.238,-0.541,-2.604,-2.290,-0.042
PR,12,-0.614,0.967,-524.199,29,0,-0.464,0.694,0.431,-66.238,-22.746,24.129,-0.642,0.730,-0.564,-153.291,-76.716,-10.448,-0.984,1.093,-2.753,-1.156,-0.397,0.421,-2.675,-1.339,-0.182
PBA,13,-1.177,1.733,-634.822,52,0,-1.027,-0.973,0.459,78.991,-40.178,-46.115,-0.694,-0.580,-0.318,104.456,-148.758,2.620,-1.619,-0.675,-2.747,1.379,-0.701,-0.805,1.823,-2.596,0.046
PG,14,-0.869,0.900,-452.200,27,0,-0.719,-0.284,0.443,2.060,-69.182,16.270,-0.974,-0.365,-0.587,214.560,-169.581,-2.548,-1.387,-1.347,-3.076,0.036,-1.207,0.284,3.745,-2.960,-0.044
PRA,15,-0.998,1.433,-434.779,43,0,-0.848,-0.092,0.419,76.425,-51.924,-65.433,-0.715,-0.044,-0.417,-28.738,-198.568,-8.182,-1.771,0.296,-3.051,1.334,-0.906,-1.142,-0.502,-3.466,-0.143
PRB,16,-0.938,1.033,-435.503,31,0,-0.788,0.360,0.686,-72.141,-41.146,61.592,-0.949,0.321,-0.320,-65.663,-156.194,3.163,-1.955,-0.073,-2.059,-1.259,-0.718,1.075,-1.146,-2.726,0.055
PRD,17,-1.141,1.167,-537.466,35,0,-0.991,-0.214,0.469,35.534,-73.038,-22.162,-1.000,-0.205,-0.478,75.385,-227.669,-9.284,-1.970,-0.501,-3.040,0.620,-1.275,-0.387,1.316,-3.974,-0.162
PR,18,-0.874,1.333,-537.171,40,0,-0.724,-0.486,0.465,69.149,-63.285,-41.022,-0.679,-0.403,-0.373,145.584,-198.017,-92.167,-1.945,-0.431,-2.767,1.207,-1.105,-0.716,2.541,-3.456,-1.609
PBA,19,-0.948,1.033,-522.513,31,0,-0.798,0.226,0.499,25.295,-66.333,-51.409,-0.948,0.248,-0.447,38.221,-222.747,-53.495,-1.966,0.058,-2.749,0.441,-1.158,-0.897,0.667,-3.888,-0.934
PG,20,-1.231,1.700,-494.577,51,0,-1.081,-0.128,0.621,60.368,-54.319,-71.283,-0.749,-0.083,-0.224,129.392,-185.069,-74.725,-1.780,-0.590,-2.756,1.054,-0.948,-1.244,2.258,-3.230,-1.304
PRA,21,-0.748,1.333,-509.265,40,0,-0.598,-0.692,0.431,76.865,-22.733,-46.704,-0.585,-0.520,-0.449,120.395,-151.829,35.363,-1.071,-1.096,-2.683,1.342,-0.397,-0.815,2.101,-2.650,0.617
PRB,22,-0.928,1.133,-365.705,34,0,-0.778,-0.212,0.421,-65.507,-77.386,63.856,-0.857,-0.169,-0.522,41.199,-210.697,-2.563,-1.690,-0.951,-3.056,-1.143,-1.351,1.115,0.719,-3.677,-0.045
PRD,23,-1.044,1.033,-481.583,31,0,-0.894,-0.088,0.495,29.373,-68.929,-23.692,-1.043,-0.064,-0.471,49.526,-183.228,-63.488,-1.845,-0.615,-2.817,0.513,-1.203,-0.414,0.864,-3.198,-1.108
PR,24,-1.032,2.467,-577.533,74,0,-0.882,-0.513,0.431,62.801,-55.053,-39.583,-0.419,-0.199,-0.229,214.277,-128.218,16.597,-0.888,-1.395,-2.966,1.096,-0.961,-0.691,3.740,-2.238,0.290
PBA,25,-1.113,1.067,-467.625,32,0,-0.963,0.162,0.565,-62.165,-72.765,78.710,-1.068,0.093,-0.434,-21.169,-212.404,62.712,-2.237,-0.093,-2.678,-1.085,-1.270,1.374,-0.369,-3.707,1.095
PG,26,-0.935,1.033,-470.923,31,0,-0.785,0.168,0.487,9.418,-71.407,-15.286,-0.942,0.196,-0.515,-54.713,-260.194,-42.525,-2.083,0.399,-2.718,0.164,-1.246,-0.267,-0.955,-4.541,-0.742
PRA,27,-0.924,1.567,-490.652,47,0,-0.774,-0.771,0.477,20.211,-69.799,14.641,-0.602,-0.499,-0.344,100.246,-134.244,-16.317,-1.150,-1.254,-3.084,0.353,-1.218,0.256,1.750,-2.343,-0.285
PRB,28,-1.140,1.067,-503.046,32,0,-0.990,0.198,0.462,-50.663,-83.720,39.762,-1.110,0.191,-0.514,-53.104,-246.776,35.843,-2.033,0.292,-3.089,-0.884,-1.461,0.694,-0.927,-4.307,0.626
PRD,29,-1.058,0.967,-388.351,29,0,-0.908,-0.213,0.419,-85.213,-81.881,82.741,-1.118,-0.245,-0.592,23.802,-188.115,48.771,-1.682,-0.463,-3.168,-1.487,-1.429,1.444,0.415,-3.283,0.851
PR,30,0.479,3.333,-634.636,100,0,0.629,-0.323,0.475,53.754,73.713,37.674,0.147,-0.130,-0.148,120.100,85.064,-59.014,1.102,-1.072,-1.118,0.938,1.287,0.658,2.096,1.485,-1.030
PBA,31,0.561,3.367,-489.403,101,0,0.711,0.198,0.457,72.199,24.952,63.091,0.176,0.034,-0.160,179.138,111.863,-11.216,0.905,-0.517,-1.953,1.260,0.435,1.101,3.127,1.952,-0.196
PG,32,-0.637,1.000,-287.054,30,0,-0.487,-0.321,0.640,70.217,-43.411,-64.564,-0.658,-0.296,-0.353,58.703,-157.878,-49.255,-1.410,0.073,-2.386,1.226,-0.758,-1.127,1.025,-2.755,-0.860
PRA,33,-0.995,1.400,-465.593,42,0,-0.845,-0.176,0.480,-26.652,-77.420,47.340,-0.724,-0.126,-0.363,40.531,-214.777,16.992,-1.506,-0.724,-2.743,-0.465,-1.351,0.826,0.707,-3.749,0.297
PRB,34,-0.871,1.400,-395.483,42,0,-0.721,0.069,0.718,67.729,-78.826,-100.527,-0.648,0.046,-0.216,-0.563,-186.038,-35.513,-1.630,0.894,-2.160,1.182,-1.376,-1.755,-0.010,-3.247,-0.620
PRD,35,-0.991,1.033,-459.839,31,0,-0.841,0.072,0.573,36.676,-77.618,-62.395,-0.984,0.073,-0.446,-108.222,-171.501,-84.946,-1.456,1.179,-2.741,0.640,-1.355,-1.089,-1.889,-2.993,-1.483
PR,36,-1.031,1.300,-457.037,39,0,-0.881,0.143,0.639,-64.608,-61.965,62.650,-0.831,0.094,-0.318,-53.197,-179.820,40.129,-2.187,0.046,-2.552,-1.128,-1.081,1.093,-0.928,-3.138,0.700
PBA,37,-0.610,1.300,-279.305,39,0,-0.460,-0.843,0.475,94.669,-53.734,-67.594,-0.489,-0.624,-0.412,153.538,-127.975,-1.107,-0.852,-1.469,-2.929,1.652,-0.938,-1.180,2.680,-2.234,-0.019
PG,38,-0.624,0.833,-431.363,25,0,-0.474,0.436,0.484,-74.461,-47.775,54.329,-0.815,0.520,-0.620,-101.673,-189.874,-1.711,-1.712,0.554,-2.817,-1.300,-0.834,0.948,-1.775,-3.314,-0.030
PRA,39,-0.980,1.667,-545.000,50,0,-0.830,-0.078,0.491,-55.724,-68.200,57.445,-0.608,-0.034,-0.322,48.339,-183.779,47.224,-1.544,-0.736,-2.970,-0.973,-1.190,1.003,0.844,-3.208,0.824
PRB,40,-0.900,1.000,-443.518,30,0,-0.750,-0.414,0.479,2.083,-76.483,-0.999,-0.933,-0.455,-0.510,126.680,-209.100,9.067,-1.610,-1.198,-2.994,0.036,-1.335,-0.017,2.211,-3.649,0.158
PRD,41,-0.700,0.833,-345.882,25,0,-0.550,0.045,0.595,-63.739,-57.026,60.939,-0.854,0.043,-0.506,-80.049,-134.860,21.728,-1.737,0.146,-2.484,-1.112,-0.995,1.064,-1.397,-2.354,0.379
PR,42,-0.763,1.167,-505.706,35,0,-0.613,-0.481,0.478,19.290,-73.541,-6.497,-0.670,-0.395,-0.449,189.049,-233.213,-20.919,-1.572,-1.255,-2.950,0.337,-1.284,-0.113,3.300,-4.070,-0.365
PBA,43,-1.047,0.967,-399.396,29,0,-0.897,0.422,0.442,-100.038,-81.008,94.212,-1.101,0.449,-0.584,-117.064,-168.752,0.696,-1.611,1.462,-3.270,-1.746,-1.414,1.644,-2.043,-2.945,0.012
PG,44,-1.196,1.867,-387.589,56,0,-1.046,-0.268,0.484,74.767,-80.625,-72.165,-0.667,-0.150,-0.291,32.761,-241.550,-15.613,-1.816,-0.820,-3.098,1.305,-1.407,-1.260,0.572,-4.216,-0.272
PRA,45,-1.015,1.200,-410.502,36,0,-0.865,0.026,0.663,-58.837,-73.585,68.756,-0.881,-0.028,-0.301,101.386,-155.318,-4.454,-1.819,-0.202,-2.264,-1.027,-1.284,1.200,1.770,-2.711,-0.078
PRB,46,-1.065,1.267,-533.971,38,0,-0.915,0.358,0.439,-65.327,-49.671,58.816,-0.874,0.254,-0.421,-54.485,-222.613,-33.538,-1.757,0.164,-2.883,-1.140,-0.867,1.027,-0.951,-3.885,-0.585
