,PR ,PBA ,PG,PRA ,PRB ,PRD
,"0,75","0,75","0,82","0,61","0,79","0,88"
,"0,74","0,78","0,90","0,58","0,72","0,84"
,"0,83","0,71","0,84","0,62","0,74","0,96"
,"0,79","0,78","0,78","0,53","0,80","0,96"
,"0,81","0,81","0,88","0,51","0,79","0,96"
,"0,82","0,78","0,82","0,49","0,68","0,97"
,"0,76","0,81","0,84","0,61","0,78","0,86"
,"0,73","0,76","0,87","0,54","0,67","0,89"
,"0,80","0,74","0,84","0,61","0,77","0,86"
,"0,75","0,74","0,89","0,52","0,74","0,83"
,"0,72","0,73","0,90","0,61","0,74","0,92"
,"0,80","0,73","0,84","0,60","0,78","0,95"
,"0,78","0,68","0,86","0,61","0,79","0,84"
,"0,82","0,77","0,87","0,52","0,75","0,85"
,"0,75","0,78","0,87","0,57","0,75","0,89"
,"0,77","0,78","0,86","0,59","0,79","0,85"
,"0,71","0,75","0,71","0,53","0,80","0,82"
,"0,79","0,74","0,87","0,54","0,81","0,90"
,"0,71","0,80","0,84","0,57","0,79","0,86"
,"0,80","0,82","0,83","0,59","0,76","0,93"
,"0,78","0,79","0,88","0,55","0,75","0,94"
,"0,76","0,78","0,85","0,58","0,79","0,81"
,"0,80","0,78","0,81","0,54","0,76","0,91"
,"0,84","0,82","0,84","0,57","0,82","0,92"
,"0,76","0,77","0,75","0,58","0,77","0,84"
,"0,73","0,80","0,84","0,54","0,86","0,94"
,"0,71","0,73","0,83","0,60","0,74","0,96"
,"0,81","0,78","0,83","0,52","0,73","0,85"
,"0,76","0,82","0,84","0,51","0,80","0,89"
,"0,86","0,75","0,86","0,61","0,78","0,88"
,"0,70","0,74","0,84","0,52","0,71","0,87"
,"0,76","0,78","0,86","0,63","0,82","0,86"
,"0,83","0,74","0,85","0,55","0,73","0,92"
,"0,78","0,75","0,84","0,58","0,74","0,87"
,"0,74","0,77","0,83","0,55","0,74","0,85"
,"0,72","0,81","0,86","0,56","0,82","0,95"
,"0,74","0,78","0,83","0,55","0,76","0,96"
,"0,80","0,75","0,80","0,56","0,75","0,88"
,"0,77","0,76","0,86","0,56","0,79","0,90"
,"0,72","0,80","0,85","0,55","0,75","0,88"
,"0,77","0,77","0,84","0,57","0,82","0,84"
,"0,78","0,72","0,82","0,57","0,71","0,80"
,"0,80","0,76","0,86","0,61","0,75","0,91"
,"0,81","0,79","0,85","0,55","0,77","0,86"
,"0,76","0,84","0,79","0,64","0,77","0,86"
,"0,77","0,78","0,81","0,57","0,72","0,89"
,"0,79","0,82","0,81","0,58","0,65","0,91"
,"0,83","0,79","0,85","0,54","0,78","0,87"
,"0,75","0,75","0,86","0,62","0,74","0,92"
,"0,79","0,75","0,91","0,58","0,74","0,87"
,"0,79","0,76","0,82","0,55","0,77","0,95"
,"0,81","0,72","0,88","0,58","0,75","0,82"
,"0,84","0,80","0,79","0,51","0,81","0,82"
,"0,78","0,80","0,81","0,51","0,76","0,86"
,"0,86","0,80","0,85","0,53","0,77","0,82"
,"0,69","0,73","0,83","0,59","0,81","0,95"
,"0,80","0,76","0,88","0,55","0,81","0,86"
,"0,82","0,76","0,79","0,51","0,80","0,92"
,"0,75","0,81","0,87","0,52","0,81","0,86"
,"0,75","0,84","0,82","0,60","0,77","0,93"
,"0,83","0,76","0,79","0,53","0,77","0,92"
,"0,76","0,68","0,84","0,49","0,78","0,93"
,"0,76","0,79","0,78","0,54","0,69","0,78"
,"0,76","0,79","0,74","0,59","0,78","0,81"
,"0,86","0,82","0,88","0,58","0,67","0,92"
,"0,76","0,81","0,80","0,63","0,65","0,81"
,"0,85","0,77","0,88","0,63","0,73","0,92"
,"0,82","0,72","0,90","0,59","0,77","0,85"
,"0,74","0,85","0,81","0,59","0,73","0,89"
,"0,79","0,83","0,84","0,55","0,81","0,90"
,"0,79","0,78","0,83","0,51","0,72","0,80"
,"0,78","0,73","0,81","0,58","0,75","0,92"
,"0,81","0,80","0,92","0,60","0,74","0,85"
,"0,72","0,72","0,85","0,57","0,73","0,74"
,"0,78","0,76","0,86","0,59","0,80","0,90"
,"0,84","0,72","0,79","0,55","0,74","0,94"
,"0,80","0,77","0,83","0,51","0,76","0,89"
,"0,77","0,81","0,74","0,57","0,74","0,80"
,"0,83","0,79","0,82","0,53","0,71","0,94"
,"0,86","0,81","0,86","0,51","0,79","0,85"
,"0,77","0,74","0,81","0,55","0,78","0,92"
,"0,73","0,84","0,85","0,59","0,81","0,90"
,"0,79","0,77","0,82","0,52","0,59","0,81"
,"0,87","0,82","0,82","0,62","0,83","0,94"
,"0,81","0,81","0,74","0,59","0,80","0,88"
,"0,77","0,84","0,82","0,53","0,77","0,87"
,"0,78","0,78","0,81","0,57","0,73","0,84"
,"0,74","0,73","0,82","0,55","0,80","0,88"
,"0,81","0,79","0,89","0,55","0,73","0,84"
,"0,78","0,76","0,79","0,53","0,70","0,92"
,"0,71","0,76","0,84","0,56","0,75","0,89"
,"0,79","0,78","0,89","0,61","0,78","0,88"
,"0,80","0,78","0,81","0,56","0,83","0,85"
,"0,79","0,73","0,88","0,59","0,63","0,95"
,"0,74","0,80","0,84","0,58","0,75","0,91"
,"0,77","0,81","0,87","0,53","0,71","0,91"
,"0,86","0,81","0,80","0,57","0,68","0,88"
,"0,79","0,76","0,75","0,56","0,75","0,86"
,"0,78","0,72","0,80","0,55","0,76","0,91"
,"0,79","0,80","0,84","0,56","0,66","0,92"
