,PR,PG,PRA,PRB,PRD
,"9,00","6,30","2,36","9,02","1,59"
,"9,01","5,17","2,01","9,03","9,03"
,"7,28","5,43","2,98","9,03","6,69"
,"9,01","4,57","3,19","9,00","6,42"
,"9,01","1,80","4,52","9,00","9,01"
,"9,01","2,46","6,26","8,07","4,56"
,"9,01","5,10","5,66","8,40","3,16"
,"9,03","5,65","0,25","9,03","2,28"
,"9,02","1,38","1,48","9,02","3,82"
,"8,53","5,77","1,25","9,03","9,02"
,"6,12","4,34","9,05","9,02","9,01"
,"7,82","4,90","1,09","9,03","2,63"
,"6,69","5,53","1,91","9,01","9,02"
,"5,11","4,96","1,85","7,46","2,15"
,"9,01","5,81","1,72","9,04","1,45"
,"9,00","2,98","1,39","7,09","9,00"
,"6,29","5,79","1,83","9,03","2,34"
,"9,02","3,83","7,03","9,03","1,69"
,"7,00","6,08","2,35","9,01","8,20"
,"5,90","3,81","1,85","9,04","5,23"
,"9,03","5,60","1,13","9,03","2,33"
,"9,01","5,11","1,55","9,02","9,01"
,"9,03","7,37","4,45","9,02","8,53"
,"8,78","5,72","2,60","9,02","4,49"
,"9,01","5,58","3,23","9,01","5,28"
,"9,04","4,36","1,92","9,03","7,51"
,"9,02","5,66","1,79","8,39","2,72"
,"8,49","5,84","1,24","8,74","4,40"
,"5,29","1,30","1,22","9,01","5,23"
,"9,00","7,85","8,61","9,01","5,52"
,"9,02","2,68","1,82","9,02","9,01"
,"9,01","4,76","3,80","7,98","1,42"
,"3,20","5,40","1,29","7,22","9,03"
,"5,27","0,71","3,87","6,85","2,60"
,"7,61","6,71","4,59","9,01","1,88"
,"7,42","4,18","3,22","8,75","2,07"
,"9,03","7,55","1,85","7,25","9,01"
,"9,00","4,06","7,34","9,01","9,03"
,"9,02","5,18","8,97","8,39","5,62"
,"9,02","4,47","0,92","9,02","1,46"
,"6,37","5,51","1,31","9,01","5,89"
,"9,03","1,72","1,45","9,00","9,01"
,"9,00","5,54","2,01","9,01","9,00"
,"9,01","6,60","1,04","8,58","9,02"
,"9,01","4,35","2,26","9,02","8,66"
,"4,42","6,37","4,81","9,02","9,01"
,"9,02","5,28","3,43","9,02","9,02"
,"8,22","6,64","1,77","8,92","9,01"
,"9,00","4,53","1,53","9,02","2,07"
,"8,65","4,74","1,83","9,02","8,90"
,"6,20","3,27","1,43","3,88","2,03"
,"9,01","2,29","0,96","9,02","7,68"
,"9,02","6,22","2,09","9,02","9,02"
,"3,47","7,47","1,67","9,02","2,30"
,"6,94","5,75","1,13","9,01","6,27"
,"4,49","5,88","3,48","7,94","1,43"
,"9,02","5,86","2,35","9,00","9,03"
,"9,03","4,62","1,42","9,01","9,00"
,"8,25","4,98","7,50","9,02","4,71"
,"9,03","5,55","1,99","9,02","9,01"
,"7,61","4,26","-0,01","9,00","3,64"
,"9,00","5,70","1,93","9,02","2,47"
,"9,01","2,64","9,01","9,01","9,00"
,"8,06","6,01","1,98","9,01","3,78"
,"4,12","4,99","1,55","9,00","8,12"
,"9,01","7,56","5,03","9,01","9,03"
,"2,29","3,76","1,19","9,01","8,09"
,"3,48","5,59","2,84","9,01","9,00"
,"3,92","1,34","0,69","4,42","9,00"
,"9,01","5,66","2,47","9,05","9,02"
,"9,02","5,83","1,35","8,96","4,11"
,"6,97","3,63","1,68","9,03","9,01"
,"7,79","4,28","3,83","9,01","3,85"
,"9,03","1,12","1,87","3,15","1,26"
,"7,71","2,20","1,82","9,03","9,01"
,"8,29","6,86","2,33","5,22","9,02"
,"9,02","4,52","2,32","9,01","9,00"
,"6,67","5,87","1,70","9,00","9,03"
,"3,86","6,76","0,75","9,01","2,08"
,"9,02","4,40","6,16","8,41","9,01"
,"6,22","5,05","0,54","9,01","4,68"
,"9,01","5,85","1,62","9,03","9,01"
,"6,57","5,08","0,72","9,02","2,27"
,"9,01","5,09","1,47","9,02","9,02"
,"9,01","5,45","4,27","9,00","9,03"
,"5,55","5,05","2,04","8,82","9,01"
,"8,12","6,01","1,12","9,03","7,77"
,"9,00","4,80","1,34","8,96","9,00"
,"7,64","9,02","6,13","9,01","4,04"
,"9,02","6,43","6,51","9,02","9,01"
,"9,03","2,08","0,88","9,04","9,01"
,"8,93","4,80","3,03","9,01","2,60"
,"9,03","4,60","1,25","9,01","1,41"
,"9,01","4,36","2,65","8,12","6,32"
,"9,00","5,37","1,15","9,01","5,74"
,"4,76","2,05","1,69","9,03","7,60"
,"9,01","6,16","0,93","9,01","2,15"
,"9,03","3,69","3,86","9,02","9,03"
,"4,38","6,18","4,25","9,02","9,02"
,"8,79","3,60","3,01","9,01","8,63"
