,PR,PBA,PRA,PRB,PRD
,"9,00","2,07","2,43","9,03","4,48"
,"9,02","1,38","2,67","9,03","3,00"
,"2,63","2,92","3,30","9,01","5,28"
,"9,02","7,48","0,90","8,72","9,02"
,"6,81","6,35","0,94","3,16","9,00"
,"9,02","0,07","9,01","9,03","3,52"
,"4,30","7,37","1,36","8,34","3,53"
,"7,07","6,58","1,03","9,02","4,02"
,"9,02","6,03","0,96","9,00","4,15"
,"5,04","3,58","2,68","9,06","2,80"
,"9,01","4,01","6,78","9,00","3,01"
,"2,78","1,38","2,64","9,04","9,01"
,"3,48","4,22","1,74","9,02","9,01"
,"1,27","2,35","3,77","9,01","6,13"
,"9,00","4,19","2,06","8,34","9,01"
,"6,91","2,16","1,38","9,03","2,71"
,"5,55","1,19","5,97","8,22","3,75"
,"9,01","7,23","2,62","8,54","9,02"
,"1,80","5,30","8,76","9,03","3,28"
,"9,02","6,07","2,77","8,88","4,23"
,"3,06","6,37","0,89","9,01","3,75"
,"6,89","2,24","1,78","9,01","3,57"
,"9,01","7,93","9,02","9,03","5,49"
,"4,86","0,43","5,83","8,25","3,30"
,"4,27","0,46","2,30","9,03","9,02"
,"5,96","3,26","1,82","9,03","4,74"
,"9,02","3,16","4,23","9,01","2,68"
,"7,40","1,57","6,60","8,81","9,02"
,"5,83","3,45","2,07","9,03","3,03"
,"4,47","5,31","1,35","9,01","8,44"
,"6,09","1,55","1,46","8,12","9,00"
,"3,78","7,21","0,86","9,01","2,48"
,"6,78","2,17","0,71","9,00","9,03"
,"9,02","1,67","2,16","9,03","3,37"
,"9,03","5,79","0,82","9,04","3,04"
,"6,79","4,71","2,22","9,00","2,65"
,"7,20","7,88","1,91","9,03","4,59"
,"4,34","1,68","1,67","9,01","3,81"
,"9,02","1,94","5,21","8,84","4,24"
,"5,56","0,51","2,43","7,29","1,85"
,"9,02","5,45","4,06","9,01","1,72"
,"5,87","1,40","0,99","9,02","7,08"
,"9,01","6,60","9,04","8,30","4,79"
,"8,35","4,41","3,22","9,04","4,49"
,"6,81","4,16","2,19","7,77","2,59"
,"8,76","5,72","1,41","9,02","4,25"
,"7,96","4,52","8,20","8,18","6,01"
,"3,46","1,66","2,98","9,03","4,69"
,"6,30","0,75","1,94","9,02","7,03"
,"9,04","3,55","0,99","9,01","3,71"
,"3,58","5,75","0,73","9,04","5,49"
,"7,47","4,90","2,75","7,15","4,83"
,"7,19","1,33","0,82","9,01","3,57"
,"7,56","0,71","-0,11","9,01","3,73"
,"9,02","6,83","5,75","9,01","4,04"
,"8,81","0,33","2,76","8,05","4,69"
,"2,14","5,02","3,45","9,01","3,71"
,"3,13","5,86","1,66","8,36","4,93"
,"6,06","0,84","0,93","9,01","4,47"
,"7,97","3,57","2,62","9,02","5,03"
,"8,35","4,70","3,85","8,34","3,94"
,"6,17","2,77","1,07","9,01","4,12"
,"1,51","0,91","2,33","8,34","8,00"
,"2,00","3,68","1,06","9,02","4,09"
,"4,44","3,51","1,55","9,01","2,70"
,"6,79","5,94","1,26","9,00","5,10"
,"4,94","1,84","1,69","9,03","4,38"
,"6,04","7,81","0,54","9,02","2,04"
,"8,38","1,39","7,67","8,58","5,10"
,"3,69","2,20","0,82","9,02","9,01"
,"5,25","-0,08","0,53","8,33","2,76"
,"8,99","-0,12","2,14","8,76","4,18"
,"5,18","0,82","0,59","9,03","3,79"
,"2,51","4,81","0,58","6,78","2,98"
,"9,00","5,77","0,63","9,01","5,25"
,"4,97","1,71","1,34","9,01","4,00"
,"4,01","1,72","0,57","9,01","4,78"
,"1,33","2,77","2,21","9,00","4,03"
,"7,64","1,69","2,42","9,00","3,54"
,"9,01","5,07","1,48","4,54","5,70"
,"3,19","9,03","1,53","4,54","3,68"
,"9,01","5,73","1,31","8,81","3,94"
,"9,01","4,00","8,09","9,04","4,36"
,"1,97","0,43","8,04","9,03","4,48"
,"7,52","5,56","3,30","9,02","1,06"
,"9,01","6,63","2,30","9,03","4,01"
,"8,51","6,36","1,46","9,00","6,61"
,"9,00","1,91","1,35","9,01","3,70"
,"8,90","5,34","3,08","9,03","4,44"
,"9,02","4,05","2,91","9,04","6,22"
,"1,70","-0,19","1,24","9,02","5,09"
,"5,71","1,11","1,06","8,88","2,89"
,"5,03","1,70","2,36","8,57","6,10"
,"9,00","4,66","2,20","9,03","3,93"
,"8,85","0,23","2,43","8,15","3,78"
,"9,02","3,69","1,28","9,01","4,40"
,"9,02","1,59","1,67","9,02","3,35"
,"9,02","4,01","1,40","9,01","3,44"
,"3,30","-0,24","2,11","8,88","5,08"
,"3,45","1,42","7,74","8,22","3,94"
