,PBA,PG,PRA,PRB,PRD
,"4,11","5,25","1,87","9,02","9,02"
,"4,72","8,72","2,54","9,02","9,04"
,"4,39","5,45","0,67","9,03","9,02"
,"5,76","4,41","3,42","9,03","9,02"
,"6,37","4,60","0,73","9,02","5,90"
,"6,64","2,62","4,72","9,02","9,01"
,"6,08","5,24","1,57","8,63","5,81"
,"7,93","5,20","1,79","9,03","6,66"
,"9,03","5,55","5,29","8,54","2,96"
,"9,00","4,44","1,05","9,01","8,13"
,"5,08","5,10","2,70","8,37","9,01"
,"8,76","6,04","0,85","9,02","9,03"
,"7,12","6,20","0,53","9,01","2,12"
,"8,89","5,25","7,87","7,11","3,36"
,"-0,02","5,58","1,12","9,02","4,03"
,"5,46","5,10","3,74","8,06","8,98"
,"5,62","5,59","1,07","9,01","1,59"
,"3,94","6,50","1,14","9,00","9,00"
,"4,08","6,27","0,77","9,01","9,01"
,"-0,12","2,82","-0,13","9,02","2,82"
,"7,36","6,63","2,19","9,00","9,02"
,"7,63","6,46","-0,19","9,01","9,02"
,"5,40","5,23","2,20","9,02","7,25"
,"6,00","4,46","0,97","9,01","9,03"
,"5,01","2,18","0,68","8,59","9,03"
,"4,51","5,15","3,98","9,00","4,74"
,"9,01","5,67","1,60","9,02","7,28"
,"5,16","1,82","1,28","9,02","2,45"
,"7,64","6,67","1,77","9,01","2,04"
,"9,03","5,01","1,95","9,00","8,00"
,"1,88","6,45","4,90","9,01","1,06"
,"4,28","4,92","6,70","9,02","6,32"
,"5,56","4,37","4,77","9,02","4,32"
,"9,02","5,56","2,22","9,03","9,00"
,"9,02","4,93","1,76","9,02","4,66"
,"5,91","5,87","2,39","9,04","9,03"
,"2,29","3,83","2,64","9,02","9,01"
,"8,57","0,80","1,65","9,05","9,02"
,"9,02","5,55","4,16","9,04","2,43"
,"5,59","5,65","1,11","9,02","4,78"
,"0,02","5,00","2,69","9,02","9,03"
,"4,49","6,28","4,89","9,02","1,23"
,"5,78","5,91","1,16","9,00","8,83"
,"8,03","6,96","1,05","9,03","3,98"
,"4,45","3,51","2,21","8,77","9,01"
,"1,57","5,36","0,03","9,03","1,28"
,"9,01","6,03","7,43","9,00","0,97"
,"8,88","6,20","2,57","9,03","8,36"
,"9,03","5,07","3,26","9,01","5,47"
,"5,80","4,40","0,94","9,02","9,01"
,"9,04","5,69","4,50","9,01","4,92"
,"9,00","5,59","1,93","9,00","4,06"
,"7,19","5,56","2,38","9,01","4,86"
,"5,17","4,33","0,38","9,03","8,64"
,"4,67","6,24","1,93","9,01","9,02"
,"9,03","4,36","2,74","9,03","9,03"
,"9,01","3,76","1,16","8,58","9,02"
,"5,17","7,08","1,69","8,86","3,11"
,"9,01","6,81","1,65","9,01","1,26"
,"6,59","5,34","4,44","9,03","9,02"
,"1,60","0,96","1,66","9,00","3,08"
,"9,00","2,06","2,48","9,02","5,90"
,"5,15","2,09","2,36","8,68","1,31"
,"6,39","5,02","1,69","9,01","3,48"
,"8,07","5,58","2,06","9,00","4,57"
,"9,01","4,00","3,11","9,03","6,53"
,"5,58","6,00","3,28","8,87","6,39"
,"8,47","4,26","7,13","6,17","2,00"
,"8,48","4,29","2,02","9,01","5,21"
,"5,38","4,36","4,09","9,00","3,01"
,"3,19","6,20","3,04","7,32","9,01"
,"5,67","5,16","3,56","9,01","2,03"
,"7,65","4,63","3,71","9,01","3,58"
,"4,83","6,28","1,95","9,03","9,00"
,"9,01","4,15","2,01","8,34","0,97"
,"8,82","2,03","3,32","9,06","6,91"
,"6,05","1,53","2,96","9,00","9,03"
,"3,28","6,07","2,86","9,00","4,11"
,"9,04","5,13","1,58","7,82","6,18"
,"9,01","3,53","1,78","5,21","8,39"
,"1,50","4,73","1,64","9,03","9,03"
,"4,36","4,98","3,46","9,01","1,73"
,"8,64","4,41","2,65","9,01","3,75"
,"1,80","4,39","1,98","9,03","1,29"
,"8,71","6,60","1,45","9,02","9,01"
,"7,71","9,01","3,93","9,01","4,21"
,"1,56","6,84","2,19","9,04","8,60"
,"-0,18","6,10","3,66","9,01","9,02"
,"4,31","5,71","2,25","9,00","9,01"
,"6,62","5,99","3,04","9,03","9,00"
,"4,84","6,44","2,33","8,83","9,02"
,"9,03","6,71","1,44","9,03","9,01"
,"3,49","4,59","2,01","9,02","9,03"
,"4,73","6,40","6,81","9,03","2,83"
,"7,29","6,53","1,83","9,01","7,03"
,"6,37","6,13","3,21","9,01","4,24"
,"5,13","6,56","6,58","9,01","4,13"
,"6,55","3,40","2,02","9,01","6,91"
,"4,74","6,06","7,61","8,81","9,01"
,"5,58","3,44","1,40","9,01","7,61"
