,PR,PBA,PG,PRB,PRD
,"2,45","1,57","1,28","7,43","1,15"
,"7,12","-0,02","2,62","7,24","1,23"
,"1,90","4,84","2,53","4,35","0,97"
,"6,69","1,00","4,48","8,55","2,36"
,"3,53","3,00","1,60","9,01","0,97"
,"6,68","2,36","3,32","7,01","0,47"
,"3,48","-0,04","1,89","9,00","1,13"
,"0,89","2,09","0,69","3,58","1,28"
,"9,01","1,66","1,24","7,94","1,24"
,"3,73","0,17","1,32","1,00","1,96"
,"2,48","1,32","5,10","5,13","1,27"
,"6,85","1,98","2,94","0,60","1,30"
,"9,01","2,86","3,88","6,24","0,19"
,"5,71","0,88","3,30","3,75","1,29"
,"1,75","1,37","2,31","7,73","1,50"
,"4,07","0,86","0,32","1,31","1,54"
,"7,11","2,52","1,85","6,99","0,20"
,"8,28","0,59","3,94","1,24","1,87"
,"2,15","1,23","1,45","7,98","0,30"
,"7,68","1,69","2,32","2,13","0,88"
,"9,02","0,90","2,30","6,76","2,01"
,"7,33","2,47","3,51","5,71","1,07"
,"6,98","-0,08","0,96","6,63","-0,28"
,"4,54","0,45","1,13","9,00","1,02"
,"5,47","1,16","3,63","7,82","1,09"
,"6,83","4,01","3,57","7,52","2,95"
,"4,94","2,05","2,39","6,81","1,78"
,"7,59","1,69","0,92","3,79","2,15"
,"3,83","2,24","1,45","2,53","1,02"
,"6,30","0,92","0,58","2,91","0,92"
,"7,49","1,18","1,57","6,35","1,18"
,"5,02","0,60","2,51","6,05","1,18"
,"5,83","2,89","3,57","9,03","2,16"
,"2,84","2,39","3,78","7,75","-0,27"
,"4,18","2,71","1,42","6,84","1,17"
,"9,01","1,96","3,03","3,55","1,37"
,"4,28","1,17","2,27","6,54","1,09"
,"1,84","1,42","4,23","2,53","1,30"
,"5,57","2,06","2,36","9,01","0,88"
,"5,70","0,23","1,07","6,27","0,95"
,"7,28","0,67","1,77","3,60","0,54"
,"7,49","2,90","4,25","3,90","1,25"
,"2,01","0,14","2,49","2,14","2,20"
,"2,08","0,56","1,38","4,00","1,05"
,"2,53","-0,06","0,30","6,12","1,66"
,"8,64","0,98","0,74","3,34","-0,13"
,"2,23","1,80","1,30","7,67","1,07"
,"8,58","2,04","1,66","3,58","1,18"
,"5,02","1,23","3,28","7,45","-0,29"
,"4,42","1,08","1,63","8,52","5,88"
,"7,15","-0,06","1,35","7,88","0,20"
,"5,02","0,43","1,01","7,18","2,37"
,"2,26","2,07","4,73","6,92","0,96"
,"3,14","1,11","2,44","0,33","0,95"
,"3,87","2,27","2,02","4,41","1,06"
,"7,31","1,37","-0,24","8,32","1,79"
,"9,03","1,60","2,35","7,65","1,30"
,"5,23","0,97","0,67","8,61","1,52"
,"7,06","1,98","1,94","6,38","0,96"
,"7,80","3,81","5,47","7,91","1,62"
,"9,01","1,13","2,69","7,65","1,40"
,"1,56","1,80","1,39","2,28","1,13"
,"7,12","0,65","2,23","6,16","-0,24"
,"9,01","2,67","3,79","3,86","1,39"
,"3,35","2,82","4,94","7,06","0,91"
,"2,28","0,28","1,08","7,81","1,37"
,"5,72","0,32","1,54","7,37","1,17"
,"5,21","2,17","1,80","2,29","1,14"
,"2,42","1,56","2,67","6,42","0,80"
,"6,21","3,32","1,32","6,98","1,12"
,"3,01","0,61","1,95","7,97","0,99"
,"3,01","0,99","2,79","3,41","0,32"
,"1,77","1,81","2,04","7,60","1,07"
,"5,74","2,28","2,14","7,81","1,31"
,"1,67","2,28","2,71","7,83","2,32"
,"4,57","2,81","1,37","2,71","1,09"
,"4,86","-0,04","2,10","3,23","1,08"
,"2,92","4,60","1,81","4,09","1,26"
,"2,75","1,30","1,41","6,11","0,94"
,"7,85","3,01","1,60","7,16","1,90"
,"3,30","1,81","3,30","3,07","1,11"
,"2,54","0,29","4,05","7,56","1,18"
,"6,86","0,61","3,19","0,95","1,71"
,"1,89","1,38","3,17","7,51","2,43"
,"5,73","1,15","2,07","6,41","0,99"
,"7,14","0,83","2,95","6,84","0,27"
,"6,57","1,65","1,86","7,23","1,00"
,"7,21","0,50","2,52","0,73","0,09"
,"6,52","0,02","3,51","7,57","1,36"
,"4,28","1,86","1,74","8,09","0,15"
,"7,30","1,36","3,87","7,35","1,14"
,"6,02","1,15","1,89","7,83","1,40"
,"1,89","-0,31","4,26","7,39","1,02"
,"4,52","1,74","4,15","8,00","1,71"
,"4,44","0,44","3,92","9,00","1,19"
,"5,10","1,08","1,21","6,32","1,04"
,"5,70","0,33","3,31","0,98","1,13"
,"9,00","1,22","4,08","7,41","0,97"
,"3,44","3,73","3,83","4,45","1,33"
,"9,01","1,88","3,65","7,04","1,41"
