,PR,PBA,PG,PRA,PRD
,"4,32","2,91","1,77","2,90","9,01"
,"9,02","5,75","6,18","1,99","2,84"
,"9,01","6,64","7,60","2,97","5,99"
,"3,90","9,02","6,69","4,88","9,00"
,"6,07","6,03","4,70","2,02","3,31"
,"4,50","1,92","7,47","0,51","9,03"
,"9,00","-0,22","4,40","1,82","8,63"
,"4,12","5,20","6,14","1,41","5,25"
,"5,56","2,24","8,21","2,76","0,87"
,"9,03","4,70","6,69","2,74","9,03"
,"2,38","9,00","3,81","1,60","3,79"
,"9,01","8,71","6,08","2,75","8,22"
,"2,82","4,69","4,80","0,89","9,01"
,"9,02","1,64","7,35","2,09","1,18"
,"9,01","3,91","5,15","3,87","7,20"
,"8,02","1,44","1,26","2,37","6,61"
,"9,02","8,71","2,49","1,41","9,04"
,"3,82","9,02","5,89","2,30","1,53"
,"2,02","8,95","4,53","3,54","1,47"
,"4,86","9,03","5,47","0,91","3,90"
,"9,02","4,27","9,02","2,51","9,01"
,"9,01","4,16","4,60","1,89","2,72"
,"7,15","1,73","3,50","1,76","-0,20"
,"9,03","6,49","5,70","2,16","3,59"
,"9,03","4,54","2,37","1,57","4,87"
,"9,01","5,53","8,24","0,37","3,07"
,"9,02","5,80","5,29","3,19","4,09"
,"8,55","3,82","6,23","0,52","1,70"
,"9,01","7,99","6,01","2,44","1,00"
,"9,04","4,86","2,69","3,93","5,69"
,"9,02","6,11","6,65","1,84","5,19"
,"7,00","3,70","5,49","0,65","4,55"
,"7,00","6,36","5,36","0,88","9,01"
,"2,87","9,01","6,91","2,75","1,14"
,"9,02","1,46","4,31","0,87","9,02"
,"9,03","4,80","5,93","1,04","4,87"
,"9,01","6,04","2,28","3,14","6,97"
,"8,60","5,96","4,14","1,01","5,35"
,"4,08","2,86","5,35","2,58","5,27"
,"0,61","6,30","4,92","1,78","0,68"
,"1,98","2,54","5,03","7,99","2,64"
,"9,01","6,40","4,72","2,27","1,51"
,"9,03","4,16","2,35","1,77","2,59"
,"9,01","4,06","5,33","5,26","1,15"
,"9,03","4,50","7,02","2,31","8,30"
,"9,01","2,23","1,08","1,58","4,29"
,"9,02","4,72","6,17","0,20","1,41"
,"9,02","4,97","5,35","2,52","8,32"
,"1,67","6,80","3,87","2,05","1,53"
,"9,00","4,00","5,13","3,03","9,03"
,"4,28","9,02","4,46","1,43","1,68"
,"2,56","3,96","5,74","0,61","1,94"
,"9,01","3,14","5,33","-0,21","1,76"
,"2,88","2,22","4,49","1,54","0,95"
,"6,56","5,18","4,14","1,54","4,07"
,"9,02","0,84","3,83","1,57","3,90"
,"7,29","8,63","3,71","2,51","9,01"
,"9,01","4,99","3,18","5,80","7,24"
,"4,43","1,60","5,05","1,32","5,58"
,"4,40","9,01","6,65","3,25","1,54"
,"8,02","2,77","6,56","2,79","2,18"
,"7,39","1,79","2,89","1,30","9,00"
,"6,86","4,92","3,64","5,84","4,35"
,"9,02","4,92","2,76","0,90","9,02"
,"9,01","1,05","4,30","3,00","1,46"
,"3,57","7,21","6,86","3,18","3,50"
,"2,85","9,02","1,50","0,62","0,94"
,"3,23","9,04","3,80","1,35","9,03"
,"3,44","0,80","2,85","1,57","1,43"
,"4,22","5,10","6,38","5,34","1,70"
,"9,01","5,17","5,33","4,04","9,02"
,"4,57","6,87","3,82","3,01","6,70"
,"9,04","6,16","7,17","6,89","1,75"
,"6,76","9,02","7,31","1,12","7,45"
,"2,80","0,23","6,38","0,74","2,88"
,"2,96","9,02","5,70","2,91","2,67"
,"4,18","0,08","6,18","0,97","1,00"
,"9,03","5,90","6,67","1,74","2,50"
,"5,35","9,01","5,84","1,44","1,44"
,"9,02","4,73","8,28","0,87","2,42"
,"1,72","9,01","6,02","0,89","7,58"
,"3,67","5,84","3,88","1,32","1,67"
,"2,63","9,04","5,77","3,33","5,75"
,"9,02","3,14","5,38","0,66","7,85"
,"9,02","5,62","2,78","2,12","2,86"
,"9,03","6,05","4,05","5,99","3,14"
,"3,08","4,82","6,03","0,60","8,05"
,"5,85","8,85","6,65","3,64","7,31"
,"4,00","-0,27","5,95","1,59","5,59"
,"9,01","6,45","3,27","3,14","9,02"
,"5,82","3,64","3,55","2,15","4,96"
,"6,33","8,45","2,30","2,20","3,60"
,"4,04","4,20","5,71","3,08","9,00"
,"7,32","4,94","3,86","3,85","3,01"
,"8,23","5,24","5,93","2,50","3,30"
,"2,69","3,83","5,15","4,12","1,15"
,"9,01","9,02","5,13","0,96","8,30"
,"9,02","3,61","4,22","1,78","4,13"
,"7,25","5,31","3,61","1,55","9,01"
,"9,02","4,50","5,91","2,35","1,83"
