,PR,PBA,PG,PRA,PRB
,"9,02","4,81","8,28","4,28","9,01"
,"9,03","8,90","9,02","2,68","9,00"
,"8,31","7,26","6,10","2,57","6,57"
,"6,31","5,23","9,00","1,48","8,64"
,"9,02","9,02","4,25","1,75","7,68"
,"1,85","7,82","6,38","3,43","8,88"
,"7,12","6,25","9,03","2,95","7,22"
,"9,03","6,06","6,11","2,14","9,01"
,"9,03","5,44","6,72","2,84","9,01"
,"9,03","4,36","4,87","2,24","9,02"
,"6,88","8,87","4,40","1,25","9,01"
,"9,00","9,04","7,91","1,30","7,36"
,"9,03","7,96","4,84","3,86","8,36"
,"8,34","4,60","6,56","4,09","9,03"
,"9,01","5,44","5,93","3,15","9,02"
,"8,57","7,49","7,06","1,84","9,02"
,"8,55","5,18","1,35","5,72","9,00"
,"9,01","8,99","5,62","2,19","9,02"
,"9,03","8,34","8,13","3,83","9,00"
,"9,00","5,81","6,55","3,00","6,41"
,"8,20","8,07","7,70","3,61","9,02"
,"9,01","6,22","6,43","1,08","9,02"
,"9,00","8,42","8,10","1,60","6,34"
,"7,18","4,81","9,01","4,67","6,12"
,"9,03","5,76","7,64","2,50","9,02"
,"9,03","6,70","7,42","1,06","9,01"
,"5,40","7,86","6,60","6,11","7,73"
,"7,68","9,00","6,25","2,92","9,03"
,"3,53","9,01","5,29","0,70","9,01"
,"9,01","4,63","6,33","2,60","8,16"
,"9,02","9,02","7,41","2,27","7,36"
,"9,00","9,06","9,03","0,95","9,02"
,"9,01","8,36","5,99","1,08","9,03"
,"9,02","4,27","6,31","1,67","4,57"
,"8,82","6,75","8,52","1,33","9,00"
,"9,03","9,00","7,62","1,21","6,48"
,"9,02","7,81","1,28","1,41","6,73"
,"9,02","6,64","8,80","3,02","7,01"
,"9,01","6,16","5,43","1,01","9,02"
,"9,00","8,84","5,46","2,13","6,51"
,"9,04","7,95","6,40","3,16","9,01"
,"7,08","7,35","6,59","2,98","9,03"
,"9,02","9,01","5,07","0,58","9,01"
,"9,01","5,24","4,17","3,70","9,02"
,"9,01","6,43","9,01","1,63","7,18"
,"8,87","9,00","8,29","1,87","9,01"
,"9,03","8,62","6,79","1,37","8,57"
,"5,38","8,76","8,41","2,65","5,49"
,"9,02","5,20","5,59","1,84","6,08"
,"6,53","6,81","7,22","2,08","9,02"
,"9,03","0,94","3,46","2,84","9,02"
,"9,01","6,33","9,01","2,53","9,02"
,"9,03","5,29","9,05","2,26","7,34"
,"6,01","5,33","6,52","1,26","8,64"
,"7,49","9,04","5,64","2,09","7,57"
,"9,01","9,00","9,02","2,05","3,95"
,"9,02","2,26","5,61","0,65","9,01"
,"7,91","7,77","9,03","1,86","7,54"
,"9,02","8,75","6,84","0,62","9,01"
,"9,01","7,39","5,62","4,30","8,94"
,"4,21","5,16","4,93","2,41","9,02"
,"7,67","9,01","3,04","5,49","9,01"
,"7,28","0,47","6,11","0,88","9,02"
,"7,91","4,61","4,66","2,23","9,03"
,"7,60","1,48","3,82","1,66","7,64"
,"8,96","6,36","3,99","2,75","5,66"
,"7,41","9,01","6,60","2,90","8,44"
,"6,28","5,79","9,04","0,96","7,68"
,"9,02","8,61","0,38","2,55","8,84"
,"9,02","5,33","6,54","1,15","9,01"
,"8,99","9,04","9,02","3,15","5,74"
,"8,17","4,37","8,95","2,27","9,02"
,"9,01","6,72","4,72","2,89","6,78"
,"9,00","8,89","8,21","2,89","9,02"
,"7,23","9,00","7,61","2,64","8,38"
,"5,25","5,43","8,57","2,02","5,83"
,"9,02","9,01","5,74","1,67","7,41"
,"5,99","8,59","8,38","3,60","7,74"
,"9,02","3,65","9,01","0,75","9,01"
,"9,00","4,33","5,71","2,43","9,01"
,"9,02","8,91","9,01","4,12","9,04"
,"9,01","4,13","9,02","2,16","9,01"
,"9,02","5,95","7,78","2,71","3,78"
,"9,01","6,05","4,90","2,55","9,04"
,"9,01","9,01","4,77","1,46","9,02"
,"9,01","4,88","7,06","1,05","8,88"
,"8,83","4,74","6,93","2,82","5,99"
,"9,00","8,90","2,58","2,02","8,21"
,"9,01","0,85","8,08","1,59","7,36"
,"9,00","6,70","5,97","2,60","8,34"
,"9,02","7,40","7,95","2,13","7,65"
,"7,55","7,66","9,02","1,29","5,68"
,"8,12","8,56","4,35","2,35","9,02"
,"7,76","9,02","6,41","1,23","9,00"
,"9,02","7,28","9,00","1,81","9,01"
,"9,01","7,54","5,20","2,64","9,04"
,"9,03","8,58","7,55","3,60","9,03"
,"6,30","6,20","8,33","1,78","9,00"
,"9,02","-0,04","5,45","3,02","9,02"
,"9,04","8,05","6,27","2,28","6,35"
