Episódio,PR,PRA,PRD,PG,PRB
1,4.11,1.57,4.81,2.07,2.91
2,4.72,-0.02,8.9,1.38,5.75
3,4.39,4.84,7.26,2.92,6.64
4,5.76,1.0,5.23,7.48,9.02
5,6.37,3.0,9.02,6.35,6.03
6,6.64,2.36,7.82,0.07,1.92
7,6.08,-0.04,6.25,7.37,-0.22
8,7.93,2.09,6.06,6.58,5.2
9,9.03,1.66,5.44,6.03,2.24
10,9.0,0.17,4.36,3.58,4.7
11,5.08,1.32,8.87,4.01,9.0
12,8.76,1.98,9.04,1.38,8.71
13,7.12,2.86,7.96,4.22,4.69
14,8.89,0.88,4.6,2.35,1.64
15,-0.02,1.37,5.44,4.19,3.91
16,5.46,0.86,7.49,2.16,1.44
17,5.62,2.52,5.18,1.19,8.71
18,3.94,0.59,8.99,7.23,9.02
19,4.08,1.23,8.34,5.3,8.95
20,-0.12,1.69,5.81,6.07,9.03
21,7.36,0.9,8.07,6.37,4.27
22,7.63,2.47,6.22,2.24,4.16
23,5.4,-0.08,8.42,7.93,1.73
24,6.0,0.45,4.81,0.43,6.49
25,5.01,1.16,5.76,0.46,4.54
26,4.51,4.01,6.7,3.26,5.53
27,9.01,2.05,7.86,3.16,5.8
28,5.16,1.69,9.0,1.57,3.82
29,7.64,2.24,9.01,3.45,7.99
30,9.03,0.92,4.63,5.31,4.86
31,1.88,1.18,9.02,1.55,6.11
32,4.28,0.6,9.06,7.21,3.7
33,5.56,2.89,8.36,2.17,6.36
34,9.02,2.39,4.27,1.67,9.01
35,9.02,2.71,6.75,5.79,1.46
36,5.91,1.96,9.0,4.71,4.8
37,2.29,1.17,7.81,7.88,6.04
38,8.57,1.42,6.64,1.68,5.96
39,9.02,2.06,6.16,1.94,2.86
40,5.59,0.23,8.84,0.51,6.3
41,0.02,0.67,7.95,5.45,2.54
42,4.49,2.9,7.35,1.4,6.4
43,5.78,0.14,9.01,6.6,4.16
44,8.03,0.56,5.24,4.41,4.06
45,4.45,-0.06,6.43,4.16,4.5
46,1.57,0.98,9.0,5.72,2.23
47,9.01,1.8,8.62,4.52,4.72
48,8.88,2.04,8.76,1.66,4.97
49,9.03,1.23,5.2,0.75,6.8
50,5.8,1.08,6.81,3.55,4.0
51,9.04,-0.06,0.94,5.75,9.02
52,9.0,0.43,6.33,4.9,3.96
53,7.19,2.07,5.29,1.33,3.14
54,5.17,1.11,5.33,0.71,2.22
55,4.67,2.27,9.04,6.83,5.18
56,9.03,1.37,9.0,0.33,0.84
57,9.01,1.6,2.26,5.02,8.63
58,5.17,0.97,7.77,5.86,4.99
59,9.01,1.98,8.75,0.84,1.6
60,6.59,3.81,7.39,3.57,9.01
61,1.6,1.13,5.16,4.7,2.77
62,9.0,1.8,9.01,2.77,1.79
63,5.15,0.65,0.47,0.91,4.92
64,6.39,2.67,4.61,3.68,4.92
65,8.07,2.82,1.48,3.51,1.05
66,9.01,0.28,6.36,5.94,7.21
67,5.58,0.32,9.01,1.84,9.02
68,8.47,2.17,5.79,7.81,9.04
69,8.48,1.56,8.61,1.39,0.8
70,5.38,3.32,5.33,2.2,5.1
71,3.19,0.61,9.04,-0.08,5.17
72,5.67,0.99,4.37,-0.12,6.87
73,7.65,1.81,6.72,0.82,6.16
74,4.83,2.28,8.89,4.81,9.02
75,9.01,2.28,9.0,5.77,0.23
76,8.82,2.81,5.43,1.71,9.02
77,6.05,-0.04,9.01,1.72,0.08
78,3.28,4.6,8.59,2.77,5.9
79,9.04,1.3,3.65,1.69,9.01
80,9.01,3.01,4.33,5.07,4.73
81,1.5,1.81,8.91,9.03,9.01
82,4.36,0.29,4.13,5.73,5.84
83,8.64,0.61,5.95,4.0,9.04
84,1.8,1.38,6.05,0.43,3.14
85,8.71,1.15,9.01,5.56,5.62
86,7.71,0.83,4.88,6.63,6.05
87,1.56,1.65,4.74,6.36,4.82
88,-0.18,0.5,8.9,1.91,8.85
89,4.31,0.02,0.85,5.34,-0.27
90,6.62,1.86,6.7,4.05,6.45
91,4.84,1.36,7.4,-0.19,3.64
92,9.03,1.15,7.66,1.11,8.45
93,3.49,-0.31,8.56,1.7,4.2
94,4.73,1.74,9.02,4.66,4.94
95,7.29,0.44,7.28,0.23,5.24
96,6.37,1.08,7.54,3.69,3.83
97,5.13,0.33,8.58,1.59,9.02
98,6.55,1.22,6.2,4.01,3.61
99,4.74,3.73,-0.04,-0.24,5.31
100,5.58,1.88,8.05,1.42,4.5
