Episódio,PR,PBA,PRA,PRD,PRB
1,5.25,6.3,1.28,8.28,1.77
2,8.72,5.17,2.62,9.02,6.18
3,5.45,5.43,2.53,6.1,7.6
4,4.41,4.57,4.48,9.0,6.69
5,4.6,1.8,1.6,4.25,4.7
6,2.62,2.46,3.32,6.38,7.47
7,5.24,5.1,1.89,9.03,4.4
8,5.2,5.65,0.69,6.11,6.14
9,5.55,1.38,1.24,6.72,8.21
10,4.44,5.77,1.32,4.87,6.69
11,5.1,4.34,5.1,4.4,3.81
12,6.04,4.9,2.94,7.91,6.08
13,6.2,5.53,3.88,4.84,4.8
14,5.25,4.96,3.3,6.56,7.35
15,5.58,5.81,2.31,5.93,5.15
16,5.1,2.98,0.32,7.06,1.26
17,5.59,5.79,1.85,1.35,2.49
18,6.5,3.83,3.94,5.62,5.89
19,6.27,6.08,1.45,8.13,4.53
20,2.82,3.81,2.32,6.55,5.47
21,6.63,5.6,2.3,7.7,9.02
22,6.46,5.11,3.51,6.43,4.6
23,5.23,7.37,0.96,8.1,3.5
24,4.46,5.72,1.13,9.01,5.7
25,2.18,5.58,3.63,7.64,2.37
26,5.15,4.36,3.57,7.42,8.24
27,5.67,5.66,2.39,6.6,5.29
28,1.82,5.84,0.92,6.25,6.23
29,6.67,1.3,1.45,5.29,6.01
30,5.01,7.85,0.58,6.33,2.69
31,6.45,2.68,1.57,7.41,6.65
32,4.92,4.76,2.51,9.03,5.49
33,4.37,5.4,3.57,5.99,5.36
34,5.56,0.71,3.78,6.31,6.91
35,4.93,6.71,1.42,8.52,4.31
36,5.87,4.18,3.03,7.62,5.93
37,3.83,7.55,2.27,1.28,2.28
38,0.8,4.06,4.23,8.8,4.14
39,5.55,5.18,2.36,5.43,5.35
40,5.65,4.47,1.07,5.46,4.92
41,5.0,5.51,1.77,6.4,5.03
42,6.28,1.72,4.25,6.59,4.72
43,5.91,5.54,2.49,5.07,2.35
44,6.96,6.6,1.38,4.17,5.33
45,3.51,4.35,0.3,9.01,7.02
46,5.36,6.37,0.74,8.29,1.08
47,6.03,5.28,1.3,6.79,6.17
48,6.2,6.64,1.66,8.41,5.35
49,5.07,4.53,3.28,5.59,3.87
50,4.4,4.74,1.63,7.22,5.13
51,5.69,3.27,1.35,3.46,4.46
52,5.59,2.29,1.01,9.01,5.74
53,5.56,6.22,4.73,9.05,5.33
54,4.33,7.47,2.44,6.52,4.49
55,6.24,5.75,2.02,5.64,4.14
56,4.36,5.88,-0.24,9.02,3.83
57,3.76,5.86,2.35,5.61,3.71
58,7.08,4.62,0.67,9.03,3.18
59,6.81,4.98,1.94,6.84,5.05
60,5.34,5.55,5.47,5.62,6.65
61,0.96,4.26,2.69,4.93,6.56
62,2.06,5.7,1.39,3.04,2.89
63,2.09,2.64,2.23,6.11,3.64
64,5.02,6.01,3.79,4.66,2.76
65,5.58,4.99,4.94,3.82,4.3
66,4.0,7.56,1.08,3.99,6.86
67,6.0,3.76,1.54,6.6,1.5
68,4.26,5.59,1.8,9.04,3.8
69,4.29,1.34,2.67,0.38,2.85
70,4.36,5.66,1.32,6.54,6.38
71,6.2,5.83,1.95,9.02,5.33
72,5.16,3.63,2.79,8.95,3.82
73,4.63,4.28,2.04,4.72,7.17
74,6.28,1.12,2.14,8.21,7.31
75,4.15,2.2,2.71,7.61,6.38
76,2.03,6.86,1.37,8.57,5.7
77,1.53,4.52,2.1,5.74,6.18
78,6.07,5.87,1.81,8.38,6.67
79,5.13,6.76,1.41,9.01,5.84
80,3.53,4.4,1.6,5.71,8.28
81,4.73,5.05,3.3,9.01,6.02
82,4.98,5.85,4.05,9.02,3.88
83,4.41,5.08,3.19,7.78,5.77
84,4.39,5.09,3.17,4.9,5.38
85,6.6,5.45,2.07,4.77,2.78
86,9.01,5.05,2.95,7.06,4.05
87,6.84,6.01,1.86,6.93,6.03
88,6.1,4.8,2.52,2.58,6.65
89,5.71,9.02,3.51,8.08,5.95
90,5.99,6.43,1.74,5.97,3.27
91,6.44,2.08,3.87,7.95,3.55
92,6.71,4.8,1.89,9.02,2.3
93,4.59,4.6,4.26,4.35,5.71
94,6.4,4.36,4.15,6.41,3.86
95,6.53,5.37,3.92,9.0,5.93
96,6.13,2.05,1.21,5.2,5.15
97,6.56,6.16,3.31,7.55,5.13
98,3.4,3.69,4.08,8.33,4.22
99,6.06,6.18,3.83,5.45,3.61
100,3.44,3.6,3.65,6.27,5.91
