Episódio,PR,PBA,PRD,PG,PRB
1,1.87,2.36,4.28,2.43,2.9
2,2.54,2.01,2.68,2.67,1.99
3,0.67,2.98,2.57,3.3,2.97
4,3.42,3.19,1.48,0.9,4.88
5,0.73,4.52,1.75,0.94,2.02
6,4.72,6.26,3.43,9.01,0.51
7,1.57,5.66,2.95,1.36,1.82
8,1.79,0.25,2.14,1.03,1.41
9,5.29,1.48,2.84,0.96,2.76
10,1.05,1.25,2.24,2.68,2.74
11,2.7,9.05,1.25,6.78,1.6
12,0.85,1.09,1.3,2.64,2.75
13,0.53,1.91,3.86,1.74,0.89
14,7.87,1.85,4.09,3.77,2.09
15,1.12,1.72,3.15,2.06,3.87
16,3.74,1.39,1.84,1.38,2.37
17,1.07,1.83,5.72,5.97,1.41
18,1.14,7.03,2.19,2.62,2.3
19,0.77,2.35,3.83,8.76,3.54
20,-0.13,1.85,3.0,2.77,0.91
21,2.19,1.13,3.61,0.89,2.51
22,-0.19,1.55,1.08,1.78,1.89
23,2.2,4.45,1.6,9.02,1.76
24,0.97,2.6,4.67,5.83,2.16
25,0.68,3.23,2.5,2.3,1.57
26,3.98,1.92,1.06,1.82,0.37
27,1.6,1.79,6.11,4.23,3.19
28,1.28,1.24,2.92,6.6,0.52
29,1.77,1.22,0.7,2.07,2.44
30,1.95,8.61,2.6,1.35,3.93
31,4.9,1.82,2.27,1.46,1.84
32,6.7,3.8,0.95,0.86,0.65
33,4.77,1.29,1.08,0.71,0.88
34,2.22,3.87,1.67,2.16,2.75
35,1.76,4.59,1.33,0.82,0.87
36,2.39,3.22,1.21,2.22,1.04
37,2.64,1.85,1.41,1.91,3.14
38,1.65,7.34,3.02,1.67,1.01
39,4.16,8.97,1.01,5.21,2.58
40,1.11,0.92,2.13,2.43,1.78
41,2.69,1.31,3.16,4.06,7.99
42,4.89,1.45,2.98,0.99,2.27
43,1.16,2.01,0.58,9.04,1.77
44,1.05,1.04,3.7,3.22,5.26
45,2.21,2.26,1.63,2.19,2.31
46,0.03,4.81,1.87,1.41,1.58
47,7.43,3.43,1.37,8.2,0.2
48,2.57,1.77,2.65,2.98,2.52
49,3.26,1.53,1.84,1.94,2.05
50,0.94,1.83,2.08,0.99,3.03
51,4.5,1.43,2.84,0.73,1.43
52,1.93,0.96,2.53,2.75,0.61
53,2.38,2.09,2.26,0.82,-0.21
54,0.38,1.67,1.26,-0.11,1.54
55,1.93,1.13,2.09,5.75,1.54
56,2.74,3.48,2.05,2.76,1.57
57,1.16,2.35,0.65,3.45,2.51
58,1.69,1.42,1.86,1.66,5.8
59,1.65,7.5,0.62,0.93,1.32
60,4.44,1.99,4.3,2.62,3.25
61,1.66,-0.01,2.41,3.85,2.79
62,2.48,1.93,5.49,1.07,1.3
63,2.36,9.01,0.88,2.33,5.84
64,1.69,1.98,2.23,1.06,0.9
65,2.06,1.55,1.66,1.55,3.0
66,3.11,5.03,2.75,1.26,3.18
67,3.28,1.19,2.9,1.69,0.62
68,7.13,2.84,0.96,0.54,1.35
69,2.02,0.69,2.55,7.67,1.57
70,4.09,2.47,1.15,0.82,5.34
71,3.04,1.35,3.15,0.53,4.04
72,3.56,1.68,2.27,2.14,3.01
73,3.71,3.83,2.89,0.59,6.89
74,1.95,1.87,2.89,0.58,1.12
75,2.01,1.82,2.64,0.63,0.74
76,3.32,2.33,2.02,1.34,2.91
77,2.96,2.32,1.67,0.57,0.97
78,2.86,1.7,3.6,2.21,1.74
79,1.58,0.75,0.75,2.42,1.44
80,1.78,6.16,2.43,1.48,0.87
81,1.64,0.54,4.12,1.53,0.89
82,3.46,1.62,2.16,1.31,1.32
83,2.65,0.72,2.71,8.09,3.33
84,1.98,1.47,2.55,8.04,0.66
85,1.45,4.27,1.46,3.3,2.12
86,3.93,2.04,1.05,2.3,5.99
87,2.19,1.12,2.82,1.46,0.6
88,3.66,1.34,2.02,1.35,3.64
89,2.25,6.13,1.59,3.08,1.59
90,3.04,6.51,2.6,2.91,3.14
91,2.33,0.88,2.13,1.24,2.15
92,1.44,3.03,1.29,1.06,2.2
93,2.01,1.25,2.35,2.36,3.08
94,6.81,2.65,1.23,2.2,3.85
95,1.83,1.15,1.81,2.43,2.5
96,3.21,1.69,2.64,1.28,4.12
97,6.58,0.93,3.6,1.67,0.96
98,2.02,3.86,1.78,1.4,1.78
99,7.61,4.25,3.02,2.11,1.55
100,1.4,3.01,2.28,7.74,2.35
