Episódio,PR,PBA,PRA,PRD,PG
1,9.02,9.02,7.43,9.01,9.03
2,9.02,9.03,7.24,9.0,9.03
3,9.03,9.03,4.35,6.57,9.01
4,9.03,9.0,8.55,8.64,8.72
5,9.02,9.0,9.01,7.68,3.16
6,9.02,8.07,7.01,8.88,9.03
7,8.63,8.4,9.0,7.22,8.34
8,9.03,9.03,3.58,9.01,9.02
9,8.54,9.02,7.94,9.01,9.0
10,9.01,9.03,1.0,9.02,9.06
11,8.37,9.02,5.13,9.01,9.0
12,9.02,9.03,0.6,7.36,9.04
13,9.01,9.01,6.24,8.36,9.02
14,7.11,7.46,3.75,9.03,9.01
15,9.02,9.04,7.73,9.02,8.34
16,8.06,7.09,1.31,9.02,9.03
17,9.01,9.03,6.99,9.0,8.22
18,9.0,9.03,1.24,9.02,8.54
19,9.01,9.01,7.98,9.0,9.03
20,9.02,9.04,2.13,6.41,8.88
21,9.0,9.03,6.76,9.02,9.01
22,9.01,9.02,5.71,9.02,9.01
23,9.02,9.02,6.63,6.34,9.03
24,9.01,9.02,9.0,6.12,8.25
25,8.59,9.01,7.82,9.02,9.03
26,9.0,9.03,7.52,9.01,9.03
27,9.02,8.39,6.81,7.73,9.01
28,9.02,8.74,3.79,9.03,8.81
29,9.01,9.01,2.53,9.01,9.03
30,9.0,9.01,2.91,8.16,9.01
31,9.01,9.02,6.35,7.36,8.12
32,9.02,7.98,6.05,9.02,9.01
33,9.02,7.22,9.03,9.03,9.0
34,9.03,6.85,7.75,4.57,9.03
35,9.02,9.01,6.84,9.0,9.04
36,9.04,8.75,3.55,6.48,9.0
37,9.02,7.25,6.54,6.73,9.03
38,9.05,9.01,2.53,7.01,9.01
39,9.04,8.39,9.01,9.02,8.84
40,9.02,9.02,6.27,6.51,7.29
41,9.02,9.01,3.6,9.01,9.01
42,9.02,9.0,3.9,9.03,9.02
43,9.0,9.01,2.14,9.01,8.3
44,9.03,8.58,4.0,9.02,9.04
45,8.77,9.02,6.12,7.18,7.77
46,9.03,9.02,3.34,9.01,9.02
47,9.0,9.02,7.67,8.57,8.18
48,9.03,8.92,3.58,5.49,9.03
49,9.01,9.02,7.45,6.08,9.02
50,9.02,9.02,8.52,9.02,9.01
51,9.01,3.88,7.88,9.02,9.04
52,9.0,9.02,7.18,9.02,7.15
53,9.01,9.02,6.92,7.34,9.01
54,9.03,9.02,0.33,8.64,9.01
55,9.01,9.01,4.41,7.57,9.01
56,9.03,7.94,8.32,3.95,8.05
57,8.58,9.0,7.65,9.01,9.01
58,8.86,9.01,8.61,7.54,8.36
59,9.01,9.02,6.38,9.01,9.01
60,9.03,9.02,7.91,8.94,9.02
61,9.0,9.0,7.65,9.02,8.34
62,9.02,9.02,2.28,9.01,9.01
63,8.68,9.01,6.16,9.02,8.34
64,9.01,9.01,3.86,9.03,9.02
65,9.0,9.0,7.06,7.64,9.01
66,9.03,9.01,7.81,5.66,9.0
67,8.87,9.01,7.37,8.44,9.03
68,6.17,9.01,2.29,7.68,9.02
69,9.01,4.42,6.42,8.84,8.58
70,9.0,9.05,6.98,9.01,9.02
71,7.32,8.96,7.97,5.74,8.33
72,9.01,9.03,3.41,9.02,8.76
73,9.01,9.01,7.6,6.78,9.03
74,9.03,3.15,7.81,9.02,6.78
75,8.34,9.03,7.83,8.38,9.01
76,9.06,5.22,2.71,5.83,9.01
77,9.0,9.01,3.23,7.41,9.01
78,9.0,9.0,4.09,7.74,9.0
79,7.82,9.01,6.11,9.01,9.0
80,5.21,8.41,7.16,9.01,4.54
81,9.03,9.01,3.07,9.04,4.54
82,9.01,9.03,7.56,9.01,8.81
83,9.01,9.02,0.95,3.78,9.04
84,9.03,9.02,7.51,9.04,9.03
85,9.02,9.0,6.41,9.02,9.02
86,9.01,8.82,6.84,8.88,9.03
87,9.04,9.03,7.23,5.99,9.0
88,9.01,8.96,0.73,8.21,9.01
89,9.0,9.01,7.57,7.36,9.03
90,9.03,9.02,8.09,8.34,9.04
91,8.83,9.04,7.35,7.65,9.02
92,9.03,9.01,7.83,5.68,8.88
93,9.02,9.01,7.39,9.02,8.57
94,9.03,8.12,8.0,9.0,9.03
95,9.01,9.01,9.0,9.01,8.15
96,9.01,9.03,6.32,9.04,9.01
97,9.01,9.01,0.98,9.03,9.02
98,9.01,9.02,7.41,9.0,9.01
99,8.81,9.02,4.45,9.02,8.88
100,9.01,9.01,7.04,6.35,8.22
