Episódio,PR,PBA,PRA,PG,PRB
1,9.02,1.59,1.15,4.48,9.01
2,9.04,9.03,1.23,3.0,2.84
3,9.02,6.69,0.97,5.28,5.99
4,9.02,6.42,2.36,9.02,9.0
5,5.9,9.01,0.97,9.0,3.31
6,9.01,4.56,0.47,3.52,9.03
7,5.81,3.16,1.13,3.53,8.63
8,6.66,2.28,1.28,4.02,5.25
9,2.96,3.82,1.24,4.15,0.87
10,8.13,9.02,1.96,2.8,9.03
11,9.01,9.01,1.27,3.01,3.79
12,9.03,2.63,1.3,9.01,8.22
13,2.12,9.02,0.19,9.01,9.01
14,3.36,2.15,1.29,6.13,1.18
15,4.03,1.45,1.5,9.01,7.2
16,8.98,9.0,1.54,2.71,6.61
17,1.59,2.34,0.2,3.75,9.04
18,9.0,1.69,1.87,9.02,1.53
19,9.01,8.2,0.3,3.28,1.47
20,2.82,5.23,0.88,4.23,3.9
21,9.02,2.33,2.01,3.75,9.01
22,9.02,9.01,1.07,3.57,2.72
23,7.25,8.53,-0.28,5.49,-0.2
24,9.03,4.49,1.02,3.3,3.59
25,9.03,5.28,1.09,9.02,4.87
26,4.74,7.51,2.95,4.74,3.07
27,7.28,2.72,1.78,2.68,4.09
28,2.45,4.4,2.15,9.02,1.7
29,2.04,5.23,1.02,3.03,1.0
30,8.0,5.52,0.92,8.44,5.69
31,1.06,9.01,1.18,9.0,5.19
32,6.32,1.42,1.18,2.48,4.55
33,4.32,9.03,2.16,9.03,9.01
34,9.0,2.6,-0.27,3.37,1.14
35,4.66,1.88,1.17,3.04,9.02
36,9.03,2.07,1.37,2.65,4.87
37,9.01,9.01,1.09,4.59,6.97
38,9.02,9.03,1.3,3.81,5.35
39,2.43,5.62,0.88,4.24,5.27
40,4.78,1.46,0.95,1.85,0.68
41,9.03,5.89,0.54,1.72,2.64
42,1.23,9.01,1.25,7.08,1.51
43,8.83,9.0,2.2,4.79,2.59
44,3.98,9.02,1.05,4.49,1.15
45,9.01,8.66,1.66,2.59,8.3
46,1.28,9.01,-0.13,4.25,4.29
47,0.97,9.02,1.07,6.01,1.41
48,8.36,9.01,1.18,4.69,8.32
49,5.47,2.07,-0.29,7.03,1.53
50,9.01,8.9,5.88,3.71,9.03
51,4.92,2.03,0.2,5.49,1.68
52,4.06,7.68,2.37,4.83,1.94
53,4.86,9.02,0.96,3.57,1.76
54,8.64,2.3,0.95,3.73,0.95
55,9.02,6.27,1.06,4.04,4.07
56,9.03,1.43,1.79,4.69,3.9
57,9.02,9.03,1.3,3.71,9.01
58,3.11,9.0,1.52,4.93,7.24
59,1.26,4.71,0.96,4.47,5.58
60,9.02,9.01,1.62,5.03,1.54
61,3.08,3.64,1.4,3.94,2.18
62,5.9,2.47,1.13,4.12,9.0
63,1.31,9.0,-0.24,8.0,4.35
64,3.48,3.78,1.39,4.09,9.02
65,4.57,8.12,0.91,2.7,1.46
66,6.53,9.03,1.37,5.1,3.5
67,6.39,8.09,1.17,4.38,0.94
68,2.0,9.0,1.14,2.04,9.03
69,5.21,9.0,0.8,5.1,1.43
70,3.01,9.02,1.12,9.01,1.7
71,9.01,4.11,0.99,2.76,9.02
72,2.03,9.01,0.32,4.18,6.7
73,3.58,3.85,1.07,3.79,1.75
74,9.0,1.26,1.31,2.98,7.45
75,0.97,9.01,2.32,5.25,2.88
76,6.91,9.02,1.09,4.0,2.67
77,9.03,9.0,1.08,4.78,1.0
78,4.11,9.03,1.26,4.03,2.5
79,6.18,2.08,0.94,3.54,1.44
80,8.39,9.01,1.9,5.7,2.42
81,9.03,4.68,1.11,3.68,7.58
82,1.73,9.01,1.18,3.94,1.67
83,3.75,2.27,1.71,4.36,5.75
84,1.29,9.02,2.43,4.48,7.85
85,9.01,9.03,0.99,1.06,2.86
86,4.21,9.01,0.27,4.01,3.14
87,8.6,7.77,1.0,6.61,8.05
88,9.02,9.0,0.09,3.7,7.31
89,9.01,4.04,1.36,4.44,5.59
90,9.0,9.01,0.15,6.22,9.02
91,9.02,9.01,1.14,5.09,4.96
92,9.01,2.6,1.4,2.89,3.6
93,9.03,1.41,1.02,6.1,9.0
94,2.83,6.32,1.71,3.93,3.01
95,7.03,5.74,1.19,3.78,3.3
96,4.24,7.6,1.04,4.4,1.15
97,4.13,2.15,1.13,3.35,8.3
98,6.91,9.03,0.97,3.44,4.13
99,9.01,9.02,1.33,5.08,9.01
100,7.61,8.63,1.41,3.94,1.83
