Episódio,PBA,PRA,PRD,PG,PRB
1,9.0,2.45,9.02,9.0,4.32
2,9.01,7.12,9.03,9.02,9.02
3,7.28,1.9,8.31,2.63,9.01
4,9.01,6.69,6.31,9.02,3.9
5,9.01,3.53,9.02,6.81,6.07
6,9.01,6.68,1.85,9.02,4.5
7,9.01,3.48,7.12,4.3,9.0
8,9.03,0.89,9.03,7.07,4.12
9,9.02,9.01,9.03,9.02,5.56
10,8.53,3.73,9.03,5.04,9.03
11,6.12,2.48,6.88,9.01,2.38
12,7.82,6.85,9.0,2.78,9.01
13,6.69,9.01,9.03,3.48,2.82
14,5.11,5.71,8.34,1.27,9.02
15,9.01,1.75,9.01,9.0,9.01
16,9.0,4.07,8.57,6.91,8.02
17,6.29,7.11,8.55,5.55,9.02
18,9.02,8.28,9.01,9.01,3.82
19,7.0,2.15,9.03,1.8,2.02
20,5.9,7.68,9.0,9.02,4.86
21,9.03,9.02,8.2,3.06,9.02
22,9.01,7.33,9.01,6.89,9.01
23,9.03,6.98,9.0,9.01,7.15
24,8.78,4.54,7.18,4.86,9.03
25,9.01,5.47,9.03,4.27,9.03
26,9.04,6.83,9.03,5.96,9.01
27,9.02,4.94,5.4,9.02,9.02
28,8.49,7.59,7.68,7.4,8.55
29,5.29,3.83,3.53,5.83,9.01
30,9.0,6.3,9.01,4.47,9.04
31,9.02,7.49,9.02,6.09,9.02
32,9.01,5.02,9.0,3.78,7.0
33,3.2,5.83,9.01,6.78,7.0
34,5.27,2.84,9.02,9.02,2.87
35,7.61,4.18,8.82,9.03,9.02
36,7.42,9.01,9.03,6.79,9.03
37,9.03,4.28,9.02,7.2,9.01
38,9.0,1.84,9.02,4.34,8.6
39,9.02,5.57,9.01,9.02,4.08
40,9.02,5.7,9.0,5.56,0.61
41,6.37,7.28,9.04,9.02,1.98
42,9.03,7.49,7.08,5.87,9.01
43,9.0,2.01,9.02,9.01,9.03
44,9.01,2.08,9.01,8.35,9.01
45,9.01,2.53,9.01,6.81,9.03
46,4.42,8.64,8.87,8.76,9.01
47,9.02,2.23,9.03,7.96,9.02
48,8.22,8.58,5.38,3.46,9.02
49,9.0,5.02,9.02,6.3,1.67
50,8.65,4.42,6.53,9.04,9.0
51,6.2,7.15,9.03,3.58,4.28
52,9.01,5.02,9.01,7.47,2.56
53,9.02,2.26,9.03,7.19,9.01
54,3.47,3.14,6.01,7.56,2.88
55,6.94,3.87,7.49,9.02,6.56
56,4.49,7.31,9.01,8.81,9.02
57,9.02,9.03,9.02,2.14,7.29
58,9.03,5.23,7.91,3.13,9.01
59,8.25,7.06,9.02,6.06,4.43
60,9.03,7.8,9.01,7.97,4.4
61,7.61,9.01,4.21,8.35,8.02
62,9.0,1.56,7.67,6.17,7.39
63,9.01,7.12,7.28,1.51,6.86
64,8.06,9.01,7.91,2.0,9.02
65,4.12,3.35,7.6,4.44,9.01
66,9.01,2.28,8.96,6.79,3.57
67,2.29,5.72,7.41,4.94,2.85
68,3.48,5.21,6.28,6.04,3.23
69,3.92,2.42,9.02,8.38,3.44
70,9.01,6.21,9.02,3.69,4.22
71,9.02,3.01,8.99,5.25,9.01
72,6.97,3.01,8.17,8.99,4.57
73,7.79,1.77,9.01,5.18,9.04
74,9.03,5.74,9.0,2.51,6.76
75,7.71,1.67,7.23,9.0,2.8
76,8.29,4.57,5.25,4.97,2.96
77,9.02,4.86,9.02,4.01,4.18
78,6.67,2.92,5.99,1.33,9.03
79,3.86,2.75,9.02,7.64,5.35
80,9.02,7.85,9.0,9.01,9.02
81,6.22,3.3,9.02,3.19,1.72
82,9.01,2.54,9.01,9.01,3.67
83,6.57,6.86,9.02,9.01,2.63
84,9.01,1.89,9.01,1.97,9.02
85,9.01,5.73,9.01,7.52,9.02
86,5.55,7.14,9.01,9.01,9.03
87,8.12,6.57,8.83,8.51,3.08
88,9.0,7.21,9.0,9.0,5.85
89,7.64,6.52,9.01,8.9,4.0
90,9.02,4.28,9.0,9.02,9.01
91,9.03,7.3,9.02,1.7,5.82
92,8.93,6.02,7.55,5.71,6.33
93,9.03,1.89,8.12,5.03,4.04
94,9.01,4.52,7.76,9.0,7.32
95,9.0,4.44,9.02,8.85,8.23
96,4.76,5.1,9.01,9.02,2.69
97,9.01,5.7,9.03,9.02,9.01
98,9.03,9.0,6.3,9.02,9.02
99,4.38,3.44,9.02,3.3,7.25
100,8.79,9.01,9.04,3.45,9.02
