Episódio,PR,PRA,PRD,PG,PRB
1,7.33,4.9,6.57,4.0,4.57
2,7.3,2.53,10.03,3.57,8.0
3,6.47,12.67,7.8,6.83,9.8
4,7.8,4.93,5.97,8.97,11.2
5,8.77,7.8,8.17,9.67,7.93
6,8.97,7.6,8.9,2.67,2.87
7,7.77,2.43,9.53,11.13,2.4
8,11.17,9.5,7.53,10.0,7.97
9,10.13,9.4,6.07,8.93,4.0
10,11.93,3.3,5.1,6.3,8.43
11,7.6,7.07,8.37,5.9,10.43
12,12.27,5.8,9.03,3.67,11.6
13,9.8,6.73,9.1,7.57,7.07
14,11.97,5.0,6.3,5.83,2.87
15,2.67,13.2,6.67,7.1,5.83
16,7.8,5.93,8.43,4.17,3.73
17,7.83,5.1,6.0,2.53,10.73
18,6.5,4.97,8.83,9.63,11.47
19,7.73,4.97,8.63,10.23,10.5
20,2.23,5.7,6.47,10.6,10.4
21,9.63,9.3,9.07,8.47,8.23
22,9.83,12.37,6.7,4.87,6.7
23,7.53,5.17,8.97,10.27,3.97
24,8.3,3.9,6.13,2.33,8.4
25,7.3,6.73,6.53,4.47,7.67
26,6.1,11.73,6.57,4.97,6.87
27,11.47,9.77,7.67,6.03,7.83
28,7.93,5.8,10.33,2.97,6.9
29,10.7,7.37,9.27,6.03,10.6
30,9.87,7.63,5.9,7.93,6.3
31,3.47,4.33,9.1,4.6,8.47
32,6.13,4.93,9.17,10.43,6.53
33,7.97,10.7,8.73,4.07,10.3
34,12.43,9.73,5.4,5.3,11.33
35,10.63,7.3,7.3,8.43,3.67
36,8.17,7.33,8.87,7.63,7.93
37,3.47,6.9,8.4,10.27,9.57
38,10.23,6.17,6.53,4.2,7.63
39,11.63,4.4,7.13,4.43,5.33
40,7.37,3.97,9.2,5.1,8.97
41,2.77,3.83,7.63,7.77,6.53
42,7.37,7.1,8.63,3.33,8.2
43,7.33,2.3,9.07,9.47,5.77
44,11.6,6.7,5.8,8.1,8.3
45,6.67,3.0,6.93,6.27,6.5
46,4.0,4.53,10.43,8.5,4.73
47,11.6,12.73,9.6,6.83,6.6
48,10.87,10.2,8.8,4.1,6.7
49,12.5,5.53,6.2,4.1,8.73
50,8.2,5.0,7.33,6.2,7.2
51,10.63,6.07,3.27,8.13,14.23
52,12.97,5.73,6.63,8.07,5.9
53,9.93,7.7,6.47,3.4,4.27
54,7.27,5.83,6.03,2.23,5.13
55,6.7,12.3,8.83,9.4,6.97
56,10.3,6.53,9.77,2.63,2.47
57,12.6,6.13,3.57,7.97,10.5
58,8.7,4.77,7.47,9.4,6.33
59,10.7,6.07,8.33,3.7,4.2
60,8.8,9.77,7.5,6.4,11.53
61,3.0,4.73,6.83,6.87,4.77
62,11.7,5.83,8.9,7.27,5.4
63,7.1,4.6,2.77,4.8,7.3
64,8.57,8.03,5.9,6.2,7.17
65,9.97,8.43,3.17,6.2,4.43
66,10.73,4.53,7.27,8.67,11.73
67,7.6,3.9,8.7,2.8,13.17
68,9.83,15.03,6.7,9.8,10.8
69,11.6,7.53,9.1,3.93,2.57
70,8.9,12.03,6.57,7.17,7.3
71,5.07,3.53,9.2,2.93,9.97
72,8.73,3.2,5.83,2.87,8.8
73,9.6,11.2,7.77,2.43,9.53
74,6.9,7.2,9.23,8.53,10.8
75,12.2,15.97,8.8,8.7,2.57
76,10.8,10.07,6.2,3.13,13.2
77,11.77,2.33,9.27,3.2,4.0
78,6.7,20.6,9.07,4.83,9.87
79,11.37,5.3,4.93,3.2,10.7
80,12.07,10.1,5.63,8.0,6.13
81,4.1,6.0,8.9,11.47,11.5
82,6.63,4.27,5.3,9.2,7.4
83,10.8,3.73,7.13,6.23,13.53
84,4.47,7.1,6.7,2.33,5.1
85,11.03,4.83,9.47,8.7,8.3
86,9.9,5.77,5.8,8.67,8.27
87,3.93,6.47,6.07,8.9,6.53
88,2.63,4.43,9.1,3.13,11.2
89,6.27,4.97,2.9,8.93,2.33
90,8.37,4.43,7.83,7.73,8.5
91,9.47,5.07,8.1,2.23,4.97
92,11.33,8.47,8.23,3.73,10.6
93,5.43,2.6,9.13,4.9,6.13
94,6.1,4.07,9.33,7.27,8.23
95,11.73,4.27,7.0,2.3,7.8
96,8.3,3.83,8.63,5.67,5.03
97,7.8,9.2,8.87,4.83,12.87
98,10.7,6.07,6.77,8.63,6.13
99,6.9,15.3,2.63,3.17,8.33
100,8.9,17.73,8.57,5.07,7.03
