Episódio,PR,PBA,PRA,PRD,PRB
1,7.33,8.6,2.5,9.53,2.93
2,13.67,8.63,6.13,9.97,11.73
3,7.93,8.3,5.6,8.33,12.57
4,8.1,7.1,13.07,10.97,10.2
5,7.2,3.2,2.83,7.5,7.07
6,4.4,3.2,6.67,7.3,10.8
7,7.13,7.1,3.33,11.1,7.97
8,6.9,7.93,4.1,7.33,9.93
9,8.17,4.93,3.83,7.77,14.4
10,6.6,8.4,6.43,6.87,11.7
11,6.9,8.37,10.3,5.27,5.67
12,9.17,7.07,7.77,10.23,9.43
13,9.7,8.77,16.03,4.93,8.17
14,8.53,7.23,9.43,8.27,11.57
15,8.1,8.1,8.1,7.47,7.23
16,6.9,5.43,4.1,9.3,4.7
17,8.2,10.2,10.33,4.13,3.5
18,9.37,5.13,9.3,7.47,7.0
19,8.9,8.53,6.2,8.3,6.7
20,7.43,6.57,3.9,7.33,9.0
21,9.2,9.13,6.07,9.1,12.03
22,9.87,8.33,13.2,9.87,7.63
23,7.63,11.57,5.53,10.17,4.13
24,6.27,7.8,5.77,10.3,8.0
25,3.0,8.07,7.7,9.53,3.0
26,7.23,7.73,12.5,8.67,11.53
27,8.27,8.43,23.03,8.13,6.87
28,3.1,8.33,6.6,7.07,9.07
29,9.13,5.53,4.67,6.3,9.57
30,8.53,11.4,4.27,7.53,5.23
31,9.63,4.0,5.33,8.9,8.8
32,7.8,6.2,5.33,11.57,8.47
33,7.53,7.2,8.73,7.5,8.5
34,8.3,3.8,9.37,7.7,9.57
35,8.2,8.83,4.53,9.1,5.5
36,8.6,7.2,6.77,8.87,9.5
37,8.13,10.23,6.7,3.63,3.37
38,4.3,8.77,9.93,9.63,6.43
39,10.37,8.37,4.23,7.93,9.03
40,8.27,6.9,3.27,6.97,7.9
41,6.83,8.43,5.3,7.57,7.03
42,9.17,4.13,11.23,7.43,9.4
43,8.27,7.6,6.5,7.5,6.33
44,10.43,8.73,5.57,5.7,8.33
45,6.3,7.47,4.77,10.17,9.67
46,7.73,9.23,4.63,9.87,3.4
47,8.4,8.37,2.53,8.37,8.97
48,8.97,8.63,3.63,10.6,8.87
49,8.23,6.53,10.9,6.37,6.73
50,7.6,8.73,5.73,9.0,8.33
51,8.73,6.03,2.7,4.73,5.67
52,9.33,5.57,6.03,10.17,9.1
53,8.83,9.93,14.13,10.2,7.5
54,6.83,12.5,4.4,9.57,6.5
55,8.53,8.9,3.33,6.63,6.47
56,6.47,8.13,4.13,8.93,6.23
57,4.5,8.7,3.83,6.2,5.5
58,10.47,7.6,3.87,10.2,5.7
59,9.83,8.17,5.5,7.37,8.33
60,10.3,8.7,11.8,6.9,8.53
61,4.67,5.47,8.53,6.97,9.23
62,5.37,7.9,5.77,5.23,6.53
63,6.9,4.73,6.63,8.1,7.13
64,10.5,9.43,7.83,6.4,6.07
65,8.17,7.1,13.97,4.4,5.9
66,5.63,9.93,3.97,6.93,9.43
67,8.7,6.3,2.7,9.27,5.27
68,6.0,7.97,3.57,11.0,6.37
69,6.87,2.27,5.03,2.77,3.67
70,6.57,9.0,7.13,7.9,11.63
71,8.83,8.6,4.53,11.03,9.03
72,9.07,6.33,6.93,12.63,7.73
73,6.7,7.5,6.33,6.13,9.63
74,8.63,4.97,4.27,10.67,10.67
75,6.83,3.07,6.43,8.93,8.43
76,3.2,12.23,4.27,10.23,8.67
77,5.97,6.8,3.5,8.63,8.97
78,8.53,8.93,7.3,8.53,10.07
79,7.67,8.6,3.07,10.1,10.37
80,4.63,6.5,4.43,5.77,11.97
81,8.5,7.93,8.7,10.17,9.77
82,7.13,9.27,10.0,9.93,5.73
83,5.47,8.2,6.1,9.57,7.77
84,6.4,7.27,7.3,7.7,8.47
85,9.9,10.4,5.83,6.03,4.4
86,12.33,11.47,9.4,7.87,7.87
87,8.87,7.97,5.17,8.47,9.03
88,7.77,8.67,5.4,4.4,10.6
89,9.33,12.83,6.6,9.63,10.7
90,7.9,9.0,10.43,6.83,3.97
91,8.93,3.1,10.17,9.23,8.57
92,9.27,6.23,4.1,9.73,3.23
93,7.8,7.0,11.83,6.77,9.17
94,10.7,9.73,9.2,10.37,5.33
95,8.47,8.83,9.77,10.4,9.03
96,10.3,2.83,7.27,6.77,8.67
97,11.53,9.2,6.23,8.4,7.87
98,4.53,6.67,15.1,11.27,6.53
99,8.1,8.37,11.23,6.3,5.7
100,4.0,4.97,9.47,7.27,8.5
