Episódio,PR,PBA,PRD,PG,PRB
1,10.9,7.2,4.77,3.5,6.47
2,4.4,8.03,4.17,5.13,7.33
3,25.0,5.63,11.17,4.03,12.67
4,6.83,7.87,3.3,25.0,6.9
5,25.0,9.47,3.7,25.0,14.47
6,7.63,10.27,6.4,9.23,1.37
7,4.77,7.73,4.93,2.73,3.5
8,15.27,23.8,3.2,5.03,2.8
9,7.53,4.9,4.73,25.0,5.57
10,2.5,5.2,5.5,3.3,4.93
11,4.1,14.27,2.97,8.6,6.23
12,4.4,1.97,3.2,4.87,5.37
13,25.0,15.57,9.0,11.9,3.47
14,15.73,19.5,5.57,5.8,5.07
15,2.5,12.97,4.2,7.53,5.4
16,11.57,25.0,4.47,2.9,5.5
17,2.5,3.2,7.57,7.43,6.23
18,2.73,10.23,3.7,3.93,5.93
19,25.0,6.17,7.87,11.13,4.7
20,3.9,16.57,5.97,4.77,1.7
21,6.07,16.13,5.73,25.0,7.27
22,7.57,2.83,3.27,3.8,25.0
23,4.17,11.4,3.93,11.83,2.73
24,3.3,4.4,6.43,7.93,14.03
25,2.53,9.17,10.57,5.57,25.0
26,5.47,4.6,2.7,4.87,3.77
27,4.5,12.3,6.83,9.17,12.27
28,2.57,14.13,13.03,8.0,25.0
29,4.17,14.5,3.13,4.1,8.67
30,4.73,11.2,4.3,2.23,6.8
31,7.13,10.73,3.2,2.73,5.77
32,7.67,5.07,3.0,25.0,20.4
33,5.63,4.13,2.4,25.0,25.0
34,11.1,19.67,3.8,3.87,10.87
35,15.0,18.1,25.0,25.0,23.7
36,21.3,4.5,2.63,3.27,1.97
37,4.57,4.33,3.07,3.43,8.57
38,7.37,10.37,11.87,4.07,21.27
39,5.33,19.47,2.87,6.6,5.4
40,3.2,6.93,6.47,4.23,7.27
41,4.13,25.0,6.03,8.67,18.0
42,6.07,8.53,3.67,2.6,9.5
43,5.63,7.5,2.97,11.77,3.2
44,3.27,2.47,5.43,21.77,8.63
45,8.97,6.47,3.6,7.23,5.5
46,18.6,7.8,4.6,3.23,4.93
47,8.57,6.77,2.87,7.87,3.63
48,7.77,7.27,4.07,3.87,5.63
49,7.97,4.93,5.37,4.07,5.7
50,25.0,15.53,8.43,25.0,4.47
51,7.97,3.7,5.0,25.0,5.13
52,19.0,1.8,3.7,7.87,25.0
53,13.97,7.3,7.1,25.0,2.17
54,3.23,3.3,2.47,2.67,12.17
55,9.63,2.7,4.2,9.43,7.67
56,6.9,7.37,4.1,5.0,17.57
57,7.77,9.27,9.2,5.13,9.5
58,3.1,3.77,3.3,3.77,7.93
59,3.7,12.33,3.23,25.0,2.67
60,6.1,8.33,9.8,4.2,16.97
61,9.0,2.53,4.53,6.3,6.57
62,4.67,15.47,11.3,25.0,25.0
63,4.3,12.47,2.63,3.7,7.07
64,4.83,9.5,4.3,25.0,1.73
65,15.7,3.53,2.97,2.8,6.63
66,8.03,10.67,5.77,7.43,6.37
67,7.67,25.0,5.07,3.8,3.03
68,17.77,5.03,2.77,25.0,5.37
69,5.1,25.0,10.5,10.27,3.7
70,15.03,8.1,2.43,25.0,11.23
71,4.43,5.63,5.77,25.0,6.03
72,13.33,11.97,4.67,4.17,4.17
73,8.6,7.93,12.97,25.0,8.1
74,5.2,4.6,9.73,25.0,2.47
75,6.9,12.8,3.73,25.0,25.0
76,6.93,7.73,3.27,1.77,11.63
77,4.77,8.6,3.47,25.0,6.83
78,5.2,12.37,6.87,5.77,9.27
79,6.7,13.67,25.0,4.33,10.73
80,9.8,8.63,3.87,2.47,5.37
81,19.1,15.7,10.2,3.23,2.3
82,5.23,5.47,5.33,3.13,3.57
83,15.43,11.53,10.1,8.53,10.1
84,15.03,3.43,8.47,11.37,15.1
85,3.1,5.07,3.67,5.63,7.3
86,5.4,19.0,2.97,6.4,14.53
87,12.73,2.67,4.43,3.83,25.0
88,5.47,6.6,4.37,3.1,7.37
89,5.57,9.8,3.3,4.7,3.67
90,4.6,18.37,3.43,7.43,5.67
91,12.7,2.4,3.7,4.07,7.5
92,25.0,13.9,2.6,1.93,25.0
93,5.4,25.0,3.9,4.27,16.27
94,14.43,13.83,2.43,9.17,19.67
95,6.47,2.7,3.13,3.93,13.17
96,13.83,9.77,6.3,3.0,5.63
97,20.9,1.7,4.67,3.73,25.0
98,18.63,6.77,4.03,3.3,3.9
99,11.5,5.97,8.13,5.87,5.77
100,3.27,6.23,4.07,13.3,12.7
