Episódio,PR,PBA,PRA,PRD,PG
1,10.03,10.33,14.97,9.63,10.17
2,10.53,10.47,15.5,10.0,9.9
3,11.63,10.27,12.13,7.5,9.87
4,10.23,10.23,14.63,8.7,9.93
5,11.0,10.3,20.8,8.13,4.37
6,11.2,9.23,14.4,9.87,10.03
7,9.57,9.97,16.2,7.47,9.47
8,9.87,10.13,12.27,9.07,10.03
9,9.5,9.97,14.23,9.57,9.87
10,10.5,10.33,5.8,9.43,9.6
11,10.6,9.77,10.7,9.53,9.77
12,10.33,9.83,3.77,7.73,10.5
13,10.47,10.17,12.87,8.97,9.9
14,8.73,8.47,25.0,9.0,10.2
15,12.0,10.47,15.43,9.47,9.37
16,10.73,8.2,5.17,9.8,9.93
17,10.47,9.6,13.57,9.43,9.2
18,10.73,10.0,7.87,8.97,9.5
19,10.5,10.2,12.83,9.67,9.87
20,10.23,10.33,8.67,6.77,10.0
21,10.73,10.6,16.43,9.07,9.8
22,10.43,10.6,11.77,9.6,10.47
23,10.8,9.5,13.83,6.87,10.3
24,10.33,10.67,20.97,6.67,9.13
25,10.27,10.83,21.97,9.6,9.77
26,10.17,11.0,25.0,9.77,10.03
27,10.3,10.67,14.27,8.23,10.47
28,10.87,9.9,25.0,9.53,10.73
29,10.23,9.93,5.07,9.63,9.83
30,10.7,9.97,11.87,8.43,10.2
31,10.4,10.5,12.7,7.9,9.43
32,10.67,9.3,10.53,9.6,10.7
33,11.27,9.37,16.2,9.47,10.27
34,10.5,8.57,19.57,4.93,9.9
35,10.2,10.37,10.6,9.13,9.67
36,9.77,9.2,7.73,7.07,9.83
37,10.17,9.33,10.23,7.17,9.73
38,10.43,10.4,10.5,7.43,10.0
39,10.43,10.03,18.1,9.2,9.8
40,10.83,9.93,15.1,7.13,8.37
41,10.73,10.0,8.67,9.13,9.87
42,10.33,10.6,10.97,9.87,10.03
43,10.03,10.67,6.13,9.67,10.13
44,11.13,10.2,25.0,9.37,9.9
45,9.93,11.23,10.8,7.87,8.67
46,9.87,10.23,8.63,9.37,10.7
47,10.1,10.47,14.6,9.0,9.13
48,10.27,10.07,8.67,6.0,10.17
49,10.3,10.43,17.13,6.47,9.77
50,10.5,10.63,15.17,9.47,10.37
51,11.13,5.47,22.47,9.37,9.87
52,10.07,10.03,10.43,9.17,8.57
53,10.13,9.77,16.2,7.6,10.0
54,10.1,10.1,3.97,8.8,9.9
55,10.63,9.93,10.67,7.83,10.4
56,10.13,9.9,15.8,4.07,9.2
57,10.87,11.5,17.1,9.97,10.27
58,9.57,10.17,20.2,7.87,8.93
59,10.53,10.27,10.2,9.4,10.27
60,10.87,10.43,17.0,9.07,10.0
61,10.2,11.03,18.4,9.03,9.6
62,10.03,10.97,4.7,9.53,9.83
63,10.17,10.57,10.6,9.2,9.2
64,10.13,10.67,14.2,9.27,10.23
65,10.1,10.5,11.23,8.1,9.73
66,10.37,10.17,14.77,6.63,10.03
67,9.83,10.1,12.63,8.8,10.17
68,7.53,10.97,8.07,7.77,10.1
69,11.07,5.47,14.0,9.0,9.4
70,10.03,9.53,16.4,9.37,9.93
71,8.9,9.7,15.63,6.2,9.17
72,11.17,10.0,8.8,9.8,9.47
73,10.07,10.87,11.83,7.3,16.13
74,10.6,4.57,14.73,9.43,7.8
75,10.33,10.77,14.23,8.77,9.9
76,9.43,6.17,10.13,7.13,10.63
77,10.5,10.67,25.0,8.4,10.87
78,9.97,10.03,11.47,9.0,10.87
79,8.57,10.57,10.13,9.6,10.87
80,6.87,9.9,20.1,9.53,6.03
81,9.9,9.43,8.8,9.53,5.87
82,9.73,10.0,13.17,9.57,9.7
83,10.27,9.9,4.97,3.93,9.87
84,9.93,10.27,15.3,9.13,10.33
85,10.37,10.6,11.57,9.23,10.17
86,9.97,10.43,12.33,9.4,10.1
87,10.53,9.93,13.13,6.33,11.1
88,10.1,10.93,3.33,8.6,10.03
89,10.53,10.1,13.73,8.13,11.2
90,10.57,10.27,15.7,9.37,9.7
91,11.1,11.17,13.87,8.0,10.17
92,11.23,10.13,16.63,5.63,9.9
93,10.53,10.13,15.27,9.2,9.63
94,10.37,9.7,16.13,10.13,10.03
95,10.33,9.9,13.87,9.73,8.93
96,10.0,10.23,14.27,9.67,10.83
97,10.7,10.63,8.23,9.1,9.9
98,11.2,10.17,16.37,9.3,9.57
99,10.87,9.87,12.57,9.73,10.0
100,10.23,9.7,14.73,6.83,9.03
