Episódio,PR,PBA,PRA,PG,PRB
1,11.8,2.7,1.73,6.6,15.67
2,12.87,11.63,1.93,6.6,6.23
3,12.83,10.73,1.9,7.7,11.03
4,12.07,9.9,5.87,11.23,13.57
5,8.27,12.3,1.93,11.73,5.63
6,12.3,8.17,3.43,5.17,19.0
7,8.3,4.37,2.13,5.97,13.0
8,10.0,3.07,2.13,5.8,9.07
9,4.33,5.9,2.17,5.93,1.5
10,10.83,16.3,6.37,4.87,13.83
11,11.57,11.63,2.4,5.77,7.77
12,13.17,3.6,2.0,11.1,12.4
13,5.03,12.7,3.67,11.77,13.63
14,5.17,3.9,2.17,8.1,1.93
15,6.27,1.93,4.93,11.13,10.0
16,12.3,12.67,7.0,5.87,9.23
17,2.37,3.93,4.03,5.8,15.43
18,14.8,3.1,6.37,13.27,2.23
19,12.9,10.43,3.0,5.2,2.2
20,7.57,7.7,3.6,7.77,6.0
21,12.2,3.7,7.57,7.8,11.97
22,13.23,12.3,1.97,6.43,4.07
23,10.07,11.73,3.9,7.7,1.4
24,11.7,7.63,1.93,6.07,11.3
25,12.8,8.7,2.0,11.07,6.53
26,6.47,10.47,11.7,7.37,5.83
27,9.6,6.67,4.0,5.2,6.13
28,4.27,6.9,8.4,12.37,2.9
29,4.1,10.87,1.6,5.77,1.73
30,10.37,7.1,1.63,11.17,7.57
31,1.63,11.7,1.8,11.07,7.9
32,9.83,2.43,2.63,5.27,10.13
33,6.33,14.87,8.3,10.93,15.3
34,11.9,4.17,5.77,5.8,1.8
35,9.9,3.63,2.07,5.63,12.5
36,13.43,3.27,2.57,5.17,9.3
37,12.27,11.83,5.0,7.17,9.77
38,12.23,11.87,10.07,5.73,8.9
39,6.67,8.97,1.57,6.6,7.93
40,6.93,2.07,1.7,3.33,3.7
41,13.6,8.07,5.17,4.17,4.07
42,4.13,12.47,4.1,9.57,2.27
43,12.23,11.83,8.8,6.87,4.23
44,7.47,12.23,1.6,7.57,4.63
45,11.9,12.07,6.53,4.93,12.17
46,1.87,11.77,4.0,6.37,7.1
47,4.43,11.7,2.1,8.67,1.9
48,13.2,12.27,2.17,6.87,11.53
49,8.77,3.53,8.07,10.1,2.3
50,11.43,11.63,15.4,7.8,11.83
51,8.1,3.03,10.63,8.47,2.63
52,5.7,12.77,9.43,6.9,4.47
53,6.47,12.63,1.9,7.0,2.77
54,12.63,4.6,1.6,6.27,1.8
55,12.7,9.73,1.7,6.13,7.1
56,11.0,2.0,6.3,7.87,7.53
57,12.03,15.93,1.87,6.7,13.8
58,5.57,11.4,4.83,8.1,10.1
59,2.1,7.7,2.67,6.33,9.93
60,13.63,12.4,4.47,6.7,2.27
61,5.73,5.37,5.97,6.17,3.43
62,8.03,3.83,4.13,6.43,10.83
63,1.93,12.93,4.73,10.5,8.63
64,5.33,6.6,2.37,5.87,13.07
65,10.8,11.53,1.7,4.93,2.33
66,9.67,12.6,2.63,7.43,5.97
67,9.57,11.33,2.33,6.63,4.0
68,3.23,13.23,1.7,4.0,11.9
69,11.07,12.7,6.37,6.83,1.6
70,5.23,12.9,1.73,11.37,2.6
71,13.07,8.23,10.57,4.83,12.17
72,5.13,12.0,3.87,6.93,9.83
73,5.2,5.67,2.03,5.67,2.67
74,12.0,1.8,5.4,5.13,10.73
75,5.0,13.07,10.4,7.33,6.23
76,10.77,12.03,1.67,6.6,3.77
77,12.6,12.83,1.87,6.8,6.4
78,7.37,13.47,2.23,6.1,4.0
79,11.27,8.9,2.73,5.5,2.5
80,11.07,13.53,6.67,7.87,5.03
81,12.6,6.5,1.9,6.3,10.73
82,2.97,11.7,1.87,5.97,2.43
83,5.87,3.2,3.63,7.03,9.7
84,3.63,12.3,5.6,6.57,10.23
85,14.0,13.3,1.77,5.27,4.37
86,7.47,12.73,3.83,6.0,6.2
87,11.17,10.8,1.9,8.6,13.63
88,12.9,11.57,3.03,6.67,11.17
89,11.43,5.43,2.07,6.4,8.0
90,13.83,13.33,4.67,8.1,13.5
91,12.8,13.1,2.43,6.9,8.0
92,12.83,5.17,3.37,5.1,7.83
93,13.57,2.1,3.47,8.77,12.5
94,5.77,10.27,7.6,5.9,4.67
95,10.33,10.87,2.2,5.13,5.7
96,9.3,10.57,4.43,7.13,1.67
97,7.37,2.87,1.87,6.4,11.57
98,10.03,11.9,2.2,7.0,8.87
99,14.33,14.83,2.13,7.27,13.7
100,12.93,11.2,2.2,5.87,4.53
