Episódio,PBA,PRA,PRD,PG,PRB
1,10.83,3.97,10.27,10.0,5.4
2,11.5,25.0,10.07,10.2,12.07
3,9.6,4.97,9.6,3.97,11.6
4,11.6,17.97,7.27,11.23,5.37
5,12.03,8.4,9.33,9.47,8.5
6,11.1,13.23,2.9,11.33,6.7
7,11.5,6.47,8.1,5.37,11.83
8,11.47,4.23,9.77,10.0,5.1
9,11.5,18.23,10.13,12.47,6.97
10,10.87,6.13,10.17,6.83,11.33
11,8.17,4.33,7.8,10.8,4.37
12,10.1,21.0,10.07,3.97,11.8
13,8.83,18.87,9.67,4.83,3.57
14,6.67,11.67,9.4,5.37,11.73
15,11.13,3.2,10.0,11.03,11.63
16,11.47,9.27,9.63,8.9,11.0
17,8.3,15.6,9.43,8.17,11.6
18,11.63,16.23,9.6,11.27,4.87
19,9.2,4.4,10.37,2.8,3.47
20,7.4,20.57,9.77,11.0,6.3
21,10.93,17.8,8.83,4.97,11.4
22,11.73,16.93,9.77,8.97,12.0
23,11.8,12.93,10.0,10.9,10.17
24,11.5,12.1,8.7,7.07,12.33
25,11.83,13.23,9.67,5.87,11.53
26,11.57,14.23,10.23,8.1,11.53
27,11.73,9.9,6.43,10.6,11.63
28,10.8,16.8,8.7,9.57,9.93
29,6.8,11.07,4.23,7.23,11.63
30,11.47,15.6,9.93,5.73,11.17
31,11.8,19.93,9.9,7.7,10.93
32,11.57,8.1,9.93,6.23,9.73
33,3.63,13.2,9.9,8.73,8.93
34,7.0,5.87,10.23,11.0,4.3
35,10.2,10.3,10.73,11.13,11.43
36,9.63,18.33,10.03,8.73,11.47
37,11.8,8.93,10.07,8.77,11.23
38,11.83,3.57,10.5,5.93,9.87
39,10.83,20.2,10.0,11.1,5.6
40,11.73,15.9,10.87,7.87,3.47
41,8.13,25.0,9.67,11.1,3.47
42,11.4,17.63,8.43,7.7,12.17
43,11.3,4.3,10.07,10.87,11.8
44,12.13,3.5,10.03,11.57,11.73
45,11.47,5.73,10.37,9.43,11.97
46,5.4,16.67,10.03,10.73,12.17
47,11.53,4.73,9.53,10.9,11.87
48,10.47,25.0,5.37,5.43,11.57
49,10.83,25.0,10.53,7.03,2.77
50,11.03,13.33,8.43,11.2,11.63
51,8.63,15.0,9.7,4.37,5.43
52,11.1,12.03,10.07,9.53,4.77
53,11.23,4.07,9.9,10.17,11.63
54,5.57,5.7,6.93,9.27,5.2
55,9.77,10.03,8.07,10.57,9.13
56,6.17,14.23,10.7,10.1,11.6
57,11.53,19.0,10.03,4.17,9.73
58,12.13,12.0,8.8,4.97,12.2
59,10.57,13.63,9.93,7.57,6.2
60,11.13,25.0,10.33,10.8,7.33
61,9.67,18.33,5.43,9.97,11.87
62,12.07,3.43,9.4,8.07,9.43
63,11.67,18.1,8.63,2.77,10.7
64,10.63,17.43,9.43,4.37,12.47
65,5.67,7.27,8.17,5.5,11.67
66,11.47,4.23,9.97,8.7,4.63
67,3.67,25.0,8.27,6.23,4.13
68,6.03,10.43,7.4,8.0,4.73
69,5.33,4.47,9.97,10.3,5.8
70,12.03,14.73,9.8,5.37,5.53
71,10.87,5.5,10.03,6.57,11.53
72,9.03,6.93,9.1,11.0,6.97
73,11.13,3.63,10.17,7.8,11.2
74,11.6,13.07,9.6,3.7,8.77
75,9.97,4.43,7.93,11.3,2.77
76,11.8,25.0,6.73,5.7,3.87
77,11.57,25.0,10.23,6.0,5.77
78,8.53,8.87,7.33,2.73,12.1
79,5.13,5.07,10.03,8.73,7.07
80,11.47,14.93,10.33,11.0,11.43
81,8.83,8.73,10.2,4.3,2.93
82,11.47,4.27,9.77,11.6,4.5
83,8.63,14.17,10.0,10.83,3.43
84,11.43,4.2,10.0,2.73,11.8
85,12.3,15.97,9.43,10.97,12.4
86,8.23,15.93,10.5,11.4,11.5
87,10.53,13.47,10.33,10.8,4.77
88,12.27,13.33,9.57,10.53,7.33
89,10.0,25.0,10.3,12.0,5.3
90,11.7,9.13,10.6,11.47,11.43
91,11.53,13.47,9.97,2.8,7.8
92,11.53,13.13,8.4,8.4,7.33
93,11.2,5.03,9.0,7.93,5.27
94,11.43,10.13,8.3,11.3,8.73
95,11.33,14.0,10.1,10.57,11.53
96,6.7,12.73,10.4,11.27,3.47
97,11.0,15.93,10.2,10.67,11.7
98,11.07,16.33,7.2,10.87,10.27
99,5.53,7.37,9.73,4.77,9.37
100,10.9,16.77,10.1,6.07,11.77
