,PR,PG,PRA,PRB,PRD
,"0,83","0,73","0,33","0,87","0,59"
,"0,78","0,60","0,25","0,86","0,78"
,"0,76","0,65","0,53","0,88","0,62"
,"0,78","0,64","0,40","0,88","0,65"
,"0,75","0,56","0,48","0,87","0,73"
,"0,81","0,77","0,61","0,87","0,56"
,"0,78","0,72","0,73","0,84","0,72"
,"0,79","0,71","0,01","0,89","0,74"
,"0,78","0,28","0,30","0,91","0,65"
,"0,78","0,69","0,24","0,87","0,55"
,"0,75","0,52","0,63","0,92","0,77"
,"0,77","0,69","0,56","0,92","0,73"
,"0,76","0,63","0,12","0,89","0,71"
,"0,77","0,69","0,09","0,88","0,55"
,"0,81","0,72","0,13","0,86","0,75"
,"0,78","0,55","0,06","0,86","0,71"
,"0,76","0,57","0,57","0,94","0,60"
,"0,78","0,75","0,69","0,90","0,54"
,"0,76","0,71","0,38","0,88","0,79"
,"0,80","0,58","0,11","0,87","0,68"
,"0,83","0,61","0,07","0,85","0,63"
,"0,77","0,61","0,55","0,85","0,73"
,"0,77","0,64","0,39","0,95","0,73"
,"0,76","0,73","0,59","0,85","0,59"
,"0,76","0,69","0,35","0,83","0,61"
,"0,78","0,56","0,42","0,82","0,72"
,"0,77","0,67","0,15","0,79","0,41"
,"0,79","0,70","0,09","0,88","0,64"
,"0,78","0,23","0,08","0,91","0,48"
,"0,78","0,69","0,77","0,90","0,78"
,"0,76","0,67","0,17","0,86","0,77"
,"0,78","0,77","0,75","0,86","0,58"
,"0,88","0,75","0,31","0,77","0,61"
,"0,75","0,19","0,20","0,80","0,62"
,"0,75","0,76","0,25","0,87","0,52"
,"0,77","0,58","0,72","0,95","0,63"
,"0,76","0,74","0,43","0,78","0,76"
,"0,76","0,46","0,71","0,87","0,76"
,"0,83","0,62","0,46","0,84","0,63"
,"0,77","0,65","0,13","0,91","0,71"
,"0,78","0,65","0,05","0,90","0,73"
,"0,79","0,42","0,17","0,85","0,72"
,"0,80","0,73","0,27","0,84","0,76"
,"0,74","0,76","0,42","0,84","0,74"
,"0,79","0,58","0,35","0,80","0,72"
,"0,82","0,69","0,62","0,88","0,77"
,"0,78","0,63","0,51","0,86","0,77"
,"0,79","0,77","0,24","0,89","0,73"
,"0,83","0,69","0,31","0,86","0,58"
,"0,78","0,54","0,12","0,85","0,77"
,"0,72","0,54","0,39","0,71","0,67"
,"0,81","0,41","0,53","0,90","0,60"
,"0,80","0,63","0,29","0,92","0,71"
,"0,62","0,60","0,51","0,89","0,50"
,"0,71","0,65","0,42","0,91","0,64"
,"0,73","0,72","0,47","0,80","0,72"
,"0,78","0,67","0,25","0,78","0,57"
,"0,74","0,61","0,38","0,89","0,79"
,"0,78","0,61","0,61","0,88","0,61"
,"0,81","0,64","0,24","0,86","0,73"
,"0,79","0,78","0,00","0,82","0,68"
,"0,75","0,72","0,13","0,82","0,64"
,"0,77","0,56","0,72","0,85","0,70"
,"0,76","0,64","0,21","0,84","0,57"
,"0,73","0,70","0,44","0,86","0,70"
,"0,79","0,76","0,47","0,89","0,72"
,"0,62","0,60","0,05","0,89","0,71"
,"0,58","0,70","0,56","0,82","0,68"
,"0,73","0,59","0,03","0,81","0,71"
,"0,75","0,63","0,31","0,95","0,70"
,"0,83","0,68","0,24","0,92","0,50"
,"0,77","0,57","0,14","0,90","0,75"
,"0,70","0,57","0,48","0,83","0,68"
,"0,78","0,23","0,41","0,69","0,70"
,"0,77","0,72","0,14","0,84","0,69"
,"0,70","0,56","0,30","0,85","0,75"
,"0,78","0,66","0,27","0,84","0,70"
,"0,78","0,66","0,14","0,90","0,67"
,"0,75","0,79","0,05","0,85","0,23"
,"0,79","0,68","0,71","0,85","0,67"
,"0,70","0,64","0,03","0,95","0,72"
,"0,79","0,63","0,30","0,90","0,77"
,"0,76","0,62","0,06","0,91","0,71"
,"0,79","0,70","0,43","0,88","0,73"
,"0,73","0,52","0,84","0,85","0,68"
,"0,67","0,44","0,11","0,85","0,71"
,"0,77","0,75","0,42","0,91","0,72"
,"0,73","0,55","0,20","0,82","0,78"
,"0,76","0,70","0,63","0,89","0,74"
,"0,77","0,71","0,35","0,88","0,68"
,"0,78","0,67","0,37","0,81","0,69"
,"0,77","0,77","0,22","0,89","0,50"
,"0,81","0,66","0,05","0,89","0,67"
,"0,79","0,45","0,19","0,84","0,62"
,"0,79","0,61","0,43","0,91","0,53"
,"0,71","0,72","0,17","0,88","0,72"
,"0,82","0,67","0,54","0,85","0,75"
,"0,82","0,55","0,57","0,89","0,76"
,"0,79","0,74","0,71","0,91","0,61"
,"0,81","0,73","0,48","0,93","0,77"
