,PBA,PG,PRA,PRB,PRD
,"0,56","0,72","0,17","0,90","0,76"
,"0,65","0,64","0,58","0,86","0,70"
,"0,68","0,69","0,03","0,78","0,70"
,"0,74","0,54","0,50","0,88","0,75"
,"0,73","0,64","0,03","0,82","0,71"
,"0,74","0,59","0,62","0,81","0,73"
,"0,78","0,74","0,33","0,90","0,70"
,"0,71","0,75","0,12","0,92","0,67"
,"0,89","0,68","0,70","0,90","0,68"
,"0,75","0,67","0,42","0,86","0,75"
,"0,67","0,74","0,66","0,79","0,78"
,"0,71","0,66","0,19","0,87","0,69"
,"0,73","0,64","0,02","0,86","0,42"
,"0,74","0,62","0,50","0,81","0,65"
,"-0,01","0,69","0,45","0,75","0,64"
,"0,70","0,74","0,32","0,75","0,73"
,"0,72","0,68","0,43","0,86","0,67"
,"0,61","0,69","0,42","0,84","0,61"
,"0,53","0,70","0,03","0,86","0,70"
,"-0,05","0,38","-0,03","0,88","0,37"
,"0,76","0,72","0,36","0,84","0,74"
,"0,78","0,65","-0,03","0,86","0,68"
,"0,72","0,68","0,53","0,84","0,72"
,"0,72","0,71","0,29","0,87","0,77"
,"0,69","0,73","0,27","0,84","0,71"
,"0,74","0,71","0,73","0,89","0,73"
,"0,79","0,69","0,35","0,88","0,76"
,"0,65","0,59","0,50","0,83","0,57"
,"0,71","0,73","0,42","0,88","0,50"
,"0,91","0,59","0,41","0,84","0,77"
,"0,54","0,67","0,69","0,87","0,65"
,"0,70","0,63","0,87","0,85","0,64"
,"0,70","0,58","0,85","0,80","0,68"
,"0,73","0,67","0,20","0,86","0,76"
,"0,85","0,60","0,12","0,88","0,47"
,"0,72","0,68","0,11","0,93","0,67"
,"0,66","0,47","0,58","0,89","0,73"
,"0,84","0,19","0,22","0,87","0,74"
,"0,77","0,53","0,78","0,87","0,36"
,"0,76","0,68","0,35","0,83","0,69"
,"0,01","0,73","0,65","0,84","0,66"
,"0,61","0,69","0,81","0,87","0,30"
,"0,79","0,71","0,21","0,90","0,72"
,"0,69","0,67","0,32","0,81","0,53"
,"0,67","0,56","0,25","0,88","0,76"
,"0,39","0,69","0,00","0,91","0,69"
,"0,78","0,72","0,87","0,89","0,22"
,"0,82","0,69","0,33","0,88","0,63"
,"0,72","0,62","0,41","0,87","0,62"
,"0,71","0,58","0,04","0,86","0,79"
,"0,85","0,65","0,56","0,81","0,61"
,"0,69","0,60","0,10","0,89","0,71"
,"0,72","0,63","0,17","0,89","0,75"
,"0,71","0,63","0,12","0,89","0,68"
,"0,70","0,73","0,20","0,85","0,71"
,"0,88","0,67","0,40","0,89","0,82"
,"0,72","0,84","0,15","0,79","0,75"
,"0,59","0,68","0,55","0,93","0,56"
,"0,84","0,69","0,45","0,86","0,60"
,"0,75","0,52","0,73","0,83","0,66"
,"0,53","0,21","0,18","0,88","0,54"
,"0,77","0,38","0,53","0,90","0,73"
,"0,73","0,30","0,55","0,85","0,68"
,"0,75","0,48","0,35","0,89","0,65"
,"0,81","0,68","0,13","0,89","0,42"
,"0,84","0,71","0,39","0,87","0,68"
,"0,73","0,69","0,43","0,90","0,67"
,"0,86","0,71","0,40","0,82","0,62"
,"0,73","0,62","0,40","0,81","0,47"
,"0,61","0,66","0,27","0,90","0,58"
,"0,63","0,70","0,68","0,82","0,69"
,"0,65","0,57","0,27","0,81","0,40"
,"0,80","0,69","0,43","0,90","0,69"
,"0,70","0,73","0,37","0,85","0,75"
,"0,74","0,61","0,29","0,81","0,19"
,"0,82","0,63","0,48","0,96","0,64"
,"0,51","0,26","0,62","0,86","0,72"
,"0,49","0,71","0,55","0,90","0,56"
,"0,80","0,67","0,24","0,91","0,55"
,"0,75","0,76","0,18","0,76","0,76"
,"0,36","0,56","0,09","0,91","0,72"
,"0,66","0,70","0,66","0,93","0,58"
,"0,80","0,81","0,17","0,88","0,64"
,"0,40","0,69","0,13","0,91","0,35"
,"0,79","0,67","0,47","0,87","0,64"
,"0,78","0,73","0,73","0,90","0,56"
,"0,40","0,77","0,17","0,86","0,77"
,"-0,07","0,78","0,67","0,89","0,70"
,"0,69","0,61","0,40","0,85","0,79"
,"0,79","0,76","0,66","0,85","0,65"
,"0,51","0,72","0,18","0,80","0,70"
,"0,80","0,72","0,06","0,80","0,70"
,"0,64","0,59","0,37","0,86","0,67"
,"0,77","0,60","0,47","0,87","0,49"
,"0,62","0,77","0,28","0,87","0,68"
,"0,77","0,60","0,23","0,90","0,46"
,"0,66","0,57","0,32","0,84","0,56"
,"0,61","0,75","0,11","0,80","0,69"
,"0,69","0,75","0,66","0,81","0,63"
,"0,63","0,86","0,43","0,88","0,59"
