,PR,PBA,PG,PRB,PRD
,"0,62","0,32","0,51","0,50","0,66"
,"0,28","-0,01","0,43","0,47","0,64"
,"0,38","0,38","0,45","0,36","0,51"
,"0,37","0,20","0,34","0,58","0,40"
,"0,42","0,38","0,56","0,43","0,50"
,"0,50","0,31","0,50","0,49","0,14"
,"0,54","-0,02","0,57","0,56","0,53"
,"0,21","0,22","0,17","0,29","0,60"
,"0,49","0,18","0,32","0,56","0,57"
,"0,61","0,05","0,20","0,17","0,31"
,"0,57","0,19","0,50","0,48","0,53"
,"0,33","0,34","0,38","0,16","0,65"
,"0,48","0,43","0,24","0,48","0,05"
,"0,49","0,18","0,35","0,15","0,59"
,"0,55","0,10","0,29","0,50","0,30"
,"0,44","0,15","0,08","0,25","0,22"
,"0,46","0,49","0,18","0,51","0,05"
,"0,51","0,12","0,42","0,16","0,29"
,"0,49","0,25","0,23","0,62","0,10"
,"0,37","0,30","0,59","0,25","0,25"
,"0,51","0,10","0,38","0,41","0,27"
,"0,43","0,20","0,27","0,49","0,54"
,"0,54","-0,02","0,17","0,48","-0,07"
,"0,38","0,12","0,20","0,43","0,53"
,"0,41","0,17","0,47","0,36","0,55"
,"0,48","0,34","0,29","0,30","0,25"
,"0,50","0,21","0,10","0,48","0,45"
,"0,45","0,29","0,14","0,15","0,26"
,"0,35","0,30","0,31","0,50","0,64"
,"0,40","0,12","0,14","0,25","0,56"
,"0,38","0,27","0,29","0,50","0,65"
,"0,62","0,12","0,47","0,57","0,45"
,"0,44","0,27","0,41","0,56","0,26"
,"0,48","0,25","0,40","0,40","-0,05"
,"0,41","0,37","0,31","0,65","0,57"
,"0,49","0,27","0,45","0,46","0,53"
,"0,48","0,17","0,34","0,64","0,22"
,"0,51","0,23","0,43","0,24","0,13"
,"0,28","0,47","0,56","0,50","0,56"
,"0,36","0,06","0,33","0,42","0,56"
,"0,29","0,17","0,33","0,42","0,10"
,"0,42","0,41","0,38","0,36","0,31"
,"0,47","0,06","0,38","0,35","0,25"
,"0,59","0,08","0,25","0,16","0,66"
,"0,44","-0,02","0,06","0,57","0,25"
,"0,52","0,22","0,16","0,39","-0,03"
,"0,47","0,14","0,51","0,53","0,51"
,"0,34","0,20","0,46","0,41","0,55"
,"0,20","0,22","0,30","0,44","-0,04"
,"0,33","0,22","0,28","0,56","0,38"
,"0,48","-0,01","0,50","0,35","0,02"
,"0,42","0,08","0,17","0,69","0,25"
,"0,56","0,27","0,33","0,43","0,51"
,"0,55","0,19","0,55","0,08","0,60"
,"0,39","0,18","0,61","0,41","0,62"
,"0,51","0,21","-0,06","0,53","0,28"
,"0,48","0,26","0,61","0,45","0,70"
,"0,44","0,20","0,17","0,43","0,31"
,"0,52","0,33","0,35","0,63","0,36"
,"0,31","0,39","0,46","0,47","0,36"
,"0,49","0,24","0,32","0,42","0,24"
,"0,45","0,31","0,24","0,49","0,27"
,"0,39","0,14","0,34","0,58","-0,05"
,"0,52","0,33","0,48","0,27","0,59"
,"0,46","0,33","0,35","0,63","0,53"
,"0,54","0,06","0,27","0,53","0,52"
,"0,23","0,08","0,57","0,58","0,50"
,"0,50","0,14","0,50","0,28","0,67"
,"0,54","0,21","0,53","0,46","0,13"
,"0,42","0,28","0,18","0,43","0,64"
,"0,55","0,17","0,43","0,51","0,09"
,"0,43","0,31","0,40","0,39","0,08"
,"0,49","0,16","0,32","0,64","0,53"
,"0,44","0,32","0,50","0,53","0,24"
,"0,38","0,14","0,42","0,55","0,22"
,"0,18","0,28","0,32","0,27","0,66"
,"0,19","-0,02","0,60","0,13","0,58"
,"0,33","0,22","0,25","0,36","0,56"
,"0,54","0,24","0,46","0,60","0,34"
,"0,53","0,30","0,36","0,36","0,28"
,"0,38","0,30","0,38","0,35","0,59"
,"0,60","0,07","0,40","0,57","0,63"
,"0,48","0,16","0,52","0,19","0,47"
,"0,45","0,19","0,43","0,49","0,43"
,"0,36","0,24","0,35","0,55","0,56"
,"0,45","0,14","0,31","0,55","0,07"
,"0,49","0,25","0,36","0,55","0,53"
,"0,54","0,11","0,47","0,22","0,03"
,"0,26","0,00","0,53","0,55","0,66"
,"0,47","0,42","0,17","0,52","0,03"
,"0,54","0,27","0,38","0,53","0,47"
,"0,46","0,14","0,46","0,47","0,42"
,"0,38","-0,12","0,36","0,48","0,29"
,"0,45","0,43","0,45","0,50","0,22"
,"0,32","0,10","0,40","0,65","0,54"
,"0,40","0,28","0,17","0,44","0,23"
,"0,36","0,04","0,53","0,12","0,61"
,"0,55","0,20","0,27","0,45","0,44"
,"0,47","0,24","0,34","0,35","0,62"
,"0,54","0,11","0,39","0,48","0,64"
