,PR,PBA,PG,PRA,PRD
,"0,80","0,64","0,60","0,45","0,58"
,"0,75","0,72","0,53","0,27","0,45"
,"0,78","0,68","0,60","0,23","0,54"
,"0,73","0,81","0,66","0,71","0,66"
,"0,71","0,76","0,67","0,14","0,59"
,"0,67","0,67","0,69","0,38","0,48"
,"0,76","-0,09","0,55","0,52","0,66"
,"0,81","0,65","0,62","0,50","0,58"
,"0,80","0,56","0,57","0,50","0,58"
,"0,80","0,56","0,57","0,55","0,65"
,"0,54","0,86","0,67","0,26","0,49"
,"0,76","0,75","0,64","0,51","0,66"
,"0,79","0,66","0,59","0,26","0,66"
,"0,77","0,57","0,64","0,41","0,61"
,"0,77","0,67","0,71","0,72","0,72"
,"0,73","0,39","0,27","0,43","0,72"
,"0,78","0,81","0,71","0,23","0,59"
,"0,78","0,79","0,84","0,39","0,68"
,"0,58","0,85","0,68","0,75","0,67"
,"0,77","0,87","0,61","0,53","0,65"
,"0,79","0,52","0,75","0,35","0,75"
,"0,75","0,62","0,60","0,08","0,67"
,"0,70","0,44","0,85","0,64","-0,15"
,"0,73","0,77","0,71","0,15","0,32"
,"0,78","0,59","0,79","0,06","0,75"
,"0,78","0,81","0,71","0,10","0,53"
,"0,78","0,74","0,77","0,26","0,67"
,"0,86","0,55","0,69","0,02","0,58"
,"0,77","0,75","0,63","0,28","0,57"
,"0,81","0,77","0,51","0,58","0,75"
,"0,82","0,72","0,76","0,32","0,66"
,"0,72","0,57","0,65","0,03","0,45"
,"0,78","0,62","0,63","0,04","0,59"
,"0,67","0,80","0,72","0,25","0,63"
,"0,79","0,40","0,78","0,04","0,72"
,"0,79","0,60","0,62","0,53","0,52"
,"0,80","0,63","0,68","0,37","0,71"
,"0,87","0,78","0,64","0,05","0,60"
,"0,73","0,54","0,59","0,48","0,66"
,"0,18","0,70","0,62","0,24","0,18"
,"0,57","0,39","0,72","0,44","0,65"
,"0,74","0,78","0,50","0,24","0,66"
,"0,77","0,72","0,37","0,55","0,61"
,"0,77","0,49","0,64","0,61","0,25"
,"0,75","0,69","0,73","0,42","0,68"
,"0,74","0,47","0,32","0,32","0,60"
,"0,76","0,71","0,69","0,06","0,74"
,"0,78","0,74","0,60","0,45","0,72"
,"0,60","0,78","0,57","0,36","0,67"
,"0,77","0,56","0,62","0,68","0,76"
,"0,79","0,63","0,79","0,28","0,64"
,"0,54","0,67","0,63","0,02","0,43"
,"0,77","0,74","0,71","-0,10","0,64"
,"0,55","0,43","0,69","0,13","0,53"
,"0,72","0,74","0,64","0,20","0,57"
,"0,78","0,34","0,61","0,09","0,52"
,"0,75","0,82","0,68","0,26","0,65"
,"0,74","0,79","0,56","0,73","0,72"
,"0,71","0,38","0,61","0,50","0,56"
,"0,60","0,78","0,78","0,19","0,68"
,"0,68","0,58","0,71","0,42","0,63"
,"0,78","0,33","0,44","0,05","0,83"
,"0,64","0,67","0,51","0,83","0,50"
,"0,72","0,69","0,46","0,52","0,69"
,"0,77","0,24","0,73","0,45","0,63"
,"0,77","0,61","0,73","0,50","0,59"
,"0,69","0,68","0,29","0,20","0,24"
,"0,68","0,84","0,60","0,25","0,76"
,"0,59","0,31","0,78","0,42","0,89"
,"0,76","0,70","0,55","0,48","0,65"
,"0,78","0,52","0,59","0,67","0,74"
,"0,66","0,78","0,49","0,72","0,68"
,"0,81","0,65","0,74","0,85","0,66"
,"0,77","0,84","0,69","0,45","0,69"
,"1,01","0,09","0,76","0,03","0,46"
,"0,76","0,68","0,66","0,25","0,71"
,"0,72","0,02","0,69","0,14","0,16"
,"0,75","0,60","0,66","0,19","0,63"
,"0,76","0,84","0,56","0,13","0,58"
,"0,79","0,77","0,69","0,16","0,48"
,"0,59","0,78","0,62","0,39","0,71"
,"0,82","0,79","0,68","0,37","0,69"
,"0,77","0,67","0,74","0,33","0,59"
,"0,76","0,61","0,64","0,04","0,77"
,"0,73","0,68","0,63","0,29","0,65"
,"0,79","0,73","0,51","0,41","0,51"
,"0,65","0,74","0,67","0,02","0,59"
,"0,80","0,79","0,63","0,49","0,65"
,"0,76","-0,12","0,56","0,43","0,70"
,"0,79","0,76","0,82","0,55","0,67"
,"0,75","0,73","0,41","0,29","0,62"
,"0,86","0,80","0,71","0,09","0,46"
,"0,77","0,68","0,62","0,19","0,72"
,"0,84","0,60","0,72","0,20","0,64"
,"0,71","0,67","0,66","0,19","0,58"
,"0,78","0,76","0,59","0,73","0,69"
,"0,77","0,70","0,65","0,04","0,72"
,"0,88","0,59","0,65","0,46","0,47"
,"0,77","0,64","0,63","0,27","0,66"
,"0,77","0,64","0,70","0,18","0,40"
