,PR,PBA,PG,PRA,PRB
,"0,88","0,73","0,87","0,90","0,94"
,"0,90","0,89","0,91","0,64","0,90"
,"0,87","0,93","0,73","0,23","0,88"
,"0,87","0,88","0,82","0,45","0,99"
,"0,97","1,10","0,57","0,47","0,94"
,"0,64","0,88","0,87","0,54","0,90"
,"0,88","0,66","0,81","0,60","0,97"
,"0,92","0,81","0,83","0,67","0,99"
,"0,89","0,90","0,87","0,60","0,94"
,"0,89","0,86","0,71","0,41","0,96"
,"0,88","1,06","0,83","0,42","0,95"
,"0,89","1,00","0,77","0,41","0,95"
,"0,93","0,88","0,98","0,43","0,93"
,"0,89","0,73","0,79","0,73","1,00"
,"0,90","0,82","0,79","0,75","0,95"
,"0,89","0,89","0,76","0,41","0,92"
,"0,91","0,86","0,33","0,76","0,95"
,"0,94","1,02","0,75","0,59","1,01"
,"0,87","0,97","0,98","0,49","0,93"
,"0,92","0,90","0,89","0,50","0,95"
,"0,93","0,89","0,85","0,63","0,99"
,"0,92","0,93","0,65","0,33","0,94"
,"0,90","0,94","0,80","0,41","0,92"
,"0,83","0,78","0,87","0,73","0,92"
,"0,93","0,88","0,80","0,24","0,94"
,"0,88","1,02","0,86","0,39","0,92"
,"0,84","1,03","0,81","0,89","0,94"
,"0,88","0,87","0,88","0,22","0,95"
,"0,83","0,97","0,84","0,22","0,94"
,"0,91","0,78","0,84","0,61","0,97"
,"0,91","0,99","0,83","0,71","0,93"
,"0,91","0,99","0,78","0,32","0,94"
,"0,91","0,96","0,80","0,45","0,95"
,"0,88","0,79","0,82","0,44","0,93"
,"0,82","0,92","0,94","0,05","0,99"
,"0,90","1,02","0,86","0,46","0,92"
,"0,90","0,93","0,35","0,46","0,94"
,"0,86","1,02","0,91","0,25","0,94"
,"0,90","0,86","0,68","0,35","0,98"
,"0,83","0,96","0,78","0,33","0,91"
,"0,93","1,04","0,85","0,52","0,99"
,"0,84","0,85","0,89","0,81","0,92"
,"0,90","0,99","0,68","0,20","0,93"
,"0,90","0,90","0,73","0,68","0,96"
,"0,87","0,93","0,89","0,45","0,91"
,"0,88","0,86","0,84","0,41","0,96"
,"0,95","0,90","0,81","0,48","0,95"
,"1,00","1,00","0,79","0,65","0,92"
,"0,86","0,84","0,88","0,34","0,94"
,"0,77","0,93","0,80","0,25","0,95"
,"0,93","0,29","0,73","0,57","0,96"
,"0,90","0,95","0,89","0,68","0,98"
,"0,91","0,82","0,89","0,32","0,97"
,"0,87","0,88","0,68","0,51","0,98"
,"0,93","1,02","0,85","0,50","0,97"
,"0,84","0,92","1,01","0,50","0,97"
,"0,90","0,63","0,91","0,07","0,90"
,"0,90","1,04","0,89","0,56","0,96"
,"0,91","1,05","0,93","0,19","0,96"
,"0,87","0,99","0,81","0,44","0,99"
,"0,77","0,76","0,71","0,53","1,00"
,"0,82","1,01","0,58","0,49","0,94"
,"0,84","0,17","0,75","0,33","0,98"
,"0,84","0,78","0,73","0,52","0,97"
,"0,93","0,47","0,87","0,56","0,94"
,"0,90","0,88","0,58","0,48","0,85"
,"0,90","1,04","0,71","0,57","0,96"
,"0,85","0,86","0,82","0,35","0,99"
,"0,90","0,95","0,14","0,24","0,98"
,"0,92","0,81","0,83","0,47","0,96"
,"0,90","0,98","0,82","0,55","0,93"
,"0,90","0,75","0,71","0,49","0,92"
,"0,89","0,87","0,77","0,22","0,93"
,"0,94","0,96","0,77","0,30","0,96"
,"0,91","1,02","0,85","0,71","0,96"
,"0,78","0,88","0,84","0,62","0,82"
,"0,88","0,97","0,66","0,48","0,88"
,"0,82","0,95","0,98","0,52","0,86"
,"0,90","0,74","0,89","0,03","0,94"
,"0,87","0,77","0,99","0,63","0,95"
,"0,88","1,00","0,89","0,40","0,95"
,"0,92","0,78","0,91","0,40","0,94"
,"0,90","0,83","0,81","0,27","0,96"
,"0,90","0,90","0,64","0,30","0,99"
,"0,96","0,95","0,79","0,40","0,98"
,"0,86","0,84","0,90","0,36","0,94"
,"0,85","0,78","0,82","0,64","0,95"
,"0,94","0,98","0,59","0,46","0,95"
,"0,87","0,29","0,84","0,48","0,90"
,"0,85","0,86","0,87","0,76","0,89"
,"0,90","0,91","0,86","0,57","0,96"
,"0,90","0,93","0,93","0,50","1,01"
,"0,90","0,94","0,64","0,60","0,98"
,"0,93","0,97","0,62","0,51","0,89"
,"0,89","1,04","0,87","0,58","0,93"
,"0,87","0,87","0,77","0,42","0,93"
,"0,89","0,97","0,90","0,77","0,99"
,"0,88","0,92","0,74","0,44","0,97"
,"0,93","-0,01","0,87","0,37","0,93"
,"0,89","0,94","0,86","0,56","0,93"
