Episódio,PR,PRA,PRD,PG,PRB
1,0.56,0.32,0.73,0.52,0.64
2,0.65,-0.01,0.89,0.39,0.72
3,0.68,0.38,0.93,0.43,0.68
4,0.74,0.2,0.88,0.83,0.81
5,0.73,0.38,1.1,0.66,0.76
6,0.74,0.31,0.88,0.02,0.67
7,0.78,-0.02,0.66,0.66,-0.09
8,0.71,0.22,0.81,0.66,0.65
9,0.89,0.18,0.9,0.68,0.56
10,0.75,0.05,0.86,0.57,0.56
11,0.67,0.19,1.06,0.68,0.86
12,0.71,0.34,1.0,0.38,0.75
13,0.73,0.43,0.88,0.56,0.66
14,0.74,0.18,0.73,0.4,0.57
15,-0.01,0.1,0.82,0.59,0.67
16,0.7,0.15,0.89,0.52,0.39
17,0.72,0.49,0.86,0.47,0.81
18,0.61,0.12,1.02,0.75,0.79
19,0.53,0.25,0.97,0.52,0.85
20,-0.05,0.3,0.9,0.57,0.87
21,0.76,0.1,0.89,0.75,0.52
22,0.78,0.2,0.93,0.46,0.62
23,0.72,-0.02,0.94,0.77,0.44
24,0.72,0.12,0.78,0.18,0.77
25,0.69,0.17,0.88,0.1,0.59
26,0.74,0.34,1.02,0.66,0.81
27,0.79,0.21,1.03,0.52,0.74
28,0.65,0.29,0.87,0.53,0.55
29,0.71,0.3,0.97,0.57,0.75
30,0.91,0.12,0.78,0.67,0.77
31,0.54,0.27,0.99,0.34,0.72
32,0.7,0.12,0.99,0.69,0.57
33,0.7,0.27,0.96,0.53,0.62
34,0.73,0.25,0.79,0.32,0.8
35,0.85,0.37,0.92,0.69,0.4
36,0.72,0.27,1.02,0.62,0.6
37,0.66,0.17,0.93,0.77,0.63
38,0.84,0.23,1.02,0.4,0.78
39,0.77,0.47,0.86,0.44,0.54
40,0.76,0.06,0.96,0.1,0.7
41,0.01,0.17,1.04,0.7,0.39
42,0.61,0.41,0.85,0.42,0.78
43,0.79,0.06,0.99,0.7,0.72
44,0.69,0.08,0.9,0.54,0.49
45,0.67,-0.02,0.93,0.66,0.69
46,0.39,0.22,0.86,0.67,0.47
47,0.78,0.14,0.9,0.66,0.71
48,0.82,0.2,1.0,0.4,0.74
49,0.72,0.22,0.84,0.18,0.78
50,0.71,0.22,0.93,0.57,0.56
51,0.85,-0.01,0.29,0.71,0.63
52,0.69,0.08,0.95,0.61,0.67
53,0.72,0.27,0.82,0.39,0.74
54,0.71,0.19,0.88,0.32,0.43
55,0.7,0.18,1.02,0.73,0.74
56,0.88,0.21,0.92,0.13,0.34
57,0.72,0.26,0.63,0.63,0.82
58,0.59,0.2,1.04,0.62,0.79
59,0.84,0.33,1.05,0.23,0.38
60,0.75,0.39,0.99,0.56,0.78
61,0.53,0.24,0.76,0.69,0.58
62,0.77,0.31,1.01,0.38,0.33
63,0.73,0.14,0.17,0.19,0.67
64,0.75,0.33,0.78,0.59,0.69
65,0.81,0.33,0.47,0.57,0.24
66,0.84,0.06,0.88,0.69,0.61
67,0.73,0.08,1.04,0.66,0.68
68,0.86,0.14,0.86,0.8,0.84
69,0.73,0.21,0.95,0.35,0.31
70,0.61,0.28,0.81,0.31,0.7
71,0.63,0.17,0.98,-0.03,0.52
72,0.65,0.31,0.75,-0.04,0.78
73,0.8,0.16,0.87,0.34,0.65
74,0.7,0.32,0.96,0.56,0.84
75,0.74,0.14,1.02,0.66,0.09
76,0.82,0.28,0.88,0.55,0.68
77,0.51,-0.02,0.97,0.54,0.02
78,0.49,0.22,0.95,0.57,0.6
79,0.8,0.24,0.74,0.53,0.84
80,0.75,0.3,0.77,0.63,0.77
81,0.36,0.3,1.0,0.79,0.78
82,0.66,0.07,0.78,0.62,0.79
83,0.8,0.16,0.83,0.64,0.67
84,0.4,0.19,0.9,0.19,0.61
85,0.79,0.24,0.95,0.64,0.68
86,0.78,0.14,0.84,0.77,0.73
87,0.4,0.25,0.78,0.71,0.74
88,-0.07,0.11,0.98,0.61,0.79
89,0.69,0.0,0.29,0.6,-0.12
90,0.79,0.42,0.86,0.52,0.76
91,0.51,0.27,0.91,-0.09,0.73
92,0.8,0.14,0.93,0.3,0.8
93,0.64,-0.12,0.94,0.35,0.68
94,0.77,0.43,0.97,0.64,0.6
95,0.62,0.1,1.04,0.1,0.67
96,0.77,0.28,0.87,0.65,0.76
97,0.66,0.04,0.97,0.33,0.7
98,0.61,0.2,0.92,0.46,0.59
99,0.69,0.24,-0.01,-0.08,0.64
100,0.63,0.11,0.94,0.28,0.64
