Episódio,PR,PBA,PRA,PRD,PG
1,0.9,0.87,0.5,0.94,0.89
2,0.86,0.86,0.47,0.9,0.91
3,0.78,0.88,0.36,0.88,0.91
4,0.88,0.88,0.58,0.99,0.88
5,0.82,0.87,0.43,0.94,0.72
6,0.81,0.87,0.49,0.9,0.9
7,0.9,0.84,0.56,0.97,0.88
8,0.92,0.89,0.29,0.99,0.9
9,0.9,0.91,0.56,0.94,0.91
10,0.86,0.87,0.17,0.96,0.94
11,0.79,0.92,0.48,0.95,0.92
12,0.87,0.92,0.16,0.95,0.86
13,0.86,0.89,0.48,0.93,0.91
14,0.81,0.88,0.15,1.0,0.88
15,0.75,0.86,0.5,0.95,0.89
16,0.75,0.86,0.25,0.92,0.91
17,0.86,0.94,0.51,0.95,0.89
18,0.84,0.9,0.16,1.01,0.9
19,0.86,0.88,0.62,0.93,0.92
20,0.88,0.87,0.25,0.95,0.89
21,0.84,0.85,0.41,0.99,0.92
22,0.86,0.85,0.49,0.94,0.86
23,0.84,0.95,0.48,0.92,0.88
24,0.87,0.85,0.43,0.92,0.9
25,0.84,0.83,0.36,0.94,0.92
26,0.89,0.82,0.3,0.92,0.9
27,0.88,0.79,0.48,0.94,0.86
28,0.83,0.88,0.15,0.95,0.82
29,0.88,0.91,0.5,0.94,0.92
30,0.84,0.9,0.25,0.97,0.88
31,0.87,0.86,0.5,0.93,0.86
32,0.85,0.86,0.57,0.94,0.84
33,0.8,0.77,0.56,0.95,0.88
34,0.86,0.8,0.4,0.93,0.91
35,0.88,0.87,0.65,0.99,0.94
36,0.93,0.95,0.46,0.92,0.92
37,0.89,0.78,0.64,0.94,0.93
38,0.87,0.87,0.24,0.94,0.9
39,0.87,0.84,0.5,0.98,0.9
40,0.83,0.91,0.42,0.91,0.87
41,0.84,0.9,0.42,0.99,0.91
42,0.87,0.85,0.36,0.92,0.9
43,0.9,0.84,0.35,0.93,0.82
44,0.81,0.84,0.16,0.96,0.91
45,0.88,0.8,0.57,0.91,0.9
46,0.91,0.88,0.39,0.96,0.84
47,0.89,0.86,0.53,0.95,0.9
48,0.88,0.89,0.41,0.92,0.89
49,0.87,0.86,0.44,0.94,0.92
50,0.86,0.85,0.56,0.95,0.87
51,0.81,0.71,0.35,0.96,0.92
52,0.89,0.9,0.69,0.98,0.84
53,0.89,0.92,0.43,0.97,0.9
54,0.89,0.89,0.08,0.98,0.91
55,0.85,0.91,0.41,0.97,0.87
56,0.89,0.8,0.53,0.97,0.87
57,0.79,0.78,0.45,0.9,0.88
58,0.93,0.89,0.43,0.96,0.94
59,0.86,0.88,0.63,0.96,0.88
60,0.83,0.86,0.47,0.99,0.9
61,0.88,0.82,0.42,1.0,0.87
62,0.9,0.82,0.49,0.94,0.92
63,0.85,0.85,0.58,0.98,0.91
64,0.89,0.84,0.27,0.97,0.88
65,0.89,0.86,0.63,0.94,0.93
66,0.87,0.89,0.53,0.85,0.9
67,0.9,0.89,0.58,0.96,0.89
68,0.82,0.82,0.28,0.99,0.89
69,0.81,0.81,0.46,0.98,0.91
70,0.9,0.95,0.43,0.96,0.91
71,0.82,0.92,0.51,0.93,0.91
72,0.81,0.9,0.39,0.92,0.93
73,0.9,0.83,0.64,0.93,0.56
74,0.85,0.69,0.53,0.96,0.87
75,0.81,0.84,0.55,0.96,0.91
76,0.96,0.85,0.27,0.82,0.85
77,0.86,0.84,0.13,0.88,0.83
78,0.9,0.9,0.36,0.86,0.83
79,0.91,0.85,0.6,0.94,0.83
80,0.76,0.85,0.36,0.95,0.75
81,0.91,0.95,0.35,0.95,0.77
82,0.93,0.9,0.57,0.94,0.91
83,0.88,0.91,0.19,0.96,0.92
84,0.91,0.88,0.49,0.99,0.87
85,0.87,0.85,0.55,0.98,0.89
86,0.9,0.85,0.55,0.94,0.89
87,0.86,0.91,0.55,0.95,0.81
88,0.89,0.82,0.22,0.95,0.9
89,0.85,0.89,0.55,0.9,0.81
90,0.85,0.88,0.52,0.89,0.93
91,0.8,0.81,0.53,0.96,0.89
92,0.8,0.89,0.47,1.01,0.9
93,0.86,0.89,0.48,0.98,0.89
94,0.87,0.84,0.5,0.89,0.9
95,0.87,0.91,0.65,0.93,0.91
96,0.9,0.88,0.44,0.93,0.83
97,0.84,0.85,0.12,0.99,0.91
98,0.8,0.89,0.45,0.97,0.94
99,0.81,0.91,0.35,0.93,0.89
100,0.88,0.93,0.48,0.93,0.91
