Episódio,PR,PBA,PRA,PG,PRB
1,0.76,0.59,0.66,0.68,0.58
2,0.7,0.78,0.64,0.45,0.45
3,0.7,0.62,0.51,0.69,0.54
4,0.75,0.65,0.4,0.8,0.66
5,0.71,0.73,0.5,0.77,0.59
6,0.73,0.56,0.14,0.68,0.48
7,0.7,0.72,0.53,0.59,0.66
8,0.67,0.74,0.6,0.69,0.58
9,0.68,0.65,0.57,0.7,0.58
10,0.75,0.55,0.31,0.58,0.65
11,0.78,0.77,0.53,0.52,0.49
12,0.69,0.73,0.65,0.81,0.66
13,0.42,0.71,0.05,0.77,0.66
14,0.65,0.55,0.59,0.76,0.61
15,0.64,0.75,0.3,0.81,0.72
16,0.73,0.71,0.22,0.46,0.72
17,0.67,0.6,0.05,0.65,0.59
18,0.61,0.54,0.29,0.68,0.68
19,0.7,0.79,0.1,0.63,0.67
20,0.37,0.68,0.25,0.55,0.65
21,0.74,0.63,0.27,0.48,0.75
22,0.68,0.73,0.54,0.56,0.67
23,0.72,0.73,-0.07,0.71,-0.15
24,0.77,0.59,0.53,0.54,0.32
25,0.71,0.61,0.55,0.81,0.75
26,0.73,0.72,0.25,0.64,0.53
27,0.76,0.41,0.45,0.52,0.67
28,0.57,0.64,0.26,0.73,0.58
29,0.5,0.48,0.64,0.53,0.57
30,0.77,0.78,0.56,0.76,0.75
31,0.65,0.77,0.65,0.81,0.66
32,0.64,0.58,0.45,0.47,0.45
33,0.68,0.61,0.26,0.83,0.59
34,0.76,0.62,-0.05,0.58,0.63
35,0.47,0.52,0.57,0.54,0.72
36,0.67,0.63,0.53,0.51,0.52
37,0.73,0.76,0.22,0.64,0.71
38,0.74,0.76,0.13,0.67,0.6
39,0.36,0.63,0.56,0.64,0.66
40,0.69,0.71,0.56,0.55,0.18
41,0.66,0.73,0.1,0.41,0.65
42,0.3,0.72,0.31,0.74,0.66
43,0.72,0.76,0.25,0.7,0.61
44,0.53,0.74,0.66,0.59,0.25
45,0.76,0.72,0.25,0.52,0.68
46,0.69,0.77,-0.03,0.67,0.6
47,0.22,0.77,0.51,0.69,0.74
48,0.63,0.73,0.55,0.68,0.72
49,0.62,0.58,-0.04,0.7,0.67
50,0.79,0.77,0.38,0.48,0.76
51,0.61,0.67,0.02,0.65,0.64
52,0.71,0.6,0.25,0.7,0.43
53,0.75,0.71,0.51,0.51,0.64
54,0.68,0.5,0.6,0.59,0.53
55,0.71,0.64,0.62,0.66,0.57
56,0.82,0.72,0.28,0.6,0.52
57,0.75,0.57,0.7,0.55,0.65
58,0.56,0.79,0.31,0.61,0.72
59,0.6,0.61,0.36,0.71,0.56
60,0.66,0.73,0.36,0.75,0.68
61,0.54,0.68,0.24,0.64,0.63
62,0.73,0.64,0.27,0.64,0.83
63,0.68,0.7,-0.05,0.76,0.5
64,0.65,0.57,0.59,0.7,0.69
65,0.42,0.7,0.53,0.55,0.63
66,0.68,0.72,0.52,0.69,0.59
67,0.67,0.71,0.5,0.66,0.24
68,0.62,0.68,0.67,0.51,0.76
69,0.47,0.71,0.13,0.75,0.89
70,0.58,0.7,0.64,0.79,0.65
71,0.69,0.5,0.09,0.57,0.74
72,0.4,0.75,0.08,0.6,0.68
73,0.69,0.68,0.53,0.67,0.66
74,0.75,0.7,0.24,0.58,0.69
75,0.19,0.69,0.22,0.72,0.46
76,0.64,0.75,0.66,0.61,0.71
77,0.72,0.7,0.58,0.7,0.16
78,0.56,0.67,0.56,0.66,0.63
79,0.55,0.23,0.34,0.64,0.58
80,0.76,0.67,0.28,0.72,0.48
81,0.72,0.72,0.59,0.58,0.71
82,0.58,0.77,0.63,0.66,0.69
83,0.64,0.71,0.47,0.62,0.59
84,0.35,0.73,0.43,0.68,0.77
85,0.64,0.68,0.56,0.2,0.65
86,0.56,0.71,0.07,0.67,0.51
87,0.77,0.72,0.53,0.77,0.59
88,0.7,0.78,0.03,0.55,0.65
89,0.79,0.74,0.66,0.69,0.7
90,0.65,0.68,0.03,0.77,0.67
91,0.7,0.69,0.47,0.74,0.62
92,0.7,0.5,0.42,0.57,0.46
93,0.67,0.67,0.29,0.7,0.72
94,0.49,0.62,0.22,0.67,0.64
95,0.68,0.53,0.54,0.74,0.58
96,0.46,0.72,0.23,0.62,0.69
97,0.56,0.75,0.61,0.52,0.72
98,0.69,0.76,0.44,0.49,0.47
99,0.63,0.61,0.62,0.7,0.66
100,0.59,0.77,0.64,0.67,0.4
