Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.00,12.07,0.75
2,9.02,11.63,0.78
3,9.01,12.77,0.71
5,9.01,11.50,0.78
6,9.01,11.10,0.81
7,9.02,11.57,0.78
9,9.00,11.13,0.81
10,9.00,11.83,0.76
11,9.02,12.13,0.74
12,9.00,12.20,0.74
13,9.01,12.30,0.73
14,9.00,12.40,0.73
15,9.01,13.33,0.68
16,9.01,11.70,0.77
17,9.01,11.57,0.78
18,9.01,11.50,0.78
19,9.01,11.93,0.75
20,9.01,12.10,0.74
21,9.02,11.27,0.80
23,9.01,10.97,0.82
24,9.01,11.33,0.79
25,9.02,11.57,0.78
26,9.02,11.57,0.78
27,9.01,11.03,0.82
28,9.01,11.73,0.77
29,9.01,11.27,0.80
32,9.02,12.33,0.73
35,9.02,11.60,0.78
36,9.00,11.03,0.82
37,9.01,11.97,0.75
38,9.02,12.27,0.74
39,9.02,11.57,0.78
40,9.00,12.13,0.74
41,9.02,12.10,0.75
42,9.01,11.67,0.77
43,9.01,11.07,0.81
45,9.02,11.60,0.78
46,9.00,12.03,0.75
47,9.01,11.93,0.76
48,9.01,11.23,0.80
49,9.02,11.67,0.77
50,9.00,12.53,0.72
51,9.02,11.93,0.76
52,9.01,11.43,0.79
53,9.01,10.73,0.84
55,9.01,11.53,0.78
56,9.01,11.03,0.82
58,9.01,11.33,0.79
59,9.01,12.00,0.75
60,9.00,12.00,0.75
61,9.01,11.83,0.76
63,9.01,12.60,0.72
64,9.01,11.30,0.80
66,9.00,11.27,0.80
67,9.02,11.23,0.80
68,9.01,12.30,0.73
69,9.01,11.87,0.76
70,9.03,11.93,0.76
71,9.01,11.07,0.81
72,9.02,10.70,0.84
73,9.01,11.80,0.76
74,9.03,13.33,0.68
75,9.02,11.47,0.79
76,9.01,11.43,0.79
77,9.00,10.97,0.82
78,9.01,11.13,0.81
79,9.02,11.67,0.77
80,9.02,12.57,0.72
81,9.02,10.63,0.85
82,9.01,10.87,0.83
83,9.01,11.50,0.78
84,9.03,12.37,0.73
85,9.03,11.27,0.80
86,9.01,12.43,0.72
87,9.01,11.90,0.76
88,9.01,12.60,0.72
89,9.02,11.63,0.77
90,9.01,11.10,0.81
91,9.00,11.37,0.79
92,9.01,11.07,0.81
93,9.01,12.20,0.74
94,9.02,10.70,0.84
95,9.00,11.63,0.77
98,9.01,10.93,0.82
99,9.01,11.07,0.81
100,9.00,10.67,0.84
101,9.03,11.57,0.78
102,9.01,12.33,0.73
103,9.01,11.40,0.79
104,9.02,11.80,0.76
105,9.02,11.93,0.76
108,9.02,11.63,0.78
109,9.02,11.57,0.78
110,9.01,12.37,0.73
111,9.01,11.23,0.80
112,9.00,11.10,0.81
113,9.02,11.20,0.81
114,9.02,11.80,0.76
115,9.02,12.53,0.72
116,9.01,11.20,0.80
