Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.00,12.07,0.75
2,Sim,9.02,11.63,0.78
3,Sim,9.01,12.77,0.71
4,Não,2.86,5.50,0.52
5,Sim,9.01,11.50,0.78
6,Sim,9.01,11.10,0.81
7,Sim,9.02,11.57,0.78
8,Não,5.53,7.77,0.71
9,Sim,9.00,11.13,0.81
10,Sim,9.00,11.83,0.76
11,Sim,9.02,12.13,0.74
12,Sim,9.00,12.20,0.74
13,Sim,9.01,12.30,0.73
14,Sim,9.00,12.40,0.73
15,Sim,9.01,13.33,0.68
16,Sim,9.01,11.70,0.77
17,Sim,9.01,11.57,0.78
18,Sim,9.01,11.50,0.78
19,Sim,9.01,11.93,0.75
20,Sim,9.01,12.10,0.74
21,Sim,9.02,11.27,0.80
22,Não,4.83,6.67,0.72
23,Sim,9.01,10.97,0.82
24,Sim,9.01,11.33,0.79
25,Sim,9.02,11.57,0.78
26,Sim,9.02,11.57,0.78
27,Sim,9.01,11.03,0.82
28,Sim,9.01,11.73,0.77
29,Sim,9.01,11.27,0.80
30,Não,4.57,7.50,0.61
31,Não,4.03,5.73,0.70
32,Sim,9.02,12.33,0.73
33,Não,3.40,7.67,0.44
34,Não,6.02,7.77,0.78
35,Sim,9.02,11.60,0.78
36,Sim,9.00,11.03,0.82
37,Sim,9.01,11.97,0.75
38,Sim,9.02,12.27,0.74
39,Sim,9.02,11.57,0.78
40,Sim,9.00,12.13,0.74
41,Sim,9.02,12.10,0.75
42,Sim,9.01,11.67,0.77
43,Sim,9.01,11.07,0.81
44,Não,5.13,7.10,0.72
45,Sim,9.02,11.60,0.78
46,Sim,9.00,12.03,0.75
47,Sim,9.01,11.93,0.76
48,Sim,9.01,11.23,0.80
49,Sim,9.02,11.67,0.77
50,Sim,9.00,12.53,0.72
51,Sim,9.02,11.93,0.76
52,Sim,9.01,11.43,0.79
53,Sim,9.01,10.73,0.84
54,Não,7.62,10.87,0.70
55,Sim,9.01,11.53,0.78
56,Sim,9.01,11.03,0.82
57,Não,6.92,9.67,0.72
58,Sim,9.01,11.33,0.79
59,Sim,9.01,12.00,0.75
60,Sim,9.00,12.00,0.75
61,Sim,9.01,11.83,0.76
62,Não,8.18,9.73,0.84
63,Sim,9.01,12.60,0.72
64,Sim,9.01,11.30,0.80
65,Não,1.48,15.00,0.10
66,Sim,9.00,11.27,0.80
67,Sim,9.02,11.23,0.80
68,Sim,9.01,12.30,0.73
69,Sim,9.01,11.87,0.76
70,Sim,9.03,11.93,0.76
71,Sim,9.01,11.07,0.81
72,Sim,9.02,10.70,0.84
73,Sim,9.01,11.80,0.76
74,Sim,9.03,13.33,0.68
75,Sim,9.02,11.47,0.79
76,Sim,9.01,11.43,0.79
77,Sim,9.00,10.97,0.82
78,Sim,9.01,11.13,0.81
79,Sim,9.02,11.67,0.77
80,Sim,9.02,12.57,0.72
81,Sim,9.02,10.63,0.85
82,Sim,9.01,10.87,0.83
83,Sim,9.01,11.50,0.78
84,Sim,9.03,12.37,0.73
85,Sim,9.03,11.27,0.80
86,Sim,9.01,12.43,0.72
87,Sim,9.01,11.90,0.76
88,Sim,9.01,12.60,0.72
89,Sim,9.02,11.63,0.77
90,Sim,9.01,11.10,0.81
91,Sim,9.00,11.37,0.79
92,Sim,9.01,11.07,0.81
93,Sim,9.01,12.20,0.74
94,Sim,9.02,10.70,0.84
95,Sim,9.00,11.63,0.77
96,Não,5.02,7.00,0.72
97,Não,5.32,7.47,0.71
98,Sim,9.01,10.93,0.82
99,Sim,9.01,11.07,0.81
100,Sim,9.00,10.67,0.84
101,Sim,9.03,11.57,0.78
102,Sim,9.01,12.33,0.73
103,Sim,9.01,11.40,0.79
104,Sim,9.02,11.80,0.76
105,Sim,9.02,11.93,0.76
106,Não,7.31,10.03,0.73
107,Não,7.59,11.07,0.69
108,Sim,9.02,11.63,0.78
109,Sim,9.02,11.57,0.78
110,Sim,9.01,12.37,0.73
111,Sim,9.01,11.23,0.80
112,Sim,9.00,11.10,0.81
113,Sim,9.02,11.20,0.81
114,Sim,9.02,11.80,0.76
115,Sim,9.02,12.53,0.72
116,Sim,9.01,11.20,0.80
