Episódio,Distância (m),Tempo (s),Velocidade (m/s)
2,9.01,10.93,0.82
7,9.03,10.07,0.90
12,9.02,10.77,0.84
15,9.00,11.57,0.78
18,9.00,10.23,0.88
19,9.00,10.93,0.82
20,9.01,10.73,0.84
23,9.02,10.33,0.87
25,9.02,10.77,0.84
27,9.00,10.17,0.89
38,9.02,10.07,0.90
40,9.01,10.73,0.84
41,9.03,10.53,0.86
42,9.01,10.33,0.87
43,9.00,10.30,0.87
45,9.02,10.50,0.86
46,9.03,12.70,0.71
49,9.01,10.40,0.87
52,9.02,10.70,0.84
59,9.01,10.83,0.83
65,9.03,10.27,0.88
70,9.02,10.63,0.85
72,9.03,11.13,0.81
91,9.01,10.73,0.84
93,9.01,12.07,0.75
102,9.02,10.80,0.84
109,9.03,10.87,0.83
124,9.00,10.87,0.83
126,9.02,10.80,0.84
129,9.01,10.47,0.86
130,9.01,10.67,0.84
131,9.01,10.50,0.86
132,9.04,10.60,0.85
133,9.02,10.73,0.84
134,9.00,10.87,0.83
137,9.02,10.47,0.86
138,9.00,10.83,0.83
145,9.00,11.30,0.80
149,9.03,10.53,0.86
152,9.03,10.57,0.85
153,9.02,10.70,0.84
154,9.02,10.93,0.82
161,9.00,10.47,0.86
164,9.02,10.60,0.85
166,9.00,11.33,0.79
175,9.01,11.10,0.81
177,9.01,11.07,0.81
179,9.01,10.57,0.85
180,9.02,10.53,0.86
193,9.01,9.87,0.91
194,9.02,11.00,0.82
195,9.01,10.23,0.88
199,9.02,11.43,0.79
204,9.03,11.10,0.81
208,9.02,10.63,0.85
209,9.01,10.83,0.83
218,9.02,10.27,0.88
226,9.00,11.47,0.79
228,9.00,10.33,0.87
229,9.03,11.03,0.82
230,9.01,11.33,0.79
231,9.01,10.67,0.84
235,9.02,11.50,0.78
236,9.00,12.13,0.74
237,9.02,10.30,0.88
238,9.01,11.27,0.80
243,9.02,10.30,0.88
254,9.00,10.03,0.90
256,9.03,11.10,0.81
257,9.03,10.80,0.84
263,9.01,10.80,0.83
265,9.03,11.20,0.81
266,9.03,9.80,0.92
268,9.02,10.63,0.85
269,9.02,10.50,0.86
271,9.01,11.43,0.79
274,9.01,10.83,0.83
275,9.01,12.13,0.74
277,9.00,11.03,0.82
278,9.01,10.47,0.86
279,9.02,11.17,0.81
281,9.01,10.63,0.85
286,9.01,10.97,0.82
287,9.02,10.97,0.82
294,9.02,12.17,0.74
297,9.02,10.97,0.82
305,9.03,11.13,0.81
314,9.00,11.03,0.82
318,9.01,10.17,0.89
320,9.00,11.40,0.79
321,9.01,10.70,0.84
323,9.01,10.13,0.89
330,9.01,11.13,0.81
334,9.05,10.30,0.88
336,9.01,10.73,0.84
338,9.00,10.33,0.87
342,9.01,11.23,0.80
344,9.03,12.00,0.75
349,9.02,11.30,0.80
350,9.02,10.73,0.84
