Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Não,6.07,7.60,0.80
2,Sim,9.01,10.93,0.82
3,Não,8.87,11.17,0.79
4,Não,7.05,8.03,0.88
5,Não,5.63,7.83,0.72
6,Não,7.07,10.57,0.67
7,Sim,9.03,10.07,0.90
8,Não,5.66,8.23,0.69
9,Não,2.23,4.50,0.50
10,Não,7.38,9.33,0.79
11,Não,3.60,6.20,0.58
12,Sim,9.02,10.77,0.84
13,Não,0.81,3.70,0.22
14,Não,8.27,9.97,0.83
15,Sim,9.00,11.57,0.78
16,Não,5.92,7.93,0.75
17,Não,7.75,9.37,0.83
18,Sim,9.00,10.23,0.88
19,Sim,9.00,10.93,0.82
20,Sim,9.01,10.73,0.84
21,Não,7.80,9.00,0.87
22,Não,8.59,10.40,0.83
23,Sim,9.02,10.33,0.87
24,Não,1.81,3.73,0.48
25,Sim,9.02,10.77,0.84
26,Não,7.83,10.67,0.73
27,Sim,9.00,10.17,0.89
28,Não,5.88,7.80,0.75
29,Não,5.81,7.67,0.76
30,Não,4.61,6.60,0.70
31,Não,5.64,8.27,0.68
32,Não,6.28,8.10,0.77
33,Não,5.41,7.33,0.74
34,Não,8.88,10.83,0.82
35,Não,8.05,10.20,0.79
36,Não,5.80,7.33,0.79
37,Não,5.42,7.87,0.69
38,Sim,9.02,10.07,0.90
39,Não,5.49,7.23,0.76
40,Sim,9.01,10.73,0.84
41,Sim,9.03,10.53,0.86
42,Sim,9.01,10.33,0.87
43,Sim,9.00,10.30,0.87
44,Não,5.71,7.10,0.80
45,Sim,9.02,10.50,0.86
46,Sim,9.03,12.70,0.71
47,Não,6.79,9.13,0.74
48,Não,8.62,10.00,0.86
49,Sim,9.01,10.40,0.87
50,Não,5.85,8.07,0.73
51,Não,7.20,9.70,0.74
52,Sim,9.02,10.70,0.84
53,Não,5.82,8.33,0.70
54,Não,7.66,9.70,0.79
55,Não,7.57,10.00,0.76
56,Não,8.00,9.57,0.84
57,Não,8.04,9.77,0.82
58,Não,6.23,8.00,0.78
59,Sim,9.01,10.83,0.83
60,Não,8.02,9.67,0.83
61,Não,8.86,10.27,0.86
62,Não,4.72,6.53,0.72
63,Não,7.34,9.40,0.78
64,Não,5.44,8.37,0.65
65,Sim,9.03,10.27,0.88
66,Não,6.22,8.03,0.77
67,Não,7.45,8.90,0.84
68,Não,4.23,6.27,0.68
69,Não,6.24,8.03,0.78
70,Sim,9.02,10.63,0.85
71,Não,8.85,11.33,0.78
72,Sim,9.03,11.13,0.81
73,Não,8.10,10.07,0.80
74,Não,3.00,5.70,0.53
75,Não,5.68,6.40,0.89
76,Não,5.91,7.83,0.75
77,Não,6.59,8.17,0.81
78,Não,5.35,8.40,0.64
79,Não,8.36,9.77,0.86
80,Não,8.75,10.53,0.83
81,Não,6.02,8.10,0.74
82,Não,2.43,3.90,0.62
83,Não,7.99,9.67,0.83
84,Não,8.27,9.43,0.88
85,Não,8.14,10.87,0.75
86,Não,6.91,9.83,0.70
