Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.02,14.83,0.61
3,9.03,15.67,0.58
4,9.01,14.57,0.62
5,9.01,17.07,0.53
6,9.00,17.57,0.51
9,9.01,18.23,0.49
11,9.03,14.87,0.61
12,9.03,16.77,0.54
13,9.02,14.67,0.61
14,9.02,17.47,0.52
18,9.00,14.83,0.61
20,9.02,15.10,0.60
23,9.01,14.87,0.61
24,9.02,17.37,0.52
26,9.01,15.70,0.57
27,9.01,15.37,0.59
28,9.02,16.97,0.53
29,9.00,16.77,0.54
30,9.02,15.90,0.57
31,9.02,15.40,0.59
32,9.01,16.40,0.55
33,9.01,15.60,0.58
36,9.02,16.83,0.54
37,9.03,15.80,0.57
38,9.00,15.47,0.58
39,9.04,16.60,0.54
41,9.01,14.93,0.60
44,9.00,17.20,0.52
45,9.01,17.77,0.51
46,9.01,14.87,0.61
47,9.01,17.33,0.52
51,9.01,14.40,0.63
52,9.00,16.27,0.55
53,9.02,15.57,0.58
54,9.01,16.43,0.55
60,9.00,16.10,0.56
62,9.01,16.27,0.55
67,9.01,16.07,0.56
69,9.01,16.07,0.56
71,9.00,16.37,0.55
73,9.03,15.73,0.57
74,9.03,15.93,0.57
76,9.02,14.70,0.61
77,9.03,16.53,0.55
78,9.00,14.13,0.64
81,9.02,15.73,0.57
84,9.01,15.57,0.58
85,9.01,16.60,0.54
86,9.00,14.60,0.62
87,9.01,15.57,0.58
88,9.02,16.33,0.55
90,9.00,15.47,0.58
91,9.00,17.80,0.51
92,9.00,17.63,0.51
93,9.03,17.10,0.53
95,9.02,15.30,0.59
97,9.00,16.27,0.55
101,9.01,17.80,0.51
103,9.02,17.33,0.52
109,9.01,15.00,0.60
111,9.00,16.93,0.53
112,9.01,18.37,0.49
113,9.01,16.77,0.54
115,9.01,15.27,0.59
117,9.01,15.63,0.58
118,9.02,14.37,0.63
121,9.00,14.40,0.63
124,9.02,15.37,0.59
125,9.01,15.17,0.59
126,9.00,16.43,0.55
127,9.03,17.87,0.51
128,9.03,15.67,0.58
131,9.01,15.13,0.60
132,9.01,15.77,0.57
134,9.02,15.17,0.59
135,9.00,16.37,0.55
136,9.02,17.53,0.51
138,9.01,15.93,0.57
145,9.04,16.93,0.53
147,9.00,17.77,0.51
149,9.02,16.30,0.55
151,9.00,15.33,0.59
153,9.01,17.40,0.52
154,9.03,14.47,0.62
157,9.02,15.30,0.59
158,9.01,16.90,0.53
159,9.00,15.83,0.57
160,9.00,16.37,0.55
161,9.02,16.33,0.55
162,9.02,16.87,0.53
165,9.02,16.03,0.56
166,9.03,14.83,0.61
170,9.02,15.97,0.56
171,9.01,15.30,0.59
172,9.01,15.60,0.58
174,9.00,17.03,0.53
175,9.02,15.87,0.57
178,9.02,16.03,0.56
182,9.02,16.47,0.55
183,9.01,16.00,0.56
