Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.02,14.83,0.61
2,Não,6.87,13.17,0.52
3,Sim,9.03,15.67,0.58
4,Sim,9.01,14.57,0.62
5,Sim,9.01,17.07,0.53
6,Sim,9.00,17.57,0.51
7,Não,2.79,6.37,0.44
8,Não,3.56,9.57,0.37
9,Sim,9.01,18.23,0.49
10,Não,8.23,15.30,0.54
11,Sim,9.03,14.87,0.61
12,Sim,9.03,16.77,0.54
13,Sim,9.02,14.67,0.61
14,Sim,9.02,17.47,0.52
15,Não,1.87,25.00,0.07
16,Não,3.11,7.30,0.43
17,Não,5.42,10.93,0.50
18,Sim,9.00,14.83,0.61
19,Não,1.58,5.40,0.29
20,Sim,9.02,15.10,0.60
21,Não,7.99,15.10,0.53
22,Não,7.90,14.73,0.54
23,Sim,9.01,14.87,0.61
24,Sim,9.02,17.37,0.52
25,Não,6.71,12.37,0.54
26,Sim,9.01,15.70,0.57
27,Sim,9.01,15.37,0.59
28,Sim,9.02,16.97,0.53
29,Sim,9.00,16.77,0.54
30,Sim,9.02,15.90,0.57
31,Sim,9.02,15.40,0.59
32,Sim,9.01,16.40,0.55
33,Sim,9.01,15.60,0.58
34,Não,4.29,9.50,0.45
35,Não,7.20,14.87,0.48
36,Sim,9.02,16.83,0.54
37,Sim,9.03,15.80,0.57
38,Sim,9.00,15.47,0.58
39,Sim,9.04,16.60,0.54
40,Não,8.65,17.53,0.49
41,Sim,9.01,14.93,0.60
42,Não,8.31,14.00,0.59
43,Não,3.74,9.13,0.41
44,Sim,9.00,17.20,0.52
45,Sim,9.01,17.77,0.51
46,Sim,9.01,14.87,0.61
47,Sim,9.01,17.33,0.52
48,Não,8.54,14.13,0.60
49,Não,3.44,7.27,0.47
50,Não,5.45,10.00,0.55
51,Sim,9.01,14.40,0.63
52,Sim,9.00,16.27,0.55
53,Sim,9.02,15.57,0.58
54,Sim,9.01,16.43,0.55
55,Não,7.61,14.57,0.52
56,Não,3.86,6.97,0.55
57,Não,8.84,17.17,0.52
58,Não,7.11,13.17,0.54
59,Não,3.85,7.13,0.54
60,Sim,9.00,16.10,0.56
61,Não,8.49,15.47,0.55
62,Sim,9.01,16.27,0.55
63,Não,3.08,6.17,0.50
64,Não,7.26,14.13,0.51
65,Não,8.73,16.93,0.52
66,Não,4.31,8.10,0.53
67,Sim,9.01,16.07,0.56
68,Não,3.81,9.57,0.40
69,Sim,9.01,16.07,0.56
70,Não,3.28,6.17,0.53
71,Sim,9.00,16.37,0.55
72,Não,3.76,8.13,0.46
73,Sim,9.03,15.73,0.57
74,Sim,9.03,15.93,0.57
75,Não,8.67,16.17,0.54
76,Sim,9.02,14.70,0.61
77,Sim,9.03,16.53,0.55
78,Sim,9.00,14.13,0.64
79,Não,6.82,16.57,0.41
80,Não,4.73,8.47,0.56
81,Sim,9.02,15.73,0.57
82,Não,7.29,14.53,0.50
83,Não,8.90,16.80,0.53
84,Sim,9.01,15.57,0.58
85,Sim,9.01,16.60,0.54
86,Sim,9.00,14.60,0.62
87,Sim,9.01,15.57,0.58
88,Sim,9.02,16.33,0.55
89,Não,4.38,6.93,0.63
90,Sim,9.00,15.47,0.58
91,Sim,9.00,17.80,0.51
92,Sim,9.00,17.63,0.51
93,Sim,9.03,17.10,0.53
94,Não,8.35,14.70,0.57
95,Sim,9.02,15.30,0.59
96,Não,3.42,8.73,0.39
97,Sim,9.00,16.27,0.55
98,Não,3.19,9.17,0.35
99,Não,5.05,10.80,0.47
100,Não,2.53,8.27,0.31
101,Sim,9.01,17.80,0.51
102,Não,7.61,14.60,0.52
103,Sim,9.02,17.33,0.52
104,Não,4.75,9.23,0.51
105,Não,8.33,16.57,0.50
106,Não,6.46,12.93,0.50
107,Não,0.93,25.00,0.04
108,Não,8.51,14.70,0.58
109,Sim,9.01,15.00,0.60
110,Não,8.14,17.13,0.48
111,Sim,9.00,16.93,0.53
112,Sim,9.01,18.37,0.49
113,Sim,9.01,16.77,0.54
114,Não,6.83,13.17,0.52
115,Sim,9.01,15.27,0.59
116,Não,8.29,15.43,0.54
117,Sim,9.01,15.63,0.58
118,Sim,9.02,14.37,0.63
119,Não,7.36,13.67,0.54
120,Não,7.33,15.73,0.47
121,Sim,9.00,14.40,0.63
122,Não,7.92,15.90,0.50
123,Não,2.65,6.93,0.38
124,Sim,9.02,15.37,0.59
125,Sim,9.01,15.17,0.59
126,Sim,9.00,16.43,0.55
127,Sim,9.03,17.87,0.51
128,Sim,9.03,15.67,0.58
129,Não,8.79,15.33,0.57
130,Não,8.61,15.57,0.55
131,Sim,9.01,15.13,0.60
132,Sim,9.01,15.77,0.57
133,Não,8.82,14.80,0.60
134,Sim,9.02,15.17,0.59
135,Sim,9.00,16.37,0.55
136,Sim,9.02,17.53,0.51
137,Não,3.78,9.80,0.39
138,Sim,9.01,15.93,0.57
139,Não,7.36,13.20,0.56
140,Não,8.75,16.23,0.54
141,Não,4.14,7.00,0.59
142,Não,5.05,10.63,0.47
143,Não,6.25,9.97,0.63
144,Não,6.04,10.57,0.57
145,Sim,9.04,16.93,0.53
146,Não,0.11,6.70,0.02
147,Sim,9.00,17.77,0.51
148,Não,4.40,9.27,0.47
149,Sim,9.02,16.30,0.55
150,Não,8.30,15.70,0.53
151,Sim,9.00,15.33,0.59
152,Não,5.54,12.90,0.43
153,Sim,9.01,17.40,0.52
154,Sim,9.03,14.47,0.62
155,Não,0.93,8.03,0.12
156,Não,7.58,16.37,0.46
157,Sim,9.02,15.30,0.59
158,Sim,9.01,16.90,0.53
159,Sim,9.00,15.83,0.57
160,Sim,9.00,16.37,0.55
161,Sim,9.02,16.33,0.55
162,Sim,9.02,16.87,0.53
163,Não,5.22,10.40,0.50
164,Não,8.25,15.30,0.54
165,Sim,9.02,16.03,0.56
166,Sim,9.03,14.83,0.61
167,Não,8.57,15.33,0.56
168,Não,2.79,7.73,0.36
169,Não,7.97,14.80,0.54
170,Sim,9.02,15.97,0.56
171,Sim,9.01,15.30,0.59
172,Sim,9.01,15.60,0.58
173,Não,0.40,19.30,0.02
174,Sim,9.00,17.03,0.53
175,Sim,9.02,15.87,0.57
176,Não,6.93,12.43,0.56
177,Não,7.45,13.57,0.55
178,Sim,9.02,16.03,0.56
179,Não,4.00,7.50,0.53
180,Não,5.24,9.27,0.57
181,Não,6.66,12.57,0.53
