Episódio,Distância (m),Tempo (s),Velocidade (m/s)
2,9.02,11.37,0.79
3,9.02,12.53,0.72
8,9.01,12.23,0.74
11,9.01,11.30,0.80
12,9.03,11.50,0.79
13,9.01,13.30,0.68
14,9.00,11.50,0.78
17,9.00,13.37,0.67
18,9.00,11.67,0.77
21,9.01,12.20,0.74
22,9.01,12.17,0.74
23,9.00,11.57,0.78
24,9.01,11.37,0.79
25,9.03,12.03,0.75
26,9.02,12.07,0.75
27,9.01,11.43,0.79
28,9.00,11.30,0.80
32,9.02,11.13,0.81
34,9.01,11.33,0.79
35,9.01,11.83,0.76
36,9.01,12.03,0.75
38,9.01,11.43,0.79
39,9.02,11.80,0.76
43,9.03,10.97,0.82
44,9.02,11.70,0.77
45,9.02,10.53,0.86
48,9.02,12.13,0.74
49,9.00,12.30,0.73
50,9.02,11.23,0.80
51,9.02,11.63,0.78
52,9.01,12.63,0.71
53,9.02,11.07,0.82
54,9.02,12.33,0.73
55,9.01,12.13,0.74
56,9.03,12.23,0.74
61,9.02,10.97,0.82
62,9.01,11.87,0.76
63,9.00,12.07,0.75
64,9.00,11.47,0.79
66,9.00,12.03,0.75
67,9.01,10.93,0.82
69,9.01,12.67,0.71
70,9.02,12.03,0.75
71,9.01,11.70,0.77
74,9.00,11.63,0.77
75,9.01,12.57,0.72
79,9.02,13.97,0.65
80,9.01,11.60,0.78
82,9.01,12.17,0.74
84,9.02,12.17,0.74
87,9.02,11.77,0.77
91,9.01,12.03,0.75
94,9.01,11.17,0.81
95,9.01,11.83,0.76
96,9.00,11.67,0.77
98,9.03,11.10,0.81
100,9.00,11.17,0.81
101,9.03,11.30,0.80
102,9.01,11.13,0.81
103,9.02,11.70,0.77
105,9.02,11.70,0.77
106,9.01,11.60,0.78
107,9.01,13.10,0.69
108,9.01,11.50,0.78
110,9.02,13.37,0.67
112,9.00,13.90,0.65
114,9.00,12.40,0.73
115,9.03,11.80,0.77
118,9.00,12.40,0.73
121,9.02,11.10,0.81
122,9.02,12.53,0.72
123,9.01,12.03,0.75
124,9.01,12.13,0.74
128,9.01,12.40,0.73
130,9.01,11.20,0.80
133,9.02,12.27,0.74
134,9.01,11.90,0.76
135,9.00,12.23,0.74
136,9.00,12.73,0.71
137,9.01,11.37,0.79
139,9.02,11.60,0.78
141,9.02,11.17,0.81
142,9.01,15.23,0.59
143,9.00,10.83,0.83
144,9.00,11.23,0.80
145,9.02,11.77,0.77
146,9.01,12.27,0.73
150,9.02,11.33,0.80
151,9.02,12.33,0.73
152,9.00,12.80,0.70
156,9.01,12.07,0.75
158,9.00,11.60,0.78
159,9.02,10.83,0.83
160,9.00,14.37,0.63
161,9.03,12.00,0.75
162,9.00,12.67,0.71
165,9.01,13.20,0.68
166,9.01,12.07,0.75
168,9.02,11.83,0.76
169,9.02,13.60,0.66
