Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Não,4.44,7.73,0.57
2,Sim,9.02,11.37,0.79
3,Sim,9.02,12.53,0.72
4,Não,4.61,7.70,0.60
5,Não,3.90,5.50,0.71
6,Não,4.09,5.43,0.75
7,Não,2.07,4.03,0.51
8,Sim,9.01,12.23,0.74
9,Não,8.59,11.07,0.78
10,Não,4.30,7.63,0.56
11,Sim,9.01,11.30,0.80
12,Sim,9.03,11.50,0.79
13,Sim,9.01,13.30,0.68
14,Sim,9.00,11.50,0.78
15,Não,6.83,8.77,0.78
16,Não,4.51,6.27,0.72
17,Sim,9.00,13.37,0.67
18,Sim,9.00,11.67,0.77
19,Não,4.17,5.77,0.72
20,Não,6.17,8.20,0.75
21,Sim,9.01,12.20,0.74
22,Sim,9.01,12.17,0.74
23,Sim,9.00,11.57,0.78
24,Sim,9.01,11.37,0.79
25,Sim,9.03,12.03,0.75
26,Sim,9.02,12.07,0.75
27,Sim,9.01,11.43,0.79
28,Sim,9.00,11.30,0.80
29,Não,8.06,9.53,0.85
30,Não,4.50,7.90,0.57
31,Não,7.44,10.47,0.71
32,Sim,9.02,11.13,0.81
33,Não,7.14,10.07,0.71
34,Sim,9.01,11.33,0.79
35,Sim,9.01,11.83,0.76
36,Sim,9.01,12.03,0.75
37,Não,2.67,6.07,0.44
38,Sim,9.01,11.43,0.79
39,Sim,9.02,11.80,0.76
40,Não,2.32,18.43,0.13
41,Não,7.95,11.70,0.68
42,Não,4.29,7.20,0.60
43,Sim,9.03,10.97,0.82
44,Sim,9.02,11.70,0.77
45,Sim,9.02,10.53,0.86
46,Não,8.45,10.83,0.78
47,Não,8.29,12.40,0.67
48,Sim,9.02,12.13,0.74
49,Sim,9.00,12.30,0.73
50,Sim,9.02,11.23,0.80
51,Sim,9.02,11.63,0.78
52,Sim,9.01,12.63,0.71
53,Sim,9.02,11.07,0.82
54,Sim,9.02,12.33,0.73
55,Sim,9.01,12.13,0.74
56,Sim,9.03,12.23,0.74
57,Não,5.99,8.10,0.74
58,Não,7.74,10.90,0.71
59,Não,3.50,5.40,0.65
60,Não,6.99,8.97,0.78
61,Sim,9.02,10.97,0.82
62,Sim,9.01,11.87,0.76
63,Sim,9.00,12.07,0.75
64,Sim,9.00,11.47,0.79
65,Não,6.84,9.97,0.69
66,Sim,9.00,12.03,0.75
67,Sim,9.01,10.93,0.82
68,Não,4.67,7.33,0.64
69,Sim,9.01,12.67,0.71
70,Sim,9.02,12.03,0.75
71,Sim,9.01,11.70,0.77
72,Não,6.60,9.07,0.73
73,Não,5.82,6.73,0.86
74,Sim,9.00,11.63,0.77
75,Sim,9.01,12.57,0.72
76,Não,7.58,10.17,0.75
77,Não,4.72,6.40,0.74
78,Não,7.92,10.23,0.77
79,Sim,9.02,13.97,0.65
80,Sim,9.01,11.60,0.78
81,Não,4.08,11.63,0.35
82,Sim,9.01,12.17,0.74
83,Não,5.26,7.60,0.69
84,Sim,9.02,12.17,0.74
85,Não,3.07,5.20,0.59
86,Não,6.94,8.77,0.79
87,Sim,9.02,11.77,0.77
88,Não,7.61,9.33,0.82
89,Não,3.47,6.67,0.52
90,Não,6.14,8.00,0.77
91,Sim,9.01,12.03,0.75
92,Não,7.82,11.20,0.70
93,Não,3.05,4.37,0.70
94,Sim,9.01,11.17,0.81
95,Sim,9.01,11.83,0.76
96,Sim,9.00,11.67,0.77
97,Não,5.54,7.47,0.74
98,Sim,9.03,11.10,0.81
99,Não,7.50,9.57,0.78
100,Sim,9.00,11.17,0.81
101,Sim,9.03,11.30,0.80
102,Sim,9.01,11.13,0.81
103,Sim,9.02,11.70,0.77
104,Não,5.12,7.03,0.73
105,Sim,9.02,11.70,0.77
106,Sim,9.01,11.60,0.78
107,Sim,9.01,13.10,0.69
108,Sim,9.01,11.50,0.78
109,Não,5.92,7.70,0.77
110,Sim,9.02,13.37,0.67
111,Não,3.52,6.23,0.57
112,Sim,9.00,13.90,0.65
113,Não,3.02,4.50,0.67
114,Sim,9.00,12.40,0.73
115,Sim,9.03,11.80,0.77
116,Não,5.92,8.17,0.72
117,Não,2.20,4.47,0.49
118,Sim,9.00,12.40,0.73
119,Não,5.48,9.23,0.59
120,Não,8.22,12.00,0.69
121,Sim,9.02,11.10,0.81
122,Sim,9.02,12.53,0.72
123,Sim,9.01,12.03,0.75
124,Sim,9.01,12.13,0.74
125,Não,3.98,6.00,0.66
126,Não,2.70,3.27,0.83
127,Não,1.48,25.00,0.06
128,Sim,9.01,12.40,0.73
129,Não,8.27,11.77,0.70
130,Sim,9.01,11.20,0.80
131,Não,5.07,7.50,0.68
132,Não,8.61,10.60,0.81
133,Sim,9.02,12.27,0.74
134,Sim,9.01,11.90,0.76
135,Sim,9.00,12.23,0.74
136,Sim,9.00,12.73,0.71
137,Sim,9.01,11.37,0.79
138,Não,7.47,10.00,0.75
139,Sim,9.02,11.60,0.78
140,Não,5.84,10.17,0.57
141,Sim,9.02,11.17,0.81
142,Sim,9.01,15.23,0.59
143,Sim,9.00,10.83,0.83
144,Sim,9.00,11.23,0.80
145,Sim,9.02,11.77,0.77
146,Sim,9.01,12.27,0.73
147,Não,6.48,9.67,0.67
148,Não,4.19,5.60,0.75
149,Não,6.02,10.10,0.60
150,Sim,9.02,11.33,0.80
151,Sim,9.02,12.33,0.73
152,Sim,9.00,12.80,0.70
153,Não,4.22,6.00,0.70
154,Não,4.45,6.13,0.73
155,Não,8.60,11.20,0.77
156,Sim,9.01,12.07,0.75
157,Não,2.21,3.83,0.58
158,Sim,9.00,11.60,0.78
159,Sim,9.02,10.83,0.83
160,Sim,9.00,14.37,0.63
