Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.02,10.20,0.88
2,9.02,10.77,0.84
3,9.02,9.40,0.96
4,9.02,9.43,0.96
5,9.02,9.40,0.96
6,9.03,9.27,0.97
7,9.02,10.43,0.86
9,9.01,10.13,0.89
10,9.01,10.53,0.86
11,9.01,10.80,0.83
12,9.02,9.77,0.92
13,9.02,9.53,0.95
14,9.01,10.73,0.84
15,9.00,10.60,0.85
16,9.00,10.17,0.89
17,9.01,10.60,0.85
18,9.02,10.93,0.82
19,9.00,10.00,0.90
20,9.01,10.53,0.86
21,9.00,9.63,0.93
22,9.02,9.60,0.94
23,9.01,11.10,0.81
24,9.02,9.87,0.91
27,9.01,9.77,0.92
28,9.01,10.70,0.84
30,9.00,9.53,0.94
31,9.00,9.40,0.96
32,9.00,10.53,0.85
33,9.02,10.17,0.89
35,9.00,10.20,0.88
36,9.01,10.30,0.87
38,9.01,10.53,0.86
39,9.01,9.83,0.92
40,9.02,10.40,0.87
41,9.00,10.53,0.85
43,9.01,9.47,0.95
45,9.01,9.43,0.96
46,9.03,10.27,0.88
48,9.02,10.03,0.90
50,9.03,10.23,0.88
51,9.03,10.73,0.84
52,9.02,11.30,0.80
53,9.02,9.87,0.91
54,9.02,10.53,0.86
56,9.01,10.43,0.86
57,9.01,10.13,0.89
58,9.01,9.93,0.91
59,9.00,10.40,0.87
60,9.00,9.83,0.92
61,9.01,10.37,0.87
62,9.01,9.47,0.95
63,9.02,11.03,0.82
65,9.03,10.97,0.82
66,9.01,10.50,0.86
67,9.01,10.97,0.82
69,9.01,9.47,0.95
70,9.02,10.47,0.86
71,9.02,9.80,0.92
72,9.02,10.47,0.86
73,9.00,9.63,0.93
74,9.00,9.80,0.92
75,9.03,9.73,0.93
76,9.01,11.50,0.78
77,9.01,11.07,0.81
78,9.01,9.77,0.92
79,9.02,11.07,0.81
80,9.02,9.77,0.92
81,9.01,10.60,0.85
83,9.00,10.10,0.89
84,9.01,10.07,0.90
85,9.01,11.20,0.80
86,9.00,9.77,0.92
87,9.02,10.67,0.85
88,9.01,12.23,0.74
89,9.00,10.03,0.90
90,9.02,9.63,0.94
91,9.00,10.10,0.89
92,9.00,11.30,0.80
93,9.03,9.57,0.94
94,9.01,10.63,0.85
95,9.00,9.73,0.92
98,9.01,10.00,0.90
99,9.01,11.10,0.81
100,9.01,9.63,0.94
101,9.02,10.27,0.88
103,9.02,10.37,0.87
104,9.01,10.77,0.84
105,9.01,10.20,0.88
106,9.01,10.67,0.84
107,9.02,9.77,0.92
109,9.00,10.17,0.89
110,9.01,10.23,0.88
111,9.03,10.57,0.85
112,9.04,9.57,0.95
113,9.01,9.93,0.91
114,9.03,9.90,0.91
115,9.01,10.27,0.88
116,9.01,10.50,0.86
117,9.02,9.90,0.91
118,9.02,9.77,0.92
