Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.02,10.20,0.88
2,Sim,9.02,10.77,0.84
3,Sim,9.02,9.40,0.96
4,Sim,9.02,9.43,0.96
5,Sim,9.02,9.40,0.96
6,Sim,9.03,9.27,0.97
7,Sim,9.02,10.43,0.86
8,Não,1.45,2.20,0.66
9,Sim,9.01,10.13,0.89
10,Sim,9.01,10.53,0.86
11,Sim,9.01,10.80,0.83
12,Sim,9.02,9.77,0.92
13,Sim,9.02,9.53,0.95
14,Sim,9.01,10.73,0.84
15,Sim,9.00,10.60,0.85
16,Sim,9.00,10.17,0.89
17,Sim,9.01,10.60,0.85
18,Sim,9.02,10.93,0.82
19,Sim,9.00,10.00,0.90
20,Sim,9.01,10.53,0.86
21,Sim,9.00,9.63,0.93
22,Sim,9.02,9.60,0.94
23,Sim,9.01,11.10,0.81
24,Sim,9.02,9.87,0.91
25,Não,8.61,10.57,0.82
26,Não,8.25,8.93,0.92
27,Sim,9.01,9.77,0.92
28,Sim,9.01,10.70,0.84
29,Não,6.95,9.40,0.74
30,Sim,9.00,9.53,0.94
31,Sim,9.00,9.40,0.96
32,Sim,9.00,10.53,0.85
33,Sim,9.02,10.17,0.89
34,Não,8.31,8.67,0.96
35,Sim,9.00,10.20,0.88
36,Sim,9.01,10.30,0.87
37,Não,3.36,4.03,0.83
38,Sim,9.01,10.53,0.86
39,Sim,9.01,9.83,0.92
40,Sim,9.02,10.40,0.87
41,Sim,9.00,10.53,0.85
42,Não,7.06,7.53,0.94
43,Sim,9.01,9.47,0.95
44,Não,5.60,6.80,0.82
45,Sim,9.01,9.43,0.96
46,Sim,9.03,10.27,0.88
47,Não,2.58,4.33,0.60
48,Sim,9.02,10.03,0.90
49,Não,7.54,8.80,0.86
50,Sim,9.03,10.23,0.88
51,Sim,9.03,10.73,0.84
52,Sim,9.02,11.30,0.80
53,Sim,9.02,9.87,0.91
54,Sim,9.02,10.53,0.86
55,Não,1.99,2.87,0.70
56,Sim,9.01,10.43,0.86
57,Sim,9.01,10.13,0.89
58,Sim,9.01,9.93,0.91
59,Sim,9.00,10.40,0.87
60,Sim,9.00,9.83,0.92
61,Sim,9.01,10.37,0.87
62,Sim,9.01,9.47,0.95
63,Sim,9.02,11.03,0.82
64,Não,7.83,10.37,0.76
65,Sim,9.03,10.97,0.82
66,Sim,9.01,10.50,0.86
67,Sim,9.01,10.97,0.82
68,Não,4.83,5.83,0.83
69,Sim,9.01,9.47,0.95
70,Sim,9.02,10.47,0.86
71,Sim,9.02,9.80,0.92
72,Sim,9.02,10.47,0.86
73,Sim,9.00,9.63,0.93
74,Sim,9.00,9.80,0.92
75,Sim,9.03,9.73,0.93
76,Sim,9.01,11.50,0.78
77,Sim,9.01,11.07,0.81
78,Sim,9.01,9.77,0.92
79,Sim,9.02,11.07,0.81
80,Sim,9.02,9.77,0.92
81,Sim,9.01,10.60,0.85
82,Não,5.39,5.93,0.91
83,Sim,9.00,10.10,0.89
84,Sim,9.01,10.07,0.90
85,Sim,9.01,11.20,0.80
86,Sim,9.00,9.77,0.92
87,Sim,9.02,10.67,0.85
88,Sim,9.01,12.23,0.74
89,Sim,9.00,10.03,0.90
90,Sim,9.02,9.63,0.94
91,Sim,9.00,10.10,0.89
92,Sim,9.00,11.30,0.80
93,Sim,9.03,9.57,0.94
94,Sim,9.01,10.63,0.85
95,Sim,9.00,9.73,0.92
96,Não,7.75,8.03,0.96
97,Não,6.90,8.67,0.80
98,Sim,9.01,10.00,0.90
99,Sim,9.01,11.10,0.81
100,Sim,9.01,9.63,0.94
101,Sim,9.02,10.27,0.88
102,Não,4.95,6.00,0.83
103,Sim,9.02,10.37,0.87
104,Sim,9.01,10.77,0.84
105,Sim,9.01,10.20,0.88
106,Sim,9.01,10.67,0.84
107,Sim,9.02,9.77,0.92
108,Não,6.94,8.20,0.85
109,Sim,9.00,10.17,0.89
110,Sim,9.01,10.23,0.88
111,Sim,9.03,10.57,0.85
112,Sim,9.04,9.57,0.95
113,Sim,9.01,9.93,0.91
114,Sim,9.03,9.90,0.91
115,Sim,9.01,10.27,0.88
116,Sim,9.01,10.50,0.86
117,Sim,9.02,9.90,0.91
118,Sim,9.02,9.77,0.92
