Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.02,12.07,0.75
2,9.02,12.17,0.74
3,9.02,10.87,0.83
4,9.01,11.37,0.79
5,9.02,11.13,0.81
7,9.01,11.00,0.82
8,9.01,11.80,0.76
9,9.00,12.40,0.73
11,9.02,11.27,0.80
12,9.02,12.07,0.75
15,9.02,12.53,0.72
16,9.02,11.33,0.80
17,9.00,11.57,0.78
18,9.01,11.00,0.82
19,9.00,11.93,0.75
20,9.02,11.77,0.77
22,9.02,12.63,0.71
23,9.02,11.47,0.79
24,9.02,12.67,0.71
25,9.00,11.30,0.80
26,9.01,11.60,0.78
27,9.02,11.80,0.76
28,9.00,11.20,0.80
29,9.00,10.77,0.84
30,9.01,11.83,0.76
31,9.01,12.33,0.73
32,9.01,12.60,0.71
34,9.03,11.20,0.81
35,9.03,11.87,0.76
36,9.02,10.50,0.86
37,9.01,12.83,0.70
38,9.01,11.87,0.76
39,9.00,10.87,0.83
40,9.00,11.57,0.78
41,9.02,12.23,0.74
43,9.01,12.50,0.72
44,9.01,12.20,0.74
45,9.01,11.33,0.80
46,9.02,11.70,0.77
47,9.02,12.47,0.72
48,9.02,11.77,0.77
49,9.00,11.50,0.78
50,9.01,11.27,0.80
52,9.01,11.13,0.81
53,9.00,11.83,0.76
54,9.00,11.73,0.77
55,9.00,11.33,0.79
56,9.01,10.90,0.83
57,9.01,12.00,0.75
58,9.03,11.43,0.79
59,9.03,11.40,0.79
60,9.01,11.13,0.81
61,9.01,10.70,0.84
63,9.02,11.50,0.78
64,9.01,10.47,0.86
65,9.01,13.00,0.69
67,9.00,11.23,0.80
68,9.01,11.00,0.82
69,9.00,11.93,0.75
70,9.03,12.10,0.75
71,9.02,10.90,0.83
72,9.01,11.90,0.76
73,9.02,11.93,0.76
74,9.02,11.83,0.76
75,9.01,10.53,0.86
76,9.01,11.80,0.76
77,9.02,10.60,0.85
78,9.00,10.93,0.82
79,9.00,12.20,0.74
80,9.01,11.37,0.79
81,9.02,11.47,0.79
82,9.03,11.50,0.78
83,9.02,11.10,0.81
84,9.03,12.57,0.72
85,9.01,11.50,0.78
86,9.02,10.80,0.84
87,9.02,11.23,0.80
89,9.01,11.63,0.77
90,9.00,10.90,0.83
91,9.02,10.53,0.86
92,9.01,11.73,0.77
93,9.01,12.37,0.73
94,9.02,11.43,0.79
95,9.01,10.40,0.87
96,9.00,11.13,0.81
98,9.01,11.73,0.77
99,9.01,11.57,0.78
100,9.01,12.23,0.74
101,9.01,11.07,0.81
102,9.02,11.53,0.78
103,9.00,12.70,0.71
104,9.02,11.37,0.79
106,9.02,11.23,0.80
107,9.01,11.47,0.79
108,9.00,12.20,0.74
109,9.00,11.70,0.77
113,9.00,10.47,0.86
114,9.01,11.37,0.79
115,9.01,11.50,0.78
116,9.00,11.33,0.79
