Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.02,12.07,0.75
2,Sim,9.02,12.17,0.74
3,Sim,9.02,10.87,0.83
4,Sim,9.01,11.37,0.79
5,Sim,9.02,11.13,0.81
6,Não,6.24,8.97,0.70
7,Sim,9.01,11.00,0.82
8,Sim,9.01,11.80,0.76
9,Sim,9.00,12.40,0.73
10,Não,4.81,6.37,0.76
11,Sim,9.02,11.27,0.80
12,Sim,9.02,12.07,0.75
13,Não,8.67,11.23,0.77
14,Não,5.84,8.60,0.68
15,Sim,9.02,12.53,0.72
16,Sim,9.02,11.33,0.80
17,Sim,9.00,11.57,0.78
18,Sim,9.01,11.00,0.82
19,Sim,9.00,11.93,0.75
20,Sim,9.02,11.77,0.77
21,Não,6.09,7.80,0.78
22,Sim,9.02,12.63,0.71
23,Sim,9.02,11.47,0.79
24,Sim,9.02,12.67,0.71
25,Sim,9.00,11.30,0.80
26,Sim,9.01,11.60,0.78
27,Sim,9.02,11.80,0.76
28,Sim,9.00,11.20,0.80
29,Sim,9.00,10.77,0.84
30,Sim,9.01,11.83,0.76
31,Sim,9.01,12.33,0.73
32,Sim,9.01,12.60,0.71
33,Não,3.93,6.63,0.59
34,Sim,9.03,11.20,0.81
35,Sim,9.03,11.87,0.76
36,Sim,9.02,10.50,0.86
37,Sim,9.01,12.83,0.70
38,Sim,9.01,11.87,0.76
39,Sim,9.00,10.87,0.83
40,Sim,9.00,11.57,0.78
41,Sim,9.02,12.23,0.74
42,Não,5.77,8.70,0.66
43,Sim,9.01,12.50,0.72
44,Sim,9.01,12.20,0.74
45,Sim,9.01,11.33,0.80
46,Sim,9.02,11.70,0.77
47,Sim,9.02,12.47,0.72
48,Sim,9.02,11.77,0.77
49,Sim,9.00,11.50,0.78
50,Sim,9.01,11.27,0.80
51,Não,3.19,5.07,0.63
52,Sim,9.01,11.13,0.81
53,Sim,9.00,11.83,0.76
54,Sim,9.00,11.73,0.77
55,Sim,9.00,11.33,0.79
56,Sim,9.01,10.90,0.83
57,Sim,9.01,12.00,0.75
58,Sim,9.03,11.43,0.79
59,Sim,9.03,11.40,0.79
60,Sim,9.01,11.13,0.81
61,Sim,9.01,10.70,0.84
62,Não,2.21,2.93,0.75
63,Sim,9.02,11.50,0.78
64,Sim,9.01,10.47,0.86
65,Sim,9.01,13.00,0.69
66,Não,1.81,2.83,0.64
67,Sim,9.00,11.23,0.80
68,Sim,9.01,11.00,0.82
69,Sim,9.00,11.93,0.75
70,Sim,9.03,12.10,0.75
71,Sim,9.02,10.90,0.83
72,Sim,9.01,11.90,0.76
73,Sim,9.02,11.93,0.76
74,Sim,9.02,11.83,0.76
75,Sim,9.01,10.53,0.86
76,Sim,9.01,11.80,0.76
77,Sim,9.02,10.60,0.85
78,Sim,9.00,10.93,0.82
79,Sim,9.00,12.20,0.74
80,Sim,9.01,11.37,0.79
81,Sim,9.02,11.47,0.79
82,Sim,9.03,11.50,0.78
83,Sim,9.02,11.10,0.81
84,Sim,9.03,12.57,0.72
85,Sim,9.01,11.50,0.78
86,Sim,9.02,10.80,0.84
87,Sim,9.02,11.23,0.80
88,Não,7.87,10.47,0.75
89,Sim,9.01,11.63,0.77
90,Sim,9.00,10.90,0.83
91,Sim,9.02,10.53,0.86
92,Sim,9.01,11.73,0.77
93,Sim,9.01,12.37,0.73
94,Sim,9.02,11.43,0.79
95,Sim,9.01,10.40,0.87
96,Sim,9.00,11.13,0.81
97,Não,6.18,8.80,0.70
98,Sim,9.01,11.73,0.77
99,Sim,9.01,11.57,0.78
100,Sim,9.01,12.23,0.74
101,Sim,9.01,11.07,0.81
102,Sim,9.02,11.53,0.78
103,Sim,9.00,12.70,0.71
104,Sim,9.02,11.37,0.79
105,Não,4.12,5.60,0.74
106,Sim,9.02,11.23,0.80
107,Sim,9.01,11.47,0.79
108,Sim,9.00,12.20,0.74
109,Sim,9.00,11.70,0.77
110,Não,7.36,9.57,0.77
111,Não,6.03,8.03,0.75
112,Não,8.25,10.73,0.77
113,Sim,9.00,10.47,0.86
114,Sim,9.01,11.37,0.79
115,Sim,9.01,11.50,0.78
116,Sim,9.00,11.33,0.79
