Episódio,Distância (m),Tempo (s),Velocidade (m/s)
4,9.03,12.47,0.72
5,9.00,10.80,0.83
6,9.01,10.27,0.88
13,9.02,12.23,0.74
16,9.01,10.43,0.86
23,9.01,11.47,0.79
34,9.01,10.57,0.85
35,9.03,9.77,0.92
41,9.02,11.13,0.81
43,9.01,9.93,0.91
48,9.03,10.53,0.86
49,9.02,10.93,0.82
60,9.01,10.27,0.88
62,9.04,9.63,0.94
65,9.04,10.60,0.85
68,9.01,11.77,0.77
72,9.03,11.10,0.81
77,9.03,11.43,0.79
89,9.02,10.13,0.89
90,9.03,11.60,0.78
92,9.00,11.40,0.79
97,9.02,11.33,0.80
100,9.03,10.83,0.83
102,9.03,10.77,0.84
106,9.03,10.13,0.89
108,9.00,12.00,0.75
109,9.02,11.63,0.78
115,9.03,10.77,0.84
136,9.01,11.07,0.81
154,9.01,9.90,0.91
159,9.00,11.20,0.80
161,9.02,10.27,0.88
170,9.01,12.20,0.74
171,9.01,13.13,0.69
187,9.02,14.10,0.64
190,9.00,11.93,0.75
192,9.03,10.33,0.87
197,9.02,10.43,0.86
199,9.00,12.77,0.71
201,9.02,10.73,0.84
207,9.01,12.13,0.74
212,9.02,12.37,0.73
218,9.03,11.60,0.78
223,9.05,10.23,0.88
225,9.02,11.80,0.76
232,9.03,12.77,0.71
236,9.03,11.17,0.81
245,9.01,11.13,0.81
249,9.03,11.30,0.80
256,9.01,14.40,0.63
260,9.02,10.67,0.85
263,9.04,9.87,0.92
271,9.01,10.67,0.84
276,9.02,12.97,0.70
278,9.02,10.90,0.83
283,9.03,12.43,0.73
289,9.03,10.27,0.88
292,9.02,11.90,0.76
293,9.03,10.00,0.90
295,9.01,9.73,0.93
304,9.02,11.33,0.80
306,9.03,11.33,0.80
309,9.02,11.10,0.81
310,9.03,10.27,0.88
311,9.02,12.83,0.70
317,9.01,10.70,0.84
318,9.01,12.77,0.71
319,9.00,10.17,0.89
335,9.01,10.97,0.82
338,9.03,11.23,0.80
348,9.03,13.93,0.65
351,9.01,11.37,0.79
352,9.02,11.23,0.80
362,9.02,10.50,0.86
373,9.03,11.97,0.75
376,9.02,11.63,0.78
377,9.01,11.50,0.78
381,9.02,10.50,0.86
382,9.02,10.07,0.90
384,9.01,11.67,0.77
386,9.04,11.63,0.78
395,9.01,10.30,0.87
398,9.01,11.93,0.75
404,9.01,10.47,0.86
410,9.02,10.93,0.83
415,9.02,9.73,0.93
424,9.02,11.83,0.76
425,9.01,11.00,0.82
433,9.02,13.93,0.65
441,9.01,12.40,0.73
447,9.02,11.10,0.81
448,9.02,11.77,0.77
450,9.02,10.07,0.90
452,9.04,10.93,0.83
458,9.00,10.60,0.85
459,9.01,10.43,0.86
463,9.02,10.60,0.85
467,9.03,10.30,0.88
468,9.00,10.77,0.84
472,9.04,11.17,0.81
