Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Não,6.12,9.10,0.67
2,Não,5.99,7.20,0.83
3,Não,4.23,6.03,0.70
4,Sim,9.03,12.47,0.72
5,Sim,9.00,10.80,0.83
6,Sim,9.01,10.27,0.88
7,Não,1.40,3.03,0.46
8,Não,5.42,7.40,0.73
9,Não,6.30,8.53,0.74
10,Não,4.69,6.50,0.72
11,Não,5.60,8.33,0.67
12,Não,6.77,8.53,0.79
13,Sim,9.02,12.23,0.74
14,Não,7.84,10.50,0.75
15,Não,6.53,8.13,0.80
16,Sim,9.01,10.43,0.86
17,Não,8.90,10.00,0.89
18,Não,5.90,8.03,0.73
19,Não,5.92,8.57,0.69
20,Não,5.03,8.37,0.60
21,Não,-0.21,3.17,-0.07
22,Não,8.63,12.40,0.70
23,Sim,9.01,11.47,0.79
24,Não,0.02,2.73,0.01
25,Não,1.64,3.83,0.43
26,Não,8.62,11.00,0.78
27,Não,6.00,9.17,0.65
28,Não,6.12,8.70,0.70
29,Não,5.74,6.93,0.83
30,Não,8.02,10.00,0.80
31,Não,5.16,8.27,0.62
32,Não,6.96,11.57,0.60
33,Não,4.69,6.83,0.69
34,Sim,9.01,10.57,0.85
35,Sim,9.03,9.77,0.92
36,Não,8.92,11.27,0.79
37,Não,6.79,8.67,0.78
38,Não,0.76,2.33,0.33
39,Não,5.86,8.67,0.68
40,Não,-0.13,4.70,-0.03
41,Sim,9.02,11.13,0.81
42,Não,6.50,8.27,0.79
43,Sim,9.01,9.93,0.91
44,Não,4.19,6.97,0.60
45,Não,0.43,3.87,0.11
46,Não,5.91,8.50,0.70
47,Não,0.26,3.43,0.07
48,Sim,9.03,10.53,0.86
49,Sim,9.02,10.93,0.82
50,Não,0.01,2.43,0.00
51,Não,6.81,9.27,0.73
52,Não,4.15,5.87,0.71
53,Não,5.14,7.17,0.72
54,Não,0.34,2.73,0.12
55,Não,7.41,10.40,0.71
56,Não,5.86,7.63,0.77
57,Não,3.37,4.97,0.68
58,Não,6.85,8.70,0.79
59,Não,0.55,3.07,0.18
60,Sim,9.01,10.27,0.88
61,Não,5.17,7.43,0.70
62,Sim,9.04,9.63,0.94
63,Não,5.48,7.27,0.75
64,Não,8.04,11.27,0.71
65,Sim,9.04,10.60,0.85
66,Não,0.54,2.60,0.21
67,Não,6.18,9.67,0.64
68,Sim,9.01,11.77,0.77
69,Não,-0.06,2.53,-0.02
70,Não,5.92,8.07,0.73
71,Não,6.21,10.33,0.60
72,Sim,9.03,11.10,0.81
73,Não,4.86,7.53,0.65
74,Não,0.11,3.53,0.03
75,Não,0.65,3.37,0.19
76,Não,7.94,9.97,0.80
77,Sim,9.03,11.43,0.79
78,Não,0.43,3.13,0.14
79,Não,5.62,7.97,0.71
80,Não,0.38,2.70,0.14
81,Não,0.18,2.43,0.07
82,Não,4.58,6.30,0.73
83,Não,3.65,7.63,0.48
84,Não,-0.30,3.43,-0.09
85,Não,0.14,2.20,0.06
86,Não,3.43,5.33,0.64
87,Não,5.98,8.00,0.75
88,Não,5.22,6.67,0.78
89,Sim,9.02,10.13,0.89
90,Sim,9.03,11.60,0.78
91,Não,6.69,8.80,0.76
92,Sim,9.00,11.40,0.79
93,Não,-0.12,3.47,-0.04
94,Não,6.72,9.23,0.73
95,Não,6.49,9.67,0.67
96,Não,5.96,8.37,0.71
97,Sim,9.02,11.33,0.80
98,Não,8.33,10.97,0.76
99,Não,-0.04,1.83,-0.02
100,Sim,9.03,10.83,0.83
101,Não,6.19,8.43,0.73
102,Sim,9.03,10.77,0.84
103,Não,4.66,6.00,0.78
104,Não,0.40,3.37,0.12
105,Não,6.86,10.03,0.68
