Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.01,10.03,0.90
2,9.02,10.27,0.88
3,9.00,10.43,0.86
4,9.00,9.33,0.96
5,9.02,9.37,0.96
6,9.01,9.93,0.91
7,9.01,9.23,0.98
8,9.00,10.30,0.87
9,9.02,9.77,0.92
11,9.01,9.23,0.98
12,9.01,9.70,0.93
13,9.03,9.60,0.94
15,9.02,9.53,0.95
18,9.00,10.07,0.89
19,9.01,10.00,0.90
20,9.03,8.77,1.03
22,9.02,9.33,0.97
23,9.02,10.43,0.86
25,9.01,10.13,0.89
26,9.03,9.73,0.93
27,9.01,9.63,0.94
28,9.02,9.07,0.99
29,9.03,9.60,0.94
30,9.02,9.33,0.97
32,9.03,9.67,0.93
34,9.01,9.60,0.94
35,9.01,10.77,0.84
36,9.01,9.23,0.98
37,9.01,9.83,0.92
39,9.01,9.53,0.95
40,9.04,9.90,0.91
41,9.02,10.03,0.90
43,9.01,9.87,0.91
44,9.03,9.23,0.98
45,9.00,9.87,0.91
46,9.00,9.40,0.96
47,9.02,9.40,0.96
48,9.02,9.60,0.94
50,9.03,9.60,0.94
53,9.02,10.17,0.89
54,9.02,10.07,0.90
55,9.02,8.97,1.01
57,9.03,9.83,0.92
58,9.00,10.90,0.83
59,9.00,9.60,0.94
60,9.04,9.87,0.92
61,9.02,11.37,0.79
64,9.00,9.27,0.97
65,9.02,9.60,0.94
66,9.03,10.33,0.87
67,9.01,10.47,0.86
68,9.04,9.87,0.92
69,9.03,9.83,0.92
70,9.01,10.13,0.89
71,9.02,10.30,0.88
72,9.01,10.60,0.85
73,9.01,9.30,0.97
74,9.00,9.50,0.95
75,9.00,10.57,0.85
77,9.01,9.47,0.95
78,9.02,9.63,0.94
79,9.02,9.40,0.96
80,9.01,9.63,0.94
81,9.01,9.67,0.93
82,9.01,9.73,0.93
83,9.03,9.63,0.94
86,9.01,9.23,0.98
87,9.00,9.27,0.97
88,9.00,10.90,0.83
89,9.01,9.13,0.99
90,9.02,9.73,0.93
91,9.03,9.97,0.91
93,9.03,11.80,0.76
94,9.01,10.70,0.84
95,9.01,9.40,0.96
96,9.04,9.20,0.98
97,9.01,9.20,0.98
98,9.00,9.87,0.91
101,9.03,9.67,0.93
103,9.02,9.30,0.97
104,9.02,9.23,0.98
105,9.02,10.83,0.83
106,9.02,10.60,0.85
108,9.01,9.40,0.96
110,9.00,9.17,0.98
112,9.01,9.40,0.96
113,9.01,9.50,0.95
114,9.03,10.03,0.90
116,9.00,9.20,0.98
117,9.03,10.00,0.90
118,9.01,9.83,0.92
119,9.03,9.87,0.91
120,9.03,9.60,0.94
122,9.02,9.33,0.97
124,9.01,10.80,0.83
125,9.00,9.10,0.99
126,9.01,10.03,0.90
127,9.02,9.73,0.93
128,9.02,10.07,0.90
129,9.01,10.27,0.88
