Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.01,10.03,0.90
2,Sim,9.02,10.27,0.88
3,Sim,9.00,10.43,0.86
4,Sim,9.00,9.33,0.96
5,Sim,9.02,9.37,0.96
6,Sim,9.01,9.93,0.91
7,Sim,9.01,9.23,0.98
8,Sim,9.00,10.30,0.87
9,Sim,9.02,9.77,0.92
10,Não,0.55,1.63,0.34
11,Sim,9.01,9.23,0.98
12,Sim,9.01,9.70,0.93
13,Sim,9.03,9.60,0.94
14,Não,8.77,10.30,0.85
15,Sim,9.02,9.53,0.95
16,Não,2.66,4.67,0.57
17,Não,8.72,9.80,0.89
18,Sim,9.00,10.07,0.89
19,Sim,9.01,10.00,0.90
20,Sim,9.03,8.77,1.03
21,Não,0.29,2.37,0.12
22,Sim,9.02,9.33,0.97
23,Sim,9.02,10.43,0.86
24,Não,8.16,9.57,0.85
25,Sim,9.01,10.13,0.89
26,Sim,9.03,9.73,0.93
27,Sim,9.01,9.63,0.94
28,Sim,9.02,9.07,0.99
29,Sim,9.03,9.60,0.94
30,Sim,9.02,9.33,0.97
31,Não,8.85,9.57,0.92
32,Sim,9.03,9.67,0.93
33,Não,8.88,10.33,0.86
34,Sim,9.01,9.60,0.94
35,Sim,9.01,10.77,0.84
36,Sim,9.01,9.23,0.98
37,Sim,9.01,9.83,0.92
38,Não,8.34,10.70,0.78
39,Sim,9.01,9.53,0.95
40,Sim,9.04,9.90,0.91
41,Sim,9.02,10.03,0.90
42,Não,8.11,11.77,0.69
43,Sim,9.01,9.87,0.91
44,Sim,9.03,9.23,0.98
45,Sim,9.00,9.87,0.91
46,Sim,9.00,9.40,0.96
47,Sim,9.02,9.40,0.96
48,Sim,9.02,9.60,0.94
49,Não,8.52,10.50,0.81
50,Sim,9.03,9.60,0.94
51,Não,8.51,10.17,0.84
52,Não,5.40,6.80,0.79
53,Sim,9.02,10.17,0.89
54,Sim,9.02,10.07,0.90
55,Sim,9.02,8.97,1.01
56,Não,7.55,9.50,0.79
57,Sim,9.03,9.83,0.92
58,Sim,9.00,10.90,0.83
59,Sim,9.00,9.60,0.94
60,Sim,9.04,9.87,0.92
61,Sim,9.02,11.37,0.79
62,Não,8.95,11.73,0.76
63,Não,6.92,7.53,0.92
64,Sim,9.00,9.27,0.97
65,Sim,9.02,9.60,0.94
66,Sim,9.03,10.33,0.87
67,Sim,9.01,10.47,0.86
68,Sim,9.04,9.87,0.92
69,Sim,9.03,9.83,0.92
70,Sim,9.01,10.13,0.89
71,Sim,9.02,10.30,0.88
72,Sim,9.01,10.60,0.85
73,Sim,9.01,9.30,0.97
74,Sim,9.00,9.50,0.95
75,Sim,9.00,10.57,0.85
76,Não,8.67,9.60,0.90
77,Sim,9.01,9.47,0.95
78,Sim,9.02,9.63,0.94
79,Sim,9.02,9.40,0.96
80,Sim,9.01,9.63,0.94
81,Sim,9.01,9.67,0.93
82,Sim,9.01,9.73,0.93
83,Sim,9.03,9.63,0.94
84,Não,2.10,3.90,0.54
85,Não,7.56,10.27,0.74
86,Sim,9.01,9.23,0.98
87,Sim,9.00,9.27,0.97
88,Sim,9.00,10.90,0.83
89,Sim,9.01,9.13,0.99
90,Sim,9.02,9.73,0.93
91,Sim,9.03,9.97,0.91
92,Não,8.14,13.03,0.62
93,Sim,9.03,11.80,0.76
94,Sim,9.01,10.70,0.84
95,Sim,9.01,9.40,0.96
96,Sim,9.04,9.20,0.98
97,Sim,9.01,9.20,0.98
98,Sim,9.00,9.87,0.91
99,Não,7.70,9.60,0.80
100,Não,8.59,10.27,0.84
101,Sim,9.03,9.67,0.93
102,Não,6.82,8.70,0.78
103,Sim,9.02,9.30,0.97
104,Sim,9.02,9.23,0.98
105,Sim,9.02,10.83,0.83
106,Sim,9.02,10.60,0.85
107,Não,8.66,10.23,0.85
108,Sim,9.01,9.40,0.96
109,Não,8.82,9.97,0.88
110,Sim,9.00,9.17,0.98
111,Não,7.87,10.47,0.75
112,Sim,9.01,9.40,0.96
113,Sim,9.01,9.50,0.95
114,Sim,9.03,10.03,0.90
115,Não,8.79,10.60,0.83
116,Sim,9.00,9.20,0.98
117,Sim,9.03,10.00,0.90
118,Sim,9.01,9.83,0.92
119,Sim,9.03,9.87,0.91
120,Sim,9.03,9.60,0.94
121,Não,4.06,6.07,0.67
122,Sim,9.02,9.33,0.97
123,Não,8.91,10.33,0.86
124,Sim,9.01,10.80,0.83
125,Sim,9.00,9.10,0.99
126,Sim,9.01,10.03,0.90
127,Sim,9.02,9.73,0.93
128,Sim,9.02,10.07,0.90
129,Sim,9.01,10.27,0.88
