Episódio,Distância (m),Tempo (s),Velocidade (m/s)
8,9.00,14.97,0.60
10,9.01,17.33,0.52
27,9.01,18.57,0.49
34,9.03,19.93,0.45
67,9.04,13.80,0.65
74,9.00,15.90,0.57
80,9.01,17.07,0.53
100,9.00,24.60,0.37
108,9.01,18.43,0.49
122,9.06,19.60,0.46
126,9.01,13.87,0.65
129,9.01,15.47,0.58
175,9.01,19.90,0.45
193,9.02,15.53,0.58
226,9.01,13.80,0.65
229,9.05,14.77,0.61
239,9.03,20.77,0.43
270,9.00,15.10,0.60
294,9.00,12.53,0.72
307,9.01,18.13,0.50
353,9.01,20.83,0.43
354,9.02,14.70,0.61
394,9.05,15.47,0.59
414,9.03,21.70,0.42
416,9.01,18.43,0.49
432,9.03,19.10,0.47
435,9.00,13.37,0.67
439,9.01,22.57,0.40
460,9.01,16.80,0.54
483,9.01,20.80,0.43
503,9.00,14.57,0.62
509,9.01,13.50,0.67
513,9.00,16.27,0.55
541,9.01,16.40,0.55
544,9.03,17.53,0.52
571,9.01,14.73,0.61
573,9.02,15.27,0.59
578,9.01,16.47,0.55
580,9.00,17.03,0.53
594,9.01,16.23,0.55
612,9.01,18.40,0.49
628,9.02,16.60,0.54
649,9.02,13.83,0.65
658,9.00,17.53,0.51
668,9.00,15.70,0.57
679,9.00,16.73,0.54
759,9.01,18.07,0.50
766,9.02,17.00,0.53
770,9.00,19.07,0.47
788,9.02,12.70,0.71
834,9.03,17.00,0.53
835,9.02,23.03,0.39
845,9.00,15.80,0.57
861,9.02,17.80,0.51
897,9.01,16.47,0.55
900,9.02,16.27,0.55
906,9.02,15.33,0.59
924,9.01,18.20,0.49
926,9.01,18.67,0.48
939,9.00,13.40,0.67
948,9.00,22.70,0.40
1000,9.02,14.27,0.63
1022,9.02,14.60,0.62
1026,9.01,17.43,0.52
1027,9.01,22.23,0.41
1045,9.02,20.83,0.43
1048,9.04,16.57,0.55
1076,9.00,18.07,0.50
1078,9.02,14.37,0.63
1083,9.01,14.80,0.61
1110,9.01,14.47,0.62
1155,9.00,15.50,0.58
1160,9.02,17.67,0.51
1163,9.02,21.13,0.43
1165,9.01,16.73,0.54
1167,9.00,13.77,0.65
1172,9.03,16.13,0.56
1190,9.03,18.90,0.48
1199,9.04,14.77,0.61
1206,9.01,15.73,0.57
1212,9.02,22.03,0.41
1259,9.01,15.03,0.60
1286,9.00,17.77,0.51
1290,9.04,13.20,0.69
1362,9.00,18.50,0.49
1363,9.02,15.27,0.59
1371,9.02,16.33,0.55
1403,9.01,15.93,0.57
1405,9.02,17.67,0.51
1411,9.00,23.23,0.39
1418,9.02,14.10,0.64
1426,9.00,14.60,0.62
1437,9.01,18.03,0.50
1447,9.02,13.87,0.65
1454,9.01,15.67,0.58
1456,9.01,17.10,0.53
1482,9.01,18.90,0.48
1533,9.01,16.03,0.56
1540,9.03,15.37,0.59
1570,9.01,14.23,0.63
