Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Não,1.52,7.07,0.22
2,Não,1.05,18.20,0.06
3,Não,7.36,16.47,0.45
4,Não,8.31,17.53,0.47
5,Não,1.04,10.43,0.10
6,Não,7.80,17.37,0.45
7,Não,1.13,12.10,0.09
8,Sim,9.00,14.97,0.60
9,Não,6.58,13.20,0.50
10,Sim,9.01,17.33,0.52
11,Não,1.35,11.53,0.12
12,Não,1.00,2.63,0.38
13,Não,1.77,9.10,0.19
14,Não,3.30,8.00,0.41
15,Não,8.57,17.70,0.48
16,Não,8.22,16.90,0.49
17,Não,8.76,15.20,0.58
18,Não,2.81,5.33,0.53
19,Não,0.87,8.47,0.10
20,Não,8.81,21.10,0.42
21,Não,1.38,8.97,0.15
22,Não,1.53,7.67,0.20
23,Não,8.19,16.60,0.49
24,Não,8.33,16.10,0.52
25,Não,1.59,8.50,0.19
26,Não,2.06,25.00,0.08
27,Sim,9.01,18.57,0.49
28,Não,2.10,25.00,0.08
29,Não,0.81,6.37,0.13
30,Não,8.76,12.50,0.70
31,Não,0.38,25.00,0.02
32,Não,1.05,1.47,0.72
33,Não,8.88,12.83,0.69
34,Sim,9.03,19.93,0.45
35,Não,1.50,5.43,0.28
36,Não,2.79,7.70,0.36
37,Não,1.01,14.23,0.07
38,Não,1.11,13.03,0.09
39,Não,8.05,23.10,0.35
40,Não,0.77,21.87,0.04
41,Não,1.13,17.03,0.07
42,Não,0.59,25.00,0.02
43,Não,1.25,1.70,0.74
44,Não,0.70,7.60,0.09
45,Não,0.74,8.70,0.08
46,Não,0.87,12.03,0.07
47,Não,2.03,6.27,0.32
48,Não,0.76,25.00,0.03
49,Não,2.13,6.50,0.33
50,Não,2.62,6.17,0.43
51,Não,1.22,25.00,0.05
52,Não,6.73,14.80,0.45
53,Não,6.71,23.97,0.28
54,Não,0.42,25.00,0.02
55,Não,2.29,5.63,0.41
56,Não,1.02,1.60,0.64
57,Não,0.61,5.17,0.12
58,Não,7.01,15.00,0.47
59,Não,5.79,15.23,0.38
60,Não,1.63,25.00,0.07
61,Não,0.95,15.80,0.06
62,Não,3.50,6.43,0.54
63,Não,8.04,14.50,0.55
64,Não,1.74,8.63,0.20
65,Não,1.15,9.37,0.12
66,Não,4.36,6.03,0.72
67,Sim,9.04,13.80,0.65
68,Não,8.59,23.00,0.37
69,Não,1.61,6.87,0.23
70,Não,1.59,14.93,0.11
71,Não,0.93,25.00,0.04
72,Não,0.58,9.87,0.06
73,Não,1.82,9.13,0.20
74,Sim,9.00,15.90,0.57
75,Não,8.40,17.40,0.48
76,Não,0.05,5.23,0.01
77,Não,1.61,5.37,0.30
78,Não,1.01,14.43,0.07
79,Não,5.77,17.43,0.33
80,Sim,9.01,17.07,0.53
81,Não,5.60,12.10,0.46
82,Não,1.17,7.53,0.16
83,Não,1.13,12.47,0.09
84,Não,1.85,16.93,0.11
85,Não,7.28,20.57,0.35
86,Não,8.51,13.37,0.64
87,Não,1.64,5.40,0.30
88,Não,6.67,14.57,0.46
89,Não,1.75,13.53,0.13
90,Não,7.30,17.00,0.43
91,Não,0.43,25.00,0.02
92,Não,2.27,7.80,0.29
93,Não,1.24,19.23,0.06
94,Não,-0.21,8.50,-0.02
95,Não,1.37,25.00,0.05
96,Não,5.95,15.30,0.39
97,Não,2.71,5.77,0.47
98,Não,1.56,7.87,0.20
99,Não,8.05,19.93,0.40
100,Sim,9.00,24.60,0.37
101,Não,0.58,10.73,0.05
102,Não,0.83,8.57,0.10
103,Não,0.98,11.90,0.08
104,Não,3.48,12.33,0.28
105,Não,1.08,16.33,0.07
106,Não,1.00,1.53,0.65
107,Não,1.47,11.43,0.13
108,Sim,9.01,18.43,0.49
109,Não,1.40,10.27,0.14
110,Não,8.93,20.23,0.44
111,Não,3.80,6.67,0.57
112,Não,7.96,25.00,0.32
113,Não,0.82,19.93,0.04
114,Não,1.10,2.03,0.54
115,Não,0.51,15.27,0.03
116,Não,8.15,18.77,0.43
117,Não,1.17,12.13,0.10
118,Não,1.14,1.70,0.67
119,Não,3.42,10.70,0.32
120,Não,5.46,19.97,0.27
121,Não,6.74,15.77,0.43
122,Sim,9.06,19.60,0.46
123,Não,1.54,5.40,0.28
124,Não,5.45,18.57,0.29
125,Não,0.38,25.00,0.02
126,Sim,9.01,13.87,0.65
127,Não,2.26,14.47,0.16
128,Não,6.79,20.13,0.34
129,Sim,9.01,15.47,0.58
130,Não,1.34,7.07,0.19
131,Não,1.38,4.07,0.34
132,Não,5.88,15.70,0.37
133,Não,0.75,5.77,0.13
134,Não,1.63,7.40,0.22
135,Não,0.87,7.43,0.12
136,Não,0.99,10.90,0.09
137,Não,8.66,20.37,0.43
138,Não,5.01,11.27,0.44
139,Não,0.16,2.57,0.06
140,Não,1.38,17.47,0.08
141,Não,1.13,2.07,0.54
142,Não,2.70,5.83,0.46
143,Não,2.60,6.13,0.42
144,Não,0.73,5.07,0.14
145,Não,0.73,20.10,0.04
146,Não,1.98,25.00,0.08
147,Não,1.35,8.67,0.16
148,Não,0.93,5.97,0.16
149,Não,1.26,15.90,0.08
150,Não,7.68,13.27,0.58
151,Não,3.03,6.10,0.50
152,Não,4.04,10.03,0.40
153,Não,2.77,7.90,0.35
154,Não,8.50,15.13,0.56
155,Não,2.31,6.37,0.36
156,Não,0.87,25.00,0.03
157,Não,2.20,11.70,0.19
158,Não,0.24,18.60,0.01
159,Não,8.91,16.47,0.54
160,Não,1.33,15.60,0.09
161,Não,0.52,10.17,0.05
162,Não,1.17,18.10,0.06
163,Não,2.65,10.10,0.26
164,Não,1.87,7.57,0.25
165,Não,7.50,19.53,0.38
166,Não,0.87,25.00,0.03
167,Não,7.55,18.60,0.41
168,Não,5.27,19.50,0.27
169,Não,2.72,6.20,0.44
170,Não,1.49,23.40,0.06
171,Não,7.18,16.37,0.44
172,Não,0.99,1.53,0.65
173,Não,2.98,4.70,0.63
174,Não,5.62,19.80,0.28
175,Sim,9.01,19.90,0.45
176,Não,1.23,4.37,0.28
177,Não,1.38,19.57,0.07
178,Não,3.66,6.63,0.55
179,Não,2.05,6.60,0.31
180,Não,0.50,6.00,0.08
181,Não,1.12,4.13,0.27
182,Não,1.16,21.83,0.05
183,Não,1.22,14.53,0.08
184,Não,1.07,7.43,0.14
185,Não,0.88,9.93,0.09
186,Não,1.17,18.30,0.06
187,Não,1.35,2.57,0.53
188,Não,1.36,3.57,0.38
189,Não,1.43,14.73,0.10
190,Não,1.72,13.87,0.12
191,Não,0.70,20.80,0.03
192,Não,1.11,25.00,0.04
193,Sim,9.02,15.53,0.58
194,Não,5.46,13.77,0.40
195,Não,1.32,6.37,0.21
196,Não,7.97,11.40,0.70
197,Não,1.11,19.23,0.06
198,Não,1.75,12.53,0.14
199,Não,1.24,12.93,0.10
200,Não,9.00,25.00,0.36
201,Não,0.58,11.47,0.05
202,Não,2.93,8.73,0.34
203,Não,7.15,15.67,0.46
204,Não,4.81,12.63,0.38
205,Não,0.79,5.80,0.14
206,Não,8.03,13.67,0.59
207,Não,7.54,21.70,0.35
208,Não,2.12,4.83,0.44
209,Não,2.27,6.23,0.36
210,Não,0.32,10.33,0.03
211,Não,1.96,11.17,0.18
212,Não,2.49,6.13,0.41
213,Não,0.78,18.90,0.04
214,Não,8.19,13.60,0.60
215,Não,0.82,24.60,0.03
216,Não,2.84,6.63,0.43
217,Não,2.97,7.90,0.38
218,Não,4.37,7.60,0.57
219,Não,2.44,11.70,0.21
220,Não,0.70,25.00,0.03
221,Não,7.56,11.03,0.68
222,Não,0.99,1.93,0.51
223,Não,2.36,14.37,0.16
224,Não,1.00,25.00,0.04
225,Não,3.17,6.63,0.48
226,Sim,9.01,13.80,0.65
227,Não,7.90,12.40,0.64
228,Não,1.14,9.07,0.13
229,Sim,9.05,14.77,0.61
230,Não,6.42,11.17,0.57
231,Não,0.73,13.57,0.05
232,Não,0.89,10.37,0.09
233,Não,1.17,5.70,0.21
234,Não,7.83,15.23,0.51
235,Não,6.32,14.00,0.45
236,Não,0.05,3.97,0.01
237,Não,3.23,22.10,0.15
238,Não,5.89,16.07,0.37
239,Sim,9.03,20.77,0.43
240,Não,0.60,14.30,0.04
241,Não,6.38,11.97,0.53
242,Não,0.42,12.13,0.03
243,Não,0.52,7.97,0.07
244,Não,7.82,12.10,0.65
245,Não,2.99,12.97,0.23
246,Não,2.68,7.30,0.37
247,Não,1.22,6.27,0.19
248,Não,0.90,5.43,0.17
249,Não,1.21,18.20,0.07
250,Não,0.81,6.90,0.12
251,Não,0.98,7.33,0.13
252,Não,7.94,12.87,0.62
253,Não,5.68,20.00,0.28
254,Não,6.42,13.23,0.48
255,Não,2.35,8.17,0.29
256,Não,2.55,5.93,0.43
257,Não,1.06,8.17,0.13
258,Não,8.84,15.80,0.56
259,Não,3.15,7.43,0.42
260,Não,7.63,11.13,0.69
261,Não,2.69,9.03,0.30
262,Não,7.56,20.27,0.37
263,Não,3.15,25.00,0.13
264,Não,7.72,14.07,0.55
265,Não,0.97,21.53,0.04
266,Não,2.75,17.03,0.16
267,Não,7.08,14.70,0.48
268,Não,1.22,25.00,0.05
269,Não,0.31,6.80,0.05
270,Sim,9.00,15.10,0.60
271,Não,3.20,15.20,0.21
272,Não,1.18,17.30,0.07
273,Não,0.48,25.00,0.02
274,Não,0.43,21.97,0.02
275,Não,2.35,11.07,0.21
276,Não,2.54,9.67,0.26
277,Não,0.53,8.50,0.06
278,Não,1.01,12.50,0.08
279,Não,0.80,8.70,0.09
280,Não,6.46,17.53,0.37
281,Não,0.77,7.47,0.10
282,Não,1.78,8.63,0.21
283,Não,2.20,12.70,0.17
284,Não,0.34,10.93,0.03
285,Não,1.03,4.17,0.25
286,Não,0.59,14.57,0.04
287,Não,8.49,20.37,0.42
288,Não,1.67,6.47,0.26
289,Não,2.07,6.83,0.30
290,Não,4.49,12.77,0.35
291,Não,1.39,7.30,0.19
292,Não,8.66,24.80,0.35
293,Não,1.72,9.73,0.18
294,Sim,9.00,12.53,0.72
295,Não,0.95,19.83,0.05
296,Não,-0.06,5.37,-0.01
297,Não,5.59,13.17,0.42
298,Não,1.22,14.10,0.09
299,Não,1.43,13.57,0.11
300,Não,4.59,12.33,0.37
301,Não,2.45,6.53,0.37
302,Não,2.20,25.00,0.09
303,Não,0.92,5.07,0.18
304,Não,8.52,17.63,0.48
305,Não,1.19,1.60,0.74
306,Não,1.08,25.00,0.04
307,Sim,9.01,18.13,0.50
308,Não,1.66,22.40,0.07
309,Não,4.29,12.70,0.34
310,Não,7.24,14.87,0.49
311,Não,8.37,15.93,0.53
312,Não,1.18,22.20,0.05
313,Não,8.35,16.57,0.50
314,Não,2.28,6.27,0.36
315,Não,0.40,25.00,0.02
316,Não,8.88,13.93,0.64
317,Não,1.42,14.13,0.10
318,Não,1.89,14.20,0.13
319,Não,4.51,14.07,0.32
320,Não,1.38,12.47,0.11
321,Não,1.67,4.83,0.35
322,Não,4.24,18.60,0.23
323,Não,1.50,7.33,0.20
324,Não,4.46,7.03,0.63
325,Não,3.39,8.63,0.39
326,Não,0.74,9.43,0.08
327,Não,8.55,17.73,0.48
328,Não,0.21,3.93,0.05
329,Não,0.37,9.47,0.04
330,Não,0.96,8.00,0.12
331,Não,1.11,5.20,0.21
332,Não,2.38,3.53,0.67
333,Não,0.81,4.57,0.18
334,Não,1.12,5.73,0.20
335,Não,0.53,13.90,0.04
336,Não,0.89,17.27,0.05
337,Não,6.65,13.33,0.50
338,Não,3.70,11.20,0.33
339,Não,1.29,16.83,0.08
340,Não,1.84,5.00,0.37
341,Não,7.12,16.03,0.44
342,Não,1.28,20.03,0.06
343,Não,0.12,3.93,0.03
344,Não,0.49,25.00,0.02
345,Não,4.75,11.00,0.43
346,Não,0.42,25.00,0.02
347,Não,0.48,14.37,0.03
348,Não,1.06,1.77,0.60
349,Não,1.10,6.13,0.18
350,Não,0.46,19.20,0.02
351,Não,4.63,9.20,0.50
352,Não,1.23,25.00,0.05
353,Sim,9.01,20.83,0.43
354,Sim,9.02,14.70,0.61
355,Não,7.45,17.57,0.42
356,Não,3.68,10.37,0.35
357,Não,1.12,2.83,0.39
358,Não,6.15,25.00,0.25
359,Não,2.87,15.27,0.19
360,Não,1.04,6.90,0.15
361,Não,5.89,12.13,0.49
362,Não,3.31,17.17,0.19
363,Não,8.18,18.27,0.45
364,Não,3.81,9.57,0.40
