Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Não,7.57,9.77,0.78
2,Sim,9.02,10.40,0.87
3,Sim,9.05,10.60,0.85
4,Sim,9.02,9.63,0.94
5,Não,7.63,8.70,0.88
6,Sim,9.02,9.87,0.91
7,Não,6.16,7.03,0.88
8,Não,5.94,7.10,0.84
9,Não,8.11,10.57,0.77
10,Sim,9.01,10.27,0.88
11,Sim,9.03,11.03,0.82
12,Sim,9.05,10.80,0.84
13,Sim,9.01,9.93,0.91
14,Sim,9.01,9.80,0.92
15,Não,8.39,9.80,0.86
16,Não,7.81,9.23,0.85
17,Sim,9.01,10.17,0.89
18,Sim,9.01,9.83,0.92
19,Sim,9.02,11.73,0.77
20,Sim,9.03,10.37,0.87
21,Sim,9.04,10.37,0.87
22,Não,7.92,8.57,0.92
23,Não,6.06,7.50,0.81
24,Sim,9.03,10.93,0.83
25,Sim,9.00,10.20,0.88
26,Sim,9.02,10.57,0.85
27,Não,1.94,5.07,0.38
28,Sim,9.02,10.17,0.89
29,Sim,9.00,10.30,0.87
30,Sim,9.01,9.80,0.92
31,Sim,9.02,10.10,0.89
32,Sim,9.04,9.90,0.91
33,Sim,9.04,9.63,0.94
34,Sim,9.02,10.17,0.89
35,Sim,9.03,10.07,0.90
36,Sim,9.00,10.00,0.90
37,Sim,9.00,9.77,0.92
38,Sim,9.04,10.73,0.84
39,Não,8.88,10.37,0.86
40,Sim,9.01,10.47,0.86
41,Não,4.53,6.17,0.73
42,Não,6.66,7.83,0.85
43,Sim,9.01,10.07,0.89
44,Sim,9.00,9.67,0.93
45,Sim,9.02,10.17,0.89
46,Sim,9.02,10.30,0.88
47,Sim,9.03,10.60,0.85
48,Sim,9.03,9.90,0.91
49,Sim,9.01,9.83,0.92
50,Sim,9.01,9.97,0.90
51,Sim,9.01,10.20,0.88
52,Sim,9.04,10.60,0.85
53,Sim,9.00,10.63,0.85
54,Sim,9.01,10.33,0.87
55,Não,8.66,10.17,0.85
56,Sim,9.03,10.40,0.87
57,Não,8.84,10.43,0.85
58,Sim,9.03,10.97,0.82
59,Sim,9.02,9.50,0.95
60,Sim,9.00,9.93,0.91
61,Sim,9.02,9.97,0.90
62,Sim,9.00,9.47,0.95
63,Sim,9.03,9.43,0.96
64,Sim,9.00,10.30,0.87
65,Sim,9.01,10.97,0.82
66,Sim,9.03,10.53,0.86
67,Sim,9.00,10.03,0.90
68,Sim,9.02,10.10,0.89
69,Sim,9.03,10.80,0.84
70,Sim,9.03,10.17,0.89
71,Não,8.58,10.20,0.84
72,Não,8.33,10.33,0.81
73,Sim,9.00,10.40,0.87
74,Não,8.92,10.33,0.86
75,Não,4.07,7.07,0.58
76,Sim,9.01,9.83,0.92
77,Sim,9.02,9.87,0.91
78,Sim,9.01,10.83,0.83
79,Sim,9.02,10.33,0.87
80,Sim,9.00,9.80,0.92
81,Sim,9.01,10.30,0.88
82,Sim,9.01,9.43,0.96
83,Não,3.64,5.60,0.65
84,Sim,9.02,10.90,0.83
85,Sim,9.01,10.20,0.88
86,Não,8.87,10.97,0.81
87,Não,3.74,4.77,0.78
88,Sim,9.01,9.97,0.90
89,Sim,9.01,10.30,0.88
90,Não,8.98,11.10,0.81
91,Sim,9.02,10.10,0.89
92,Sim,9.01,10.83,0.83
93,Não,8.57,9.67,0.89
94,Sim,9.03,10.93,0.83
95,Não,8.37,9.77,0.86
96,Não,6.66,9.20,0.72
97,Sim,9.02,9.67,0.93
98,Sim,9.00,10.07,0.89
99,Sim,9.01,10.43,0.86
100,Sim,9.01,11.07,0.81
101,Sim,9.02,9.93,0.91
102,Sim,9.02,9.77,0.92
103,Sim,9.02,10.07,0.90
104,Sim,9.01,9.73,0.93
105,Sim,9.02,10.17,0.89
106,Sim,9.01,10.03,0.90
107,Sim,9.00,10.07,0.89
108,Sim,9.04,10.40,0.87
109,Não,8.74,9.57,0.91
110,Sim,9.03,9.63,0.94
111,Sim,9.03,10.00,0.90
112,Sim,9.01,10.97,0.82
113,Não,8.91,10.50,0.85
114,Sim,9.01,10.53,0.86
115,Sim,9.02,9.77,0.92
116,Sim,9.02,10.00,0.90
117,Sim,9.02,9.90,0.91
118,Sim,9.01,10.07,0.90
119,Sim,9.00,9.80,0.92
120,Não,7.86,9.80,0.80
121,Não,2.28,4.77,0.48
122,Sim,9.01,10.80,0.83
123,Sim,9.00,10.40,0.87
124,Não,8.52,9.27,0.92
125,Sim,9.02,10.77,0.84
126,Sim,9.00,11.00,0.82
127,Sim,9.02,10.57,0.85
128,Sim,9.00,10.43,0.86
129,Não,7.71,9.17,0.84
130,Sim,9.03,10.53,0.86
131,Sim,9.02,9.93,0.91
132,Sim,9.01,10.43,0.86
