Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.02,9.67,0.93
2,9.02,9.77,0.92
3,9.00,10.13,0.89
4,9.01,9.80,0.92
6,9.00,10.23,0.88
8,9.01,10.17,0.89
9,9.01,9.20,0.98
10,9.02,9.80,0.92
12,9.02,8.77,1.03
13,9.02,9.17,0.98
14,9.02,10.03,0.90
15,9.03,9.90,0.91
16,9.01,9.33,0.97
17,9.01,9.43,0.96
18,9.03,9.50,0.95
19,9.01,9.30,0.97
20,9.01,9.83,0.92
22,9.02,9.67,0.93
23,9.04,10.13,0.89
24,9.00,9.87,0.91
25,9.01,10.57,0.85
26,9.00,9.43,0.95
27,9.02,10.00,0.90
28,9.03,9.40,0.96
30,9.01,9.40,0.96
31,9.00,9.77,0.92
32,9.04,9.13,0.99
33,9.00,10.00,0.90
35,9.04,9.20,0.98
36,9.00,10.00,0.90
37,9.03,10.20,0.89
38,9.01,9.83,0.92
40,9.01,9.63,0.94
41,9.04,9.63,0.94
42,9.04,8.93,1.01
43,9.03,10.93,0.83
44,9.01,9.77,0.92
45,9.01,10.23,0.88
47,9.01,9.27,0.97
49,9.01,9.20,0.98
50,9.03,9.33,0.97
51,9.01,10.03,0.90
53,9.02,9.70,0.93
54,9.00,9.20,0.98
56,9.03,9.53,0.95
57,9.02,10.07,0.90
58,9.00,9.67,0.93
59,9.02,10.43,0.86
60,9.02,9.70,0.93
61,9.03,10.53,0.86
62,9.01,9.90,0.91
63,9.03,9.87,0.92
65,9.02,9.47,0.95
66,9.01,9.57,0.94
67,9.02,9.27,0.97
68,9.02,9.80,0.92
69,9.01,9.47,0.95
70,9.03,9.07,1.00
71,9.01,9.73,0.93
73,9.03,9.13,0.99
74,9.01,10.10,0.89
75,9.01,9.53,0.94
76,9.01,9.50,0.95
78,9.03,9.77,0.92
79,9.04,9.20,0.98
80,9.02,9.60,0.94
81,9.02,10.03,0.90
82,9.01,10.03,0.90
83,9.05,8.97,1.01
84,9.02,9.30,0.97
85,9.04,9.20,0.98
86,9.02,9.90,0.91
87,9.01,10.20,0.88
88,9.01,9.53,0.94
89,9.01,9.70,0.93
90,9.00,10.43,0.86
91,9.02,10.00,0.90
92,9.02,10.03,0.90
93,9.04,9.80,0.92
94,9.00,9.17,0.98
95,9.00,9.40,0.96
96,9.00,9.93,0.91
97,9.01,9.47,0.95
98,9.01,10.00,0.90
99,9.01,9.83,0.92
100,9.02,10.07,0.90
101,9.01,10.17,0.89
102,9.03,9.63,0.94
103,9.01,10.03,0.90
104,9.01,9.67,0.93
105,9.01,10.27,0.88
106,9.03,10.13,0.89
107,9.00,9.87,0.91
108,9.03,9.97,0.91
109,9.00,9.40,0.96
110,9.04,9.27,0.98
111,9.03,9.97,0.91
112,9.00,9.10,0.99
113,9.04,9.07,1.00
114,9.02,9.70,0.93
