Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.02,9.67,0.93
2,Sim,9.02,9.77,0.92
3,Sim,9.00,10.13,0.89
4,Sim,9.01,9.80,0.92
5,Não,4.90,6.37,0.77
6,Sim,9.00,10.23,0.88
7,Não,8.05,9.03,0.89
8,Sim,9.01,10.17,0.89
9,Sim,9.01,9.20,0.98
10,Sim,9.02,9.80,0.92
11,Não,8.76,9.03,0.97
12,Sim,9.02,8.77,1.03
13,Sim,9.02,9.17,0.98
14,Sim,9.02,10.03,0.90
15,Sim,9.03,9.90,0.91
16,Sim,9.01,9.33,0.97
17,Sim,9.01,9.43,0.96
18,Sim,9.03,9.50,0.95
19,Sim,9.01,9.30,0.97
20,Sim,9.01,9.83,0.92
21,Não,7.32,8.67,0.84
22,Sim,9.02,9.67,0.93
23,Sim,9.04,10.13,0.89
24,Sim,9.00,9.87,0.91
25,Sim,9.01,10.57,0.85
26,Sim,9.00,9.43,0.95
27,Sim,9.02,10.00,0.90
28,Sim,9.03,9.40,0.96
29,Não,4.95,6.70,0.74
30,Sim,9.01,9.40,0.96
31,Sim,9.00,9.77,0.92
32,Sim,9.04,9.13,0.99
33,Sim,9.00,10.00,0.90
34,Não,5.77,6.93,0.83
35,Sim,9.04,9.20,0.98
36,Sim,9.00,10.00,0.90
37,Sim,9.03,10.20,0.89
38,Sim,9.01,9.83,0.92
39,Não,7.58,9.03,0.84
40,Sim,9.01,9.63,0.94
41,Sim,9.04,9.63,0.94
42,Sim,9.04,8.93,1.01
43,Sim,9.03,10.93,0.83
44,Sim,9.01,9.77,0.92
45,Sim,9.01,10.23,0.88
46,Não,4.42,5.87,0.75
47,Sim,9.01,9.27,0.97
48,Não,8.89,9.33,0.95
49,Sim,9.01,9.20,0.98
50,Sim,9.03,9.33,0.97
51,Sim,9.01,10.03,0.90
52,Não,8.84,9.97,0.89
53,Sim,9.02,9.70,0.93
54,Sim,9.00,9.20,0.98
55,Não,6.70,7.37,0.91
56,Sim,9.03,9.53,0.95
57,Sim,9.02,10.07,0.90
58,Sim,9.00,9.67,0.93
59,Sim,9.02,10.43,0.86
60,Sim,9.02,9.70,0.93
61,Sim,9.03,10.53,0.86
62,Sim,9.01,9.90,0.91
63,Sim,9.03,9.87,0.92
64,Não,6.38,7.57,0.84
65,Sim,9.02,9.47,0.95
66,Sim,9.01,9.57,0.94
67,Sim,9.02,9.27,0.97
68,Sim,9.02,9.80,0.92
69,Sim,9.01,9.47,0.95
70,Sim,9.03,9.07,1.00
71,Sim,9.01,9.73,0.93
72,Não,8.43,9.43,0.89
73,Sim,9.03,9.13,0.99
74,Sim,9.01,10.10,0.89
75,Sim,9.01,9.53,0.94
76,Sim,9.01,9.50,0.95
77,Não,8.85,8.80,1.01
78,Sim,9.03,9.77,0.92
79,Sim,9.04,9.20,0.98
80,Sim,9.02,9.60,0.94
81,Sim,9.02,10.03,0.90
82,Sim,9.01,10.03,0.90
83,Sim,9.05,8.97,1.01
84,Sim,9.02,9.30,0.97
85,Sim,9.04,9.20,0.98
86,Sim,9.02,9.90,0.91
87,Sim,9.01,10.20,0.88
88,Sim,9.01,9.53,0.94
89,Sim,9.01,9.70,0.93
90,Sim,9.00,10.43,0.86
91,Sim,9.02,10.00,0.90
92,Sim,9.02,10.03,0.90
93,Sim,9.04,9.80,0.92
94,Sim,9.00,9.17,0.98
95,Sim,9.00,9.40,0.96
96,Sim,9.00,9.93,0.91
97,Sim,9.01,9.47,0.95
98,Sim,9.01,10.00,0.90
99,Sim,9.01,9.83,0.92
100,Sim,9.02,10.07,0.90
101,Sim,9.01,10.17,0.89
102,Sim,9.03,9.63,0.94
103,Sim,9.01,10.03,0.90
104,Sim,9.01,9.67,0.93
105,Sim,9.01,10.27,0.88
106,Sim,9.03,10.13,0.89
107,Sim,9.00,9.87,0.91
108,Sim,9.03,9.97,0.91
109,Sim,9.00,9.40,0.96
110,Sim,9.04,9.27,0.98
111,Sim,9.03,9.97,0.91
112,Sim,9.00,9.10,0.99
113,Sim,9.04,9.07,1.00
114,Sim,9.02,9.70,0.93
