Episódio,Distância (m),Tempo (s),Velocidade (m/s)
1,9.02,11.40,0.79
3,9.01,11.40,0.79
5,9.02,11.83,0.76
11,9.03,11.43,0.79
12,9.01,11.57,0.78
15,9.02,10.50,0.86
16,9.02,11.17,0.81
22,9.01,11.77,0.77
28,9.01,11.40,0.79
29,9.02,11.00,0.82
33,9.03,11.33,0.80
34,9.02,10.73,0.84
36,9.03,10.23,0.88
37,9.02,11.10,0.81
38,9.01,11.23,0.80
41,9.01,11.17,0.81
45,9.01,11.97,0.75
46,9.03,11.27,0.80
48,9.01,10.83,0.83
49,9.00,11.77,0.77
50,9.01,11.97,0.75
51,9.01,10.73,0.84
53,9.01,10.80,0.83
54,9.01,11.77,0.77
59,9.00,11.27,0.80
60,9.01,11.60,0.78
61,9.03,11.73,0.77
62,9.02,10.67,0.85
64,9.01,11.63,0.77
65,9.01,12.07,0.75
66,9.00,11.37,0.79
67,9.02,10.77,0.84
70,9.02,12.17,0.74
72,9.01,12.30,0.73
76,9.02,11.17,0.81
77,9.00,11.90,0.76
78,9.02,11.43,0.79
79,9.01,11.43,0.79
80,9.01,11.13,0.81
82,9.01,11.47,0.79
83,9.00,11.03,0.82
85,9.02,10.97,0.82
86,9.02,11.27,0.80
87,9.01,11.37,0.79
88,9.00,11.30,0.80
89,9.02,11.60,0.78
90,9.02,11.30,0.80
93,9.01,11.27,0.80
94,9.03,11.23,0.80
95,9.00,10.47,0.86
99,9.01,11.20,0.80
102,9.03,10.80,0.84
107,9.00,10.83,0.83
109,9.00,11.33,0.79
110,9.01,11.67,0.77
111,9.02,12.03,0.75
113,9.00,11.30,0.80
114,9.00,11.60,0.78
119,9.03,11.20,0.81
121,9.00,12.20,0.74
123,9.01,13.03,0.69
124,9.02,11.17,0.81
128,9.00,12.30,0.73
131,9.00,10.70,0.84
133,9.02,11.67,0.77
134,9.02,10.87,0.83
135,9.00,12.17,0.74
137,9.02,11.70,0.77
140,9.03,11.57,0.78
142,9.01,11.50,0.78
145,9.01,11.97,0.75
147,9.03,11.73,0.77
148,9.00,10.53,0.85
149,9.02,10.93,0.83
151,9.01,11.40,0.79
155,9.00,12.27,0.73
156,9.02,11.63,0.78
157,9.01,11.70,0.77
158,9.01,11.00,0.82
160,9.02,10.93,0.82
163,9.01,11.13,0.81
164,9.02,11.30,0.80
165,9.01,11.43,0.79
172,9.01,11.73,0.77
175,9.03,11.30,0.80
177,9.02,11.53,0.78
179,9.02,10.63,0.85
184,9.01,12.30,0.73
185,9.02,11.47,0.79
188,9.02,11.70,0.77
189,9.02,11.70,0.77
190,9.02,11.30,0.80
192,9.01,11.63,0.77
193,9.00,11.70,0.77
196,9.03,11.03,0.82
197,9.02,10.90,0.83
199,9.02,11.03,0.82
200,9.01,11.50,0.78
202,9.02,11.80,0.76
203,9.00,12.47,0.72
