Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
1,Sim,9.02,11.40,0.79
2,Não,7.82,10.60,0.74
3,Sim,9.01,11.40,0.79
4,Não,7.92,10.23,0.77
5,Sim,9.02,11.83,0.76
6,Não,8.80,11.50,0.76
7,Não,6.62,9.70,0.68
8,Não,8.07,10.33,0.78
9,Não,5.71,7.73,0.74
10,Não,5.91,8.40,0.70
11,Sim,9.03,11.43,0.79
12,Sim,9.01,11.57,0.78
13,Não,3.40,5.03,0.68
14,Não,3.74,4.63,0.81
15,Sim,9.02,10.50,0.86
16,Sim,9.02,11.17,0.81
17,Não,1.42,2.63,0.54
18,Não,4.59,6.63,0.69
19,Não,3.95,5.67,0.70
20,Não,4.63,7.47,0.62
21,Não,8.57,11.70,0.73
22,Sim,9.01,11.77,0.77
23,Não,1.03,2.80,0.37
24,Não,8.68,12.47,0.70
25,Não,8.63,10.30,0.84
26,Não,6.61,8.53,0.77
27,Não,6.23,9.10,0.68
28,Sim,9.01,11.40,0.79
29,Sim,9.02,11.00,0.82
30,Não,6.21,7.67,0.81
31,Não,3.80,4.97,0.77
32,Não,5.19,6.93,0.75
33,Sim,9.03,11.33,0.80
34,Sim,9.02,10.73,0.84
35,Não,6.66,9.37,0.71
36,Sim,9.03,10.23,0.88
37,Sim,9.02,11.10,0.81
38,Sim,9.01,11.23,0.80
39,Não,8.29,10.50,0.79
40,Não,7.35,9.93,0.74
41,Sim,9.01,11.17,0.81
42,Não,8.95,12.70,0.70
43,Não,5.35,7.20,0.74
44,Não,7.85,10.20,0.77
45,Sim,9.01,11.97,0.75
46,Sim,9.03,11.27,0.80
47,Não,5.25,7.47,0.70
48,Sim,9.01,10.83,0.83
49,Sim,9.00,11.77,0.77
50,Sim,9.01,11.97,0.75
51,Sim,9.01,10.73,0.84
52,Não,5.39,6.90,0.78
53,Sim,9.01,10.80,0.83
54,Sim,9.01,11.77,0.77
55,Não,4.83,6.10,0.79
56,Não,6.95,8.70,0.80
57,Não,5.36,7.33,0.73
58,Não,5.34,6.77,0.79
59,Sim,9.00,11.27,0.80
60,Sim,9.01,11.60,0.78
61,Sim,9.03,11.73,0.77
62,Sim,9.02,10.67,0.85
63,Não,1.82,2.80,0.65
64,Sim,9.01,11.63,0.77
65,Sim,9.01,12.07,0.75
66,Sim,9.00,11.37,0.79
67,Sim,9.02,10.77,0.84
68,Não,6.17,8.30,0.74
69,Não,8.09,12.73,0.64
70,Sim,9.02,12.17,0.74
71,Não,7.74,9.97,0.78
72,Sim,9.01,12.30,0.73
73,Não,6.58,8.93,0.74
74,Não,8.58,11.03,0.78
75,Não,8.15,11.40,0.71
76,Sim,9.02,11.17,0.81
77,Sim,9.00,11.90,0.76
78,Sim,9.02,11.43,0.79
79,Sim,9.01,11.43,0.79
80,Sim,9.01,11.13,0.81
81,Não,8.34,11.30,0.74
82,Sim,9.01,11.47,0.79
83,Sim,9.00,11.03,0.82
84,Não,4.62,8.90,0.52
85,Sim,9.02,10.97,0.82
86,Sim,9.02,11.27,0.80
87,Sim,9.01,11.37,0.79
88,Sim,9.00,11.30,0.80
89,Sim,9.02,11.60,0.78
90,Sim,9.02,11.30,0.80
91,Não,7.02,9.13,0.77
92,Não,6.31,8.93,0.71
93,Sim,9.01,11.27,0.80
94,Sim,9.03,11.23,0.80
95,Sim,9.00,10.47,0.86
96,Não,7.93,9.60,0.83
97,Não,7.86,10.70,0.73
98,Não,6.15,8.67,0.71
99,Sim,9.01,11.20,0.80
100,Não,5.35,6.43,0.83
101,Não,6.39,8.10,0.79
102,Sim,9.03,10.80,0.84
103,Não,8.34,10.60,0.79
104,Não,7.19,9.23,0.78
105,Não,6.51,8.63,0.75
106,Não,7.50,10.23,0.73
107,Sim,9.00,10.83,0.83
108,Não,5.68,8.33,0.68
109,Sim,9.00,11.33,0.79
110,Sim,9.01,11.67,0.77
111,Sim,9.02,12.03,0.75
