
,PR ,PBA ,PG,PRA ,PRB ,PRD
,"12,07","12,07","10,93","14,83","11,37","10,20"
,"12,17","11,63","10,07","15,67","12,53","10,77"
,"10,87","12,77","10,77","14,57","12,23","9,40"
,"11,37","11,50","11,57","17,07","11,30","9,43"
,"11,13","11,10","10,23","17,57","11,50","9,40"
,"11,00","11,57","10,93","18,23","13,30","9,27"
,"11,80","11,13","10,73","14,87","11,50","10,43"
,"12,40","11,83","10,33","16,77","13,37","10,13"
,"11,27","12,13","10,77","14,67","11,67","10,53"
,"12,07","12,20","10,17","17,47","12,20","10,80"
,"12,53","12,30","10,07","14,83","12,17","9,77"
,"11,33","12,40","10,73","15,10","11,57","9,53"
,"11,57","13,33","10,53","14,87","11,37","10,73"
,"11,00","11,70","10,33","17,37","12,03","10,60"
,"11,93","11,57","10,30","15,70","12,07","10,17"
,"11,77","11,50","10,50","15,37","11,43","10,60"
,"12,63","11,93","12,70","16,97","11,30","10,93"
,"11,47","12,10","10,40","16,77","11,13","10,00"
,"12,67","11,27","10,70","15,90","11,33","10,53"
,"11,30","10,97","10,83","15,40","11,83","9,63"
,"11,60","11,33","10,27","16,40","12,03","9,60"
,"11,80","11,57","10,63","15,60","11,43","11,10"
,"11,20","11,57","11,13","16,83","11,80","9,87"
,"10,77","11,03","10,73","15,80","10,97","9,77"
,"11,83","11,73","12,07","15,47","11,70","10,70"
,"12,33","11,27","10,80","16,60","10,53","9,53"
,"12,60","12,33","10,87","14,93","12,13","9,40"
,"11,20","11,60","10,87","17,20","12,30","10,53"
,"11,87","11,03","10,80","17,77","11,23","10,17"
,"10,50","11,97","10,47","14,87","11,63","10,20"
,"12,83","12,27","10,67","17,33","12,63","10,30"
,"11,87","11,57","10,50","14,40","11,07","10,53"
,"10,87","12,13","10,60","16,27","12,33","9,83"
,"11,57","12,10","10,73","15,57","12,13","10,40"
,"12,23","11,67","10,87","16,43","12,23","10,53"
,"12,50","11,07","10,47","16,10","10,97","9,47"
,"12,20","11,60","10,83","16,27","11,87","9,43"
,"11,33","12,03","11,30","16,07","12,07","10,27"
,"11,70","11,93","10,53","16,07","11,47","10,03"
,"12,47","11,23","10,57","16,37","12,03","10,23"
,"11,77","11,67","10,70","15,73","10,93","10,73"
,"11,50","12,53","10,93","15,93","12,67","11,30"
,"11,27","11,93","10,47","14,70","12,03","9,87"
,"11,13","11,43","10,60","16,53","11,70","10,53"
,"11,83","10,73","11,33","14,13","11,63","10,43"
,"11,73","11,53","11,10","15,73","12,57","10,13"
,"11,33","11,03","11,07","15,57","13,97","9,93"
,"10,90","11,33","10,57","16,60","11,60","10,40"
,"12,00","12,00","10,53","14,60","12,17","9,83"
,"11,43","12,00","9,87","15,57","12,17","10,37"
,"11,40","11,83","11,00","16,33","11,77","9,47"
,"11,13","12,60","10,23","15,47","12,03","11,03"
,"10,70","11,30","11,43","17,80","11,17","10,97"
,"11,50","11,27","11,10","17,63","11,83","10,50"
,"10,47","11,23","10,63","17,10","11,67","10,97"
,"13,00","12,30","10,83","15,30","11,10","9,47"
,"11,23","11,87","10,27","16,27","11,17","10,47"
,"11,00","11,93","11,47","17,80","11,30","9,80"
,"11,93","11,07","10,33","17,33","11,13","10,47"
,"12,10","10,70","11,03","15,00","11,70","9,63"
,"10,90","11,80","11,33","16,93","11,70","9,80"
,"11,90","13,33","10,67","18,37","11,60","9,73"
,"11,93","11,47","11,50","16,77","13,10","11,50"
,"11,83","11,43","12,13","15,27","11,50","11,07"
,"10,53","10,97","10,30","15,63","13,37","9,77"
,"11,80","11,13","11,27","14,37","13,90","11,07"
,"10,60","11,67","10,30","14,40","12,40","9,77"
,"10,93","12,57","10,03","15,37","11,80","10,60"
,"12,20","10,63","11,10","15,17","12,40","10,10"
,"11,37","10,87","10,80","16,43","11,10","10,07"
,"11,47","11,50","10,80","17,87","12,53","11,20"
,"11,50","12,37","11,20","15,67","12,03","9,77"
,"11,10","11,27","9,80","15,13","12,13","10,67"
,"12,57","12,43","10,63","15,77","12,40","12,23"
,"11,50","11,90","10,50","15,17","11,20","10,03"
,"10,80","12,60","11,43","16,37","12,27","9,63"
,"11,23","11,63","10,83","17,53","11,90","10,10"
,"11,63","11,10","12,13","15,93","12,23","11,30"
,"10,90","11,37","11,03","16,93","12,73","9,57"
,"10,53","11,07","10,47","17,77","11,37","10,63"
,"11,73","12,20","11,17","16,30","11,60","9,73"
,"12,37","10,70","10,63","15,33","11,17","10,00"
,"11,43","11,63","10,97","17,40","15,23","11,10"
,"10,40","10,93","10,97","14,47","10,83","9,63"
,"11,13","11,07","12,17","15,30","11,23","10,27"
,"11,73","10,67","10,97","16,90","11,77","10,37"
,"11,57","11,57","11,13","15,83","12,27","10,77"
,"12,23","12,33","11,03","16,37","11,33","10,20"
,"11,07","11,40","10,17","16,33","12,33","10,67"
,"11,53","11,80","11,40","16,87","12,80","9,77"
,"12,70","11,93","10,70","16,03","12,07","10,17"
,"11,37","11,63","10,13","14,83","11,60","10,23"
,"11,23","11,57","11,13","15,97","10,83","10,57"
,"11,47","12,37","10,30","15,30","14,37","9,57"
,"12,20","11,23","10,73","15,60","12,00","9,93"
,"11,70","11,10","10,33","17,03","12,67","9,90"
,"10,47","11,20","11,23","15,87","13,20","10,27"
,"11,37","11,80","12,00","16,03","12,07","10,50"
,"11,50","12,53","11,30","16,47","11,83","9,90"
,"11,33","11,20","10,73","16,00","13,60","9,77"
