PR ,PBA ,PG,PRA ,PRB ,PRD
"11,40","12,47","10,03","14,97","10,40","9,67"
"11,40","10,80","10,27","17,33","10,60","9,77"
"11,83","10,27","10,43","18,57","9,63","10,13"
"11,43","12,23","9,33","19,93","9,87","9,80"
"11,57","10,43","9,37","13,80","10,27","10,23"
"10,50","11,47","9,93","15,90","11,03","10,17"
"11,17","10,57","9,23","17,07","10,80","9,20"
"11,77","9,77","10,30","24,60","9,93","9,80"
"11,40","11,13","9,77","18,43","9,80","8,77"
"11,00","9,93","9,23","19,60","10,17","9,17"
"11,33","10,53","9,70","13,87","9,83","10,03"
"10,73","10,93","9,60","15,47","11,73","9,90"
"10,23","10,27","9,53","19,90","10,37","9,33"
"11,10","9,63","10,07","15,53","10,37","9,43"
"11,23","10,60","10,00","13,80","10,93","9,50"
"11,17","11,77","8,77","14,77","10,20","9,30"
"11,97","11,10","9,33","20,77","10,57","9,83"
"11,27","11,43","10,43","15,10","10,17","9,67"
"10,83","10,13","10,13","12,53","10,30","10,13"
"11,77","11,60","9,73","18,13","9,80","9,87"
"11,97","11,40","9,63","20,83","10,10","10,57"
"10,73","11,33","9,07","14,70","9,90","9,43"
"10,80","10,83","9,60","15,47","9,63","10,00"
"11,77","10,77","9,33","21,70","10,17","9,40"
"11,27","10,13","9,67","18,43","10,07","9,40"
"11,60","12,00","9,60","19,10","10,00","9,77"
"11,73","11,63","10,77","13,37","9,77","9,13"
"10,67","10,77","9,23","22,57","10,73","10,00"
"11,63","11,07","9,83","16,80","10,47","9,20"
"12,07","9,90","9,53","20,80","10,07","10,00"
"11,37","11,20","9,90","14,57","9,67","10,20"
"10,77","10,27","10,03","13,50","10,17","9,83"
"12,17","12,20","9,87","16,27","10,30","9,63"
"12,30","13,13","9,23","16,40","10,60","9,63"
"11,17","14,10","9,87","17,53","9,90","8,93"
"11,90","11,93","9,40","14,73","9,83","10,93"
"11,43","10,33","9,40","15,27","9,97","9,77"
"11,43","10,43","9,60","16,47","10,20","10,23"
"11,13","12,77","9,60","17,03","10,60","9,27"
"11,47","10,73","10,17","16,23","10,63","9,20"
"11,03","12,13","10,07","18,40","10,33","9,33"
"10,97","12,37","8,97","16,60","10,40","10,03"
"11,27","11,60","9,83","13,83","10,97","9,70"
"11,37","10,23","10,90","17,53","9,50","9,20"
"11,30","11,80","9,60","15,70","9,93","9,53"
"11,60","12,77","9,87","16,73","9,97","10,07"
"11,30","11,17","11,37","18,07","9,47","9,67"
"11,27","11,13","9,27","17,00","9,43","10,43"
"11,23","11,30","9,60","19,07","10,30","9,70"
"10,47","14,40","10,33","12,70","10,97","10,53"
"11,20","10,67","10,47","17,00","10,53","9,90"
"10,80","9,87","9,87","23,03","10,03","9,87"
"10,83","10,67","9,83","15,80","10,10","9,47"
"11,33","12,97","10,13","17,80","10,80","9,57"
"11,67","10,90","10,30","16,47","10,17","9,27"
"12,03","12,43","10,60","16,27","10,40","9,80"
"11,30","10,27","9,30","15,33","9,83","9,47"
"11,60","11,90","9,50","18,20","9,87","9,07"
"11,20","10,00","10,57","18,67","10,83","9,73"
"12,20","9,73","9,47","13,40","10,33","9,13"
"13,03","11,33","9,63","22,70","9,80","10,10"
"11,17","11,33","9,40","14,27","10,30","9,53"
"12,30","11,10","9,63","14,60","9,43","9,50"
"10,70","10,27","9,67","17,43","10,90","9,77"
"11,67","12,83","9,73","22,23","10,20","9,20"
"10,87","10,70","9,63","20,83","9,97","9,60"
"12,17","12,77","9,23","16,57","10,30","10,03"
"11,70","10,17","9,27","18,07","10,10","10,03"
"11,57","10,97","10,90","14,37","10,83","8,97"
"11,50","11,23","9,13","14,80","10,93","9,30"
"11,97","13,93","9,73","14,47","9,67","9,20"
"11,73","11,37","9,97","15,50","10,07","9,90"
"10,53","11,23","11,80","17,67","10,43","10,20"
"10,93","10,50","10,70","21,13","11,07","9,53"
"11,40","11,97","9,40","16,73","9,93","9,70"
"12,27","11,63","9,20","13,77","9,77","10,43"
"11,63","11,50","9,20","16,13","10,07","10,00"
"11,70","10,50","9,87","18,90","9,73","10,03"
"11,00","10,07","9,67","14,77","10,17","9,80"
"10,93","11,67","9,30","15,73","10,03","9,17"
"11,13","11,63","9,23","22,03","10,07","9,40"
"11,30","10,30","10,83","15,03","10,40","9,93"
"11,43","11,93","10,60","17,77","9,63","9,47"
"11,73","10,47","9,40","13,20","10,00","10,00"
"11,30","10,93","9,17","18,50","10,97","9,83"
"11,53","9,73","9,40","15,27","10,53","10,07"
"10,63","11,83","9,50","16,33","9,77","10,17"
"12,30","11,00","10,03","15,93","10,00","9,63"
"11,47","13,93","9,20","17,67","9,90","10,03"
"11,70","12,40","10,00","23,23","10,07","9,67"
"11,70","11,10","9,83","14,10","9,80","10,27"
"11,30","11,77","9,87","14,60","10,80","10,13"
"11,63","10,07","9,60","18,03","10,40","9,87"
"11,70","10,93","9,33","13,87","10,77","9,97"
"11,03","10,60","10,80","15,67","11,00","9,40"
"10,90","10,43","9,10","17,10","10,57","9,27"
"11,03","10,60","10,03","18,90","10,43","9,97"
"11,50","10,30","9,73","16,03","10,53","9,10"
"11,80","10,77","10,07","15,37","9,93","9,07"
"12,47","11,17","10,27","14,23","10,43","9,70"
