PR ,PBA ,PG,PRA ,PRB ,PRD
"0,79","0,72","0,90","0,60","0,87","0,93"
"0,79","0,83","0,88","0,52","0,85","0,92"
"0,76","0,88","0,86","0,49","0,94","0,89"
"0,79","0,74","0,96","0,45","0,91","0,92"
"0,78","0,86","0,96","0,65","0,88","0,88"
"0,86","0,79","0,91","0,57","0,82","0,89"
"0,81","0,85","0,98","0,53","0,84","0,98"
"0,77","0,92","0,87","0,37","0,91","0,92"
"0,79","0,81","0,92","0,49","0,92","1,03"
"0,82","0,91","0,98","0,46","0,89","0,98"
"0,80","0,86","0,93","0,65","0,92","0,90"
"0,84","0,82","0,94","0,58","0,77","0,91"
"0,88","0,88","0,95","0,45","0,87","0,97"
"0,81","0,94","0,89","0,58","0,87","0,96"
"0,80","0,85","0,90","0,65","0,83","0,95"
"0,81","0,77","1,03","0,61","0,88","0,97"
"0,75","0,81","0,97","0,43","0,85","0,92"
"0,80","0,79","0,86","0,60","0,89","0,93"
"0,83","0,89","0,89","0,72","0,87","0,89"
"0,77","0,78","0,93","0,50","0,92","0,91"
"0,75","0,79","0,94","0,43","0,89","0,85"
"0,84","0,80","0,99","0,61","0,91","0,95"
"0,83","0,83","0,94","0,59","0,94","0,90"
"0,77","0,84","0,97","0,42","0,89","0,96"
"0,80","0,89","0,93","0,49","0,90","0,96"
"0,78","0,75","0,94","0,47","0,90","0,92"
"0,77","0,78","0,84","0,67","0,92","0,99"
"0,85","0,84","0,98","0,40","0,84","0,90"
"0,77","0,81","0,92","0,54","0,86","0,98"
"0,75","0,91","0,95","0,43","0,89","0,90"
"0,79","0,80","0,91","0,62","0,93","0,89"
"0,84","0,88","0,90","0,67","0,89","0,92"
"0,74","0,74","0,91","0,55","0,88","0,94"
"0,73","0,69","0,98","0,55","0,85","0,94"
"0,81","0,64","0,91","0,52","0,91","1,01"
"0,76","0,75","0,96","0,61","0,92","0,83"
"0,79","0,87","0,96","0,59","0,90","0,92"
"0,79","0,86","0,94","0,55","0,88","0,88"
"0,81","0,71","0,94","0,53","0,85","0,97"
"0,79","0,84","0,89","0,55","0,85","0,98"
"0,82","0,74","0,90","0,49","0,87","0,97"
"0,82","0,73","1,01","0,54","0,87","0,90"
"0,80","0,78","0,92","0,65","0,82","0,93"
"0,79","0,88","0,83","0,51","0,95","0,98"
"0,80","0,76","0,94","0,57","0,91","0,95"
"0,78","0,71","0,92","0,54","0,90","0,90"
"0,80","0,81","0,79","0,50","0,95","0,93"
"0,80","0,81","0,97","0,53","0,96","0,86"
"0,80","0,80","0,94","0,47","0,87","0,93"
"0,86","0,63","0,87","0,71","0,82","0,86"
"0,80","0,85","0,86","0,53","0,86","0,91"
"0,84","0,92","0,92","0,39","0,90","0,92"
"0,83","0,84","0,92","0,57","0,89","0,95"
"0,79","0,70","0,89","0,51","0,84","0,94"
"0,77","0,83","0,88","0,55","0,89","0,97"
"0,75","0,73","0,85","0,55","0,87","0,92"
"0,80","0,88","0,97","0,59","0,92","0,95"
"0,78","0,76","0,95","0,49","0,91","1,00"
"0,81","0,90","0,85","0,48","0,83","0,93"
"0,74","0,93","0,95","0,67","0,87","0,99"
"0,69","0,80","0,94","0,40","0,92","0,89"
"0,81","0,80","0,96","0,63","0,88","0,94"
"0,73","0,81","0,94","0,62","0,96","0,95"
"0,84","0,88","0,93","0,52","0,83","0,92"
"0,77","0,70","0,93","0,41","0,88","0,98"
"0,83","0,84","0,94","0,43","0,90","0,94"
"0,74","0,71","0,98","0,55","0,88","0,90"
"0,77","0,89","0,97","0,50","0,89","0,90"
"0,78","0,82","0,83","0,63","0,83","1,01"
"0,78","0,80","0,99","0,61","0,83","0,97"
"0,75","0,65","0,93","0,62","0,93","0,98"
"0,77","0,79","0,91","0,58","0,89","0,91"
"0,85","0,80","0,76","0,51","0,86","0,88"
"0,83","0,86","0,84","0,43","0,81","0,94"
"0,79","0,75","0,96","0,54","0,91","0,93"
"0,73","0,78","0,98","0,65","0,92","0,86"
"0,78","0,78","0,98","0,56","0,90","0,90"
"0,77","0,86","0,91","0,48","0,93","0,90"
"0,82","0,90","0,93","0,61","0,89","0,92"
"0,82","0,77","0,97","0,57","0,90","0,98"
"0,81","0,78","0,98","0,41","0,89","0,96"
"0,80","0,87","0,83","0,60","0,87","0,91"
"0,79","0,75","0,85","0,51","0,94","0,95"
"0,77","0,86","0,96","0,69","0,90","0,90"
"0,80","0,83","0,98","0,49","0,82","0,92"
"0,78","0,93","0,96","0,59","0,86","0,90"
"0,85","0,76","0,95","0,55","0,92","0,89"
"0,73","0,82","0,90","0,57","0,90","0,94"
"0,79","0,65","0,98","0,51","0,91","0,90"
"0,77","0,73","0,90","0,39","0,90","0,93"
"0,77","0,81","0,92","0,64","0,92","0,88"
"0,80","0,77","0,91","0,62","0,83","0,89"
"0,77","0,90","0,94","0,50","0,87","0,91"
"0,77","0,83","0,97","0,65","0,84","0,91"
"0,82","0,85","0,83","0,58","0,82","0,96"
"0,83","0,86","0,99","0,53","0,85","0,98"
"0,82","0,85","0,90","0,48","0,86","0,91"
"0,78","0,88","0,93","0,56","0,86","0,99"
"0,76","0,84","0,90","0,59","0,91","1,00"
"0,72","0,81","0,88","0,63","0,86","0,93"
