,PR ,PBA ,PG,PRA ,PRB ,PRD
,"9,02","9,00","6,07","9,02","4,44","9,02"
,"9,02","9,02","9,01","6,87","9,02","9,02"
,"9,02","9,01","8,87","9,03","9,02","9,02"
,"9,01","2,86","7,05","9,01","4,61","9,02"
,"9,02","9,01","5,63","9,01","3,90","9,02"
,"6,24","9,01","7,07","9,00","4,09","9,03"
,"9,01","9,02","9,03","2,79","2,07","9,02"
,"9,01","5,53","5,66","3,56","9,01","1,45"
,"9,00","9,00","2,23","9,01","8,59","9,01"
,"4,81","9,00","7,38","8,23","4,30","9,01"
,"9,02","9,02","3,60","9,03","9,01","9,01"
,"9,02","9,00","9,02","9,03","9,03","9,02"
,"8,67","9,01","0,81","9,02","9,01","9,02"
,"5,84","9,00","8,27","9,02","9,00","9,01"
,"9,02","9,01","9,00","1,87","6,83","9,00"
,"9,02","9,01","5,92","3,11","4,51","9,00"
,"9,00","9,01","7,75","5,42","9,00","9,01"
,"9,01","9,01","9,00","9,00","9,00","9,02"
,"9,00","9,01","9,00","1,58","4,17","9,00"
,"9,02","9,01","9,01","9,02","6,17","9,01"
,"6,09","9,02","7,80","7,99","9,01","9,00"
,"9,02","4,83","8,59","7,90","9,01","9,02"
,"9,02","9,01","9,02","9,01","9,00","9,01"
,"9,02","9,01","1,81","9,02","9,01","9,02"
,"9,00","9,02","9,02","6,71","9,03","8,61"
,"9,01","9,02","7,83","9,01","9,02","8,25"
,"9,02","9,01","9,00","9,01","9,01","9,01"
,"9,00","9,01","5,88","9,02","9,00","9,01"
,"9,00","9,01","5,81","9,00","8,06","6,95"
,"9,01","4,57","4,61","9,02","4,50","9,00"
,"9,01","4,03","5,64","9,02","7,44","9,00"
,"9,01","9,02","6,28","9,01","9,02","9,00"
,"3,93","3,40","5,41","9,01","7,14","9,02"
,"9,03","6,02","8,88","4,29","9,01","8,31"
,"9,03","9,02","8,05","7,20","9,01","9,00"
,"9,02","9,00","5,80","9,02","9,01","9,01"
,"9,01","9,01","5,42","9,03","2,67","3,36"
,"9,01","9,02","9,02","9,00","9,01","9,01"
,"9,00","9,02","5,49","9,04","9,02","9,01"
,"9,00","9,00","9,01","8,65","2,32","9,02"
,"9,02","9,02","9,03","9,01","7,95","9,00"
,"5,77","9,01","9,01","8,31","4,29","7,06"
,"9,01","9,01","9,00","3,74","9,03","9,01"
,"9,01","5,13","5,71","9,00","9,02","5,60"
,"9,01","9,02","9,02","9,01","9,02","9,01"
,"9,02","9,00","9,03","9,01","8,45","9,03"
,"9,02","9,01","6,79","9,01","8,29","2,58"
,"9,02","9,01","8,62","8,54","9,02","9,02"
,"9,00","9,02","9,01","3,44","9,00","7,54"
,"9,01","9,00","5,85","5,45","9,02","9,03"
,"3,19","9,02","7,20","9,01","9,02","9,03"
,"9,01","9,01","9,02","9,00","9,01","9,02"
,"9,00","9,01","5,82","9,02","9,02","9,02"
,"9,00","7,62","7,66","9,01","9,02","9,02"
,"9,00","9,01","7,57","7,61","9,01","1,99"
,"9,01","9,01","8,00","3,86","9,03","9,01"
,"9,01","6,92","8,04","8,84","5,99","9,01"
,"9,03","9,01","6,23","7,11","7,74","9,01"
,"9,03","9,01","9,01","3,85","3,50","9,00"
,"9,01","9,00","8,02","9,00","6,99","9,00"
,"9,01","9,01","8,86","8,49","9,02","9,01"
,"2,21","8,18","4,72","9,01","9,01","9,01"
,"9,02","9,01","7,34","3,08","9,00","9,02"
,"9,01","9,01","5,44","7,26","9,00","7,83"
,"9,01","1,48","9,03","8,73","6,84","9,03"
,"1,81","9,00","6,22","4,31","9,00","9,01"
,"9,00","9,02","7,45","9,01","9,01","9,01"
,"9,01","9,01","4,23","3,81","4,67","4,83"
,"9,00","9,01","6,24","9,01","9,01","9,01"
,"9,03","9,03","9,02","3,28","9,02","9,02"
,"9,02","9,01","8,85","9,00","9,01","9,02"
,"9,01","9,02","9,03","3,76","6,60","9,02"
,"9,02","9,01","8,10","9,03","5,82","9,00"
,"9,02","9,03","3,00","9,03","9,00","9,00"
,"9,01","9,02","5,68","8,67","9,01","9,03"
,"9,01","9,01","5,91","9,02","7,58","9,01"
,"9,02","9,00","6,59","9,03","4,72","9,01"
,"9,00","9,01","5,35","9,00","7,92","9,01"
,"9,00","9,02","8,36","6,82","9,02","9,02"
,"9,01","9,02","8,75","4,73","9,01","9,02"
,"9,02","9,02","6,02","9,02","4,08","9,01"
,"9,03","9,01","2,43","7,29","9,01","5,39"
,"9,02","9,01","7,99","8,90","5,26","9,00"
,"9,03","9,03","8,27","9,01","9,02","9,01"
,"9,01","9,03","8,14","9,01","3,07","9,01"
,"9,02","9,01","6,91","9,00","6,94","9,00"
,"9,02","9,01","4,28","9,01","9,02","9,02"
,"7,87","9,01","5,54","9,02","7,61","9,01"
,"9,01","9,02","8,26","4,38","3,47","9,00"
,"9,00","9,01","6,55","9,00","6,14","9,02"
,"9,02","9,00","9,01","9,00","9,01","9,00"
,"9,01","9,01","6,35","9,00","7,82","9,00"
,"9,01","9,01","9,01","9,03","3,05","9,03"
,"9,02","9,02","6,32","8,35","9,01","9,01"
,"9,01","9,00","6,30","9,02","9,01","9,00"
,"9,00","5,02","8,72","3,42","9,00","7,75"
,"6,18","5,32","7,73","9,00","5,54","6,90"
,"9,01","9,01","8,48","3,19","9,03","9,01"
,"9,01","9,01","6,62","5,05","7,50","9,01"
,"9,01","9,00","8,75","2,53","9,00","9,01"
