,PR ,PBA ,PG,PRA ,PRB ,PRD
,"0,75","0,75","0,80","0,61","0,57","0,88"
,"0,74","0,78","0,82","0,52","0,79","0,84"
,"0,83","0,71","0,79","0,58","0,72","0,96"
,"0,79","0,52","0,88","0,62","0,6","0,96"
,"0,81","0,78","0,72","0,53","0,71","0,96"
,"0,70","0,81","0,67","0,51","0,75","0,97"
,"0,82","0,78","0,90","0,44","0,51","0,86"
,"0,76","0,71","0,69","0,37","0,74","0,66"
,"0,73","0,81","0,50","0,49","0,78","0,89"
,"0,76","0,76","0,79","0,54","0,56","0,86"
,"0,80","0,74","0,58","0,61","0,8","0,83"
,"0,75","0,74","0,84","0,54","0,79","0,92"
,"0,77","0,73","0,22","0,61","0,68","0,95"
,"0,68","0,73","0,83","0,52","0,78","0,84"
,"0,72","0,68","0,78","0,07","0,78","0,85"
,"0,80","0,77","0,75","0,43","0,72","0,89"
,"0,78","0,78","0,83","0,50","0,67","0,85"
,"0,82","0,78","0,88","0,61","0,77","0,82"
,"0,75","0,75","0,82","0,29","0,72","0,90"
,"0,77","0,74","0,84","0,60","0,75","0,86"
,"0,78","0,80","0,87","0,53","0,74","0,93"
,"0,71","0,72","0,83","0,54","0,74","0,94"
,"0,79","0,82","0,87","0,61","0,78","0,81"
,"0,71","0,79","0,48","0,52","0,79","0,91"
,"0,80","0,78","0,84","0,54","0,75","0,82"
,"0,78","0,78","0,73","0,57","0,75","0,92"
,"0,76","0,82","0,89","0,59","0,79","0,92"
,"0,80","0,77","0,75","0,53","0,8","0,84"
,"0,84","0,80","0,76","0,54","0,85","0,74"
,"0,76","0,61","0,70","0,57","0,57","0,94"
,"0,73","0,70","0,68","0,59","0,71","0,96"
,"0,71","0,73","0,77","0,55","0,81","0,85"
,"0,59","0,44","0,74","0,58","0,71","0,89"
,"0,81","0,78","0,82","0,45","0,79","0,96"
,"0,76","0,78","0,79","0,48","0,76","0,88"
,"0,86","0,82","0,79","0,54","0,75","0,87"
,"0,70","0,75","0,69","0,57","0,44","0,83"
,"0,76","0,74","0,90","0,58","0,79","0,86"
,"0,83","0,78","0,76","0,54","0,76","0,92"
,"0,78","0,74","0,84","0,49","0,13","0,87"
,"0,74","0,75","0,86","0,60","0,68","0,85"
,"0,66","0,77","0,87","0,59","0,6","0,94"
,"0,72","0,81","0,87","0,41","0,82","0,95"
,"0,74","0,72","0,80","0,52","0,77","0,82"
,"0,80","0,78","0,86","0,51","0,86","0,96"
,"0,77","0,75","0,71","0,61","0,78","0,88"
,"0,72","0,76","0,74","0,52","0,67","0,60"
,"0,77","0,80","0,86","0,60","0,74","0,90"
,"0,78","0,77","0,87","0,47","0,73","0,86"
,"0,80","0,72","0,73","0,55","0,8","0,88"
,"0,63","0,76","0,74","0,63","0,78","0,84"
,"0,81","0,79","0,84","0,55","0,71","0,80"
,"0,76","0,84","0,70","0,58","0,82","0,91"
,"0,77","0,70","0,79","0,55","0,73","0,86"
,"0,79","0,78","0,76","0,52","0,74","0,70"
,"0,83","0,82","0,84","0,55","0,74","0,86"
,"0,75","0,72","0,82","0,52","0,74","0,89"
,"0,79","0,79","0,78","0,54","0,71","0,91"
,"0,79","0,75","0,83","0,54","0,65","0,87"
,"0,81","0,75","0,83","0,56","0,78","0,92"
,"0,84","0,76","0,86","0,55","0,82","0,87"
,"0,75","0,84","0,72","0,55","0,76","0,95"
,"0,78","0,72","0,78","0,50","0,75","0,82"
,"0,86","0,80","0,65","0,51","0,79","0,76"
,"0,69","0,10","0,88","0,52","0,69","0,82"
,"0,64","0,80","0,77","0,53","0,75","0,86"
,"0,80","0,80","0,84","0,56","0,82","0,82"
,"0,82","0,73","0,68","0,40","0,64","0,83"
,"0,75","0,76","0,78","0,56","0,71","0,95"
,"0,75","0,76","0,85","0,53","0,75","0,86"
,"0,83","0,81","0,78","0,55","0,77","0,92"
,"0,76","0,84","0,81","0,46","0,73","0,86"
,"0,76","0,76","0,80","0,57","0,86","0,93"
,"0,76","0,68","0,53","0,57","0,77","0,92"
,"0,86","0,79","0,89","0,54","0,72","0,93"
,"0,76","0,79","0,75","0,61","0,75","0,78"
,"0,85","0,82","0,81","0,55","0,74","0,81"
,"0,82","0,81","0,64","0,64","0,77","0,92"
,"0,74","0,77","0,86","0,41","0,65","0,81"
,"0,79","0,72","0,83","0,56","0,78","0,92"
,"0,79","0,85","0,74","0,57","0,35","0,85"
,"0,78","0,83","0,62","0,50","0,74","0,91"
,"0,81","0,78","0,83","0,53","0,69","0,89"
,"0,72","0,73","0,88","0,58","0,74","0,90"
,"0,78","0,80","0,75","0,54","0,59","0,80"
,"0,84","0,72","0,70","0,62","0,79","0,92"
,"0,80","0,76","0,61","0,58","0,77","0,85"
,"0,75","0,72","0,73","0,55","0,82","0,74"
,"0,77","0,77","0,80","0,63","0,52","0,90"
,"0,83","0,81","0,82","0,58","0,77","0,94"
,"0,86","0,79","0,84","0,51","0,75","0,89"
,"0,77","0,81","0,80","0,51","0,7","0,80"
,"0,73","0,74","0,75","0,53","0,7","0,94"
,"0,79","0,84","0,78","0,57","0,81","0,85"
,"0,87","0,77","0,71","0,59","0,76","0,92"
,"0,81","0,72","0,84","0,39","0,77","0,96"
,"0,70","0,71","0,83","0,55","0,74","0,80"
,"0,77","0,82","0,86","0,35","0,81","0,90"
,"0,78","0,81","0,77","0,47","0,78","0,81"
,"0,74","0,84","0,84","0,31","0,81","0,94"
