PR ,PBA ,PG,PRA ,PRB ,PRD
"9,02","6,12","9,01","1,52","7,57","9,02"
"7,82","5,99","9,02","1,05","9,02","9,02"
"9,01","4,23","9,00","7,36","9,05","9,00"
"7,92","9,03","9,00","8,31","9,02","9,01"
"9,02","9,00","9,02","1,04","7,63","4,90"
"8,80","9,01","9,01","7,80","9,02","9,00"
"6,62","1,40","9,01","1,13","6,16","8,05"
"8,07","5,42","9,00","9,00","5,94","9,01"
"5,71","6,30","9,02","6,58","8,11","9,01"
"5,91","4,69","0,55","9,01","9,01","9,02"
"9,03","5,60","9,01","1,35","9,03","8,76"
"9,01","6,77","9,01","1,00","9,05","9,02"
"3,40","9,02","9,03","1,77","9,01","9,02"
"3,74","7,84","8,77","3,30","9,01","9,02"
"9,02","6,53","9,02","8,57","8,39","9,03"
"9,02","9,01","2,66","8,22","7,81","9,01"
"1,42","8,90","8,72","8,76","9,01","9,01"
"4,59","5,90","9,00","2,81","9,01","9,03"
"3,95","5,92","9,01","0,87","9,02","9,01"
"4,63","5,03","9,03","8,81","9,03","9,01"
"8,57","-0,21","0,29","1,38","9,04","7,32"
"9,01","8,63","9,02","1,53","7,92","9,02"
"1,03","9,01","9,02","8,19","6,06","9,04"
"8,68","0,02","8,16","8,33","9,03","9,00"
"8,63","1,64","9,01","1,59","9,00","9,01"
"6,61","8,62","9,03","2,06","9,02","9,00"
"6,23","6,00","9,01","9,01","1,94","9,02"
"9,01","6,12","9,02","2,10","9,02","9,03"
"9,02","5,74","9,03","0,81","9,00","4,95"
"6,21","8,02","9,02","8,76","9,01","9,01"
"3,80","5,16","8,85","0,38","9,02","9,00"
"5,19","6,96","9,03","1,05","9,04","9,04"
"9,03","4,69","8,88","8,88","9,04","9,00"
"9,02","9,01","9,01","9,03","9,02","5,77"
"6,66","9,03","9,01","1,50","9,03","9,04"
"9,03","8,92","9,01","2,79","9,00","9,00"
"9,02","6,79","9,01","1,01","9,00","9,03"
"9,01","0,76","8,34","1,11","9,04","9,01"
"8,29","5,86","9,01","8,05","8,88","7,58"
"7,35","-0,13","9,04","0,77","9,01","9,01"
"9,01","9,02","9,02","1,13","4,53","9,04"
"8,95","6,50","8,11","0,59","6,66","9,04"
"5,35","9,01","9,01","1,25","9,01","9,03"
"7,85","4,19","9,03","0,70","9,00","9,01"
"9,01","0,43","9,00","0,74","9,02","9,01"
"9,03","5,91","9,00","0,87","9,02","4,42"
"5,25","0,26","9,02","2,03","9,03","9,01"
"9,01","9,03","9,02","0,76","9,03","8,89"
"9,00","9,02","8,52","2,13","9,01","9,01"
"9,01","0,01","9,03","2,62","9,01","9,03"
"9,01","6,81","8,51","1,22","9,01","9,01"
"5,39","4,15","5,40","6,73","9,04","8,84"
"9,01","5,14","9,02","6,71","9,00","9,02"
"9,01","0,34","9,02","0,42","9,01","9,00"
"4,83","7,41","9,02","2,29","8,66","6,70"
"6,95","5,86","7,55","1,02","9,03","9,03"
"5,36","3,37","9,03","0,61","8,84","9,02"
"5,34","6,85","9,00","7,01","9,03","9,00"
"9,00","0,55","9,00","5,79","9,02","9,02"
"9,01","9,01","9,04","1,63","9,00","9,02"
"9,03","5,17","9,02","0,95","9,02","9,03"
"9,02","9,04","8,95","3,50","9,00","9,01"
"1,82","5,48","6,92","8,04","9,03","9,03"
"9,01","8,04","9,00","1,74","9,00","6,38"
"9,01","9,04","9,02","1,15","9,01","9,02"
"9,00","0,54","9,03","4,36","9,03","9,01"
"9,02","6,18","9,01","9,04","9,00","9,02"
"6,17","9,01","9,04","8,59","9,02","9,02"
"8,09","-0,06","9,03","1,61","9,03","9,01"
"9,02","5,92","9,01","1,59","9,03","9,03"
"7,74","6,21","9,02","0,93","8,58","9,01"
"9,01","9,03","9,01","0,58","8,33","8,43"
"6,58","4,86","9,01","1,82","9,00","9,03"
"8,58","0,11","9,00","9,00","8,92","9,01"
"8,15","0,65","9,00","8,40","4,07","9,01"
"9,02","7,94","8,67","0,05","9,01","9,01"
"9,00","9,03","9,01","1,61","9,02","8,85"
"9,02","0,43","9,02","1,01","9,01","9,03"
"9,01","5,62","9,02","5,77","9,02","9,04"
"9,01","0,38","9,01","9,01","9,00","9,02"
"8,34","0,18","9,01","5,60","9,01","9,02"
"9,01","4,58","9,01","1,17","9,01","9,01"
"9,00","3,65","9,03","1,13","3,64","9,05"
"4,62","-0,30","2,10","1,85","9,02","9,02"
"9,02","0,14","7,56","7,28","9,01","9,04"
"9,02","3,43","9,01","8,51","8,87","9,02"
"9,01","5,98","9,00","1,64","3,74","9,01"
"9,00","5,22","9,00","6,67","9,01","9,01"
"9,02","9,02","9,01","1,75","9,01","9,01"
"9,02","9,03","9,02","7,30","8,98","9,00"
"7,02","6,69","9,03","0,43","9,02","9,02"
"6,31","9,00","8,14","2,27","9,01","9,02"
"9,01","-0,12","9,03","1,24","8,57","9,04"
"9,03","6,72","9,01","-0,21","9,03","9,00"
"9,00","6,49","9,01","1,37","8,37","9,00"
"7,93","5,96","9,04","5,95","6,66","9,00"
"7,86","9,02","9,01","2,71","9,02","9,01"
"6,15","8,33","9,00","1,56","9,00","9,01"
"9,01","-0,04","7,70","8,05","9,01","9,01"
"5,35","9,03","8,59","9,00","9,01","9,02"
