PR ,PBA ,PG,PRA ,PRB ,PRD
"11,40","9,10","10,03","7,07","9,77","9,67"
"10,60","7,20","10,27","18,20","10,40","9,77"
"11,40","6,03","10,43","16,47","10,60","10,13"
"10,23","12,47","9,33","17,53","9,63","9,80"
"11,83","10,80","9,37","10,43","8,70","6,37"
"11,50","10,27","9,93","17,37","9,87","10,23"
"9,70","3,03","9,23","12,10","7,03","9,03"
"10,33","7,40","10,30","14,97","7,10","10,17"
"7,73","8,53","9,77","13,20","10,57","9,20"
"8,40","6,50","1,63","17,33","10,27","9,80"
"11,43","8,33","9,23","11,53","11,03","9,03"
"11,57","8,53","9,70","2,63","10,80","8,77"
"5,03","12,23","9,60","9,10","9,93","9,17"
"4,63","10,50","10,30","8,00","9,80","10,03"
"10,50","8,13","9,53","17,70","9,80","9,90"
"11,17","10,43","4,67","16,90","9,23","9,33"
"2,63","10,00","9,80","15,20","10,17","9,43"
"6,63","8,03","10,07","5,33","9,83","9,50"
"5,67","8,57","10,00","8,47","11,73","9,30"
"7,47","8,37","8,77","21,10","10,37","9,83"
"11,70","3,17","2,37","8,97","10,37","8,67"
"11,77","12,40","9,33","7,67","8,57","9,67"
"2,80","11,47","10,43","16,60","7,50","10,13"
"12,47","2,73","9,57","16,10","10,93","9,87"
"10,30","3,83","10,13","8,50","10,20","10,57"
"8,53","11,00","9,73","25,00","10,57","9,43"
"9,10","9,17","9,63","18,57","5,07","10,00"
"11,40","8,70","9,07","25,00","10,17","9,40"
"11,00","6,93","9,60","6,37","10,30","6,70"
"7,67","10,00","9,33","12,50","9,80","9,40"
"4,97","8,27","9,57","25,00","10,10","9,77"
"6,93","11,57","9,67","1,47","9,90","9,13"
"11,33","6,83","10,33","12,83","9,63","10,00"
"10,73","10,57","9,60","19,93","10,17","6,93"
"9,37","9,77","10,77","5,43","10,07","9,20"
"10,23","11,27","9,23","7,70","10,00","10,00"
"11,10","8,67","9,83","14,23","9,77","10,20"
"11,23","2,33","10,70","13,03","10,73","9,83"
"10,50","8,67","9,53","23,10","10,37","9,03"
"9,93","4,70","9,90","21,87","10,47","9,63"
"11,17","11,13","10,03","17,03","6,17","9,63"
"12,70","8,27","11,77","25,00","7,83","8,93"
"7,20","9,93","9,87","1,70","10,07","10,93"
"10,20","6,97","9,23","7,60","9,67","9,77"
"11,97","3,87","9,87","8,70","10,17","10,23"
"11,27","8,50","9,40","12,03","10,30","5,87"
"7,47","3,43","9,40","6,27","10,60","9,27"
"10,83","10,53","9,60","25,00","9,90","9,33"
"11,77","10,93","10,50","6,50","9,83","9,20"
"11,97","2,43","9,60","6,17","9,97","9,33"
"10,73","9,27","10,17","25,00","10,20","10,03"
"6,90","5,87","6,80","14,80","10,60","9,97"
"10,80","7,17","10,17","23,97","10,63","9,70"
"11,77","2,73","10,07","25,00","10,33","9,20"
"6,10","10,40","8,97","5,63","10,17","7,37"
"8,70","7,63","9,50","1,60","10,40","9,53"
"7,33","4,97","9,83","5,17","10,43","10,07"
"6,77","8,70","10,90","15,00","10,97","9,67"
"11,27","3,07","9,60","15,23","9,50","10,43"
"11,60","10,27","9,87","25,00","9,93","9,70"
"11,73","7,43","11,37","15,80","9,97","10,53"
"10,67","9,63","11,73","6,43","9,47","9,90"
"2,80","7,27","7,53","14,50","9,43","9,87"
"11,63","11,27","9,27","8,63","10,30","7,57"
"12,07","10,60","9,60","9,37","10,97","9,47"
"11,37","2,60","10,33","6,03","10,53","9,57"
"10,77","9,67","10,47","13,80","10,03","9,27"
"8,30","11,77","9,87","23,00","10,10","9,80"
"12,73","2,53","9,83","6,87","10,80","9,47"
"12,17","8,07","10,13","14,93","10,17","9,07"
"9,97","10,33","10,30","25,00","10,20","9,73"
"12,30","11,10","10,60","9,87","10,33","9,43"
"8,93","7,53","9,30","9,13","10,40","9,13"
"11,03","3,53","9,50","15,90","10,33","10,10"
"11,40","3,37","10,57","17,40","7,07","9,53"
"11,17","9,97","9,60","5,23","9,83","9,50"
"11,90","11,43","9,47","5,37","9,87","8,80"
"11,43","3,13","9,63","14,43","10,83","9,77"
"11,43","7,97","9,40","17,43","10,33","9,20"
"11,13","2,70","9,63","17,07","9,80","9,60"
"11,30","2,43","9,67","12,10","10,30","10,03"
"11,47","6,30","9,73","7,53","9,43","10,03"
"11,03","7,63","9,63","12,47","5,60","8,97"
"8,90","3,43","3,90","16,93","10,90","9,30"
"10,97","2,20","10,27","20,57","10,20","9,20"
"11,27","5,33","9,23","13,37","10,97","9,90"
"11,37","8,00","9,27","5,40","4,77","10,20"
"11,30","6,67","10,90","14,57","9,97","9,53"
"11,60","10,13","9,13","13,53","10,30","9,70"
"11,30","11,60","9,73","17,00","11,10","10,43"
"9,13","8,80","9,97","25,00","10,10","10,00"
"8,93","11,40","13,03","7,80","10,83","10,03"
"11,27","3,47","11,80","19,23","9,67","9,80"
"11,23","9,23","10,70","8,50","10,93","9,17"
"10,47","9,67","9,40","25,00","9,77","9,40"
"9,60","8,37","9,20","15,30","9,20","9,93"
"10,70","11,33","9,20","5,77","9,67","9,47"
"8,67","10,97","9,87","7,87","10,07","10,00"
"11,20","1,83","9,60","19,93","10,43","9,83"
"6,43","10,83","10,27","24,60","11,07","10,07"
