PR ,PBA ,PG,PRA ,PRB ,PRD
"0,79","0,67","0,90","0,22","0,78","0,93"
"0,74","0,83","0,88","0,06","0,87","0,92"
"0,79","0,70","0,86","0,45","0,85","0,89"
"0,77","0,72","0,96","0,47","0,94","0,92"
"0,76","0,83","0,96","0,10","0,88","0,77"
"0,76","0,88","0,91","0,45","0,91","0,88"
"0,68","0,46","0,98","0,09","0,88","0,89"
"0,78","0,73","0,87","0,60","0,84","0,89"
"0,74","0,74","0,92","0,50","0,77","0,98"
"0,70","0,72","0,34","0,52","0,88","0,92"
"0,79","0,67","0,98","0,12","0,82","0,97"
"0,78","0,79","0,93","0,38","0,84","1,03"
"0,68","0,74","0,94","0,19","0,91","0,98"
"0,81","0,75","0,85","0,41","0,92","0,90"
"0,86","0,80","0,95","0,48","0,86","0,91"
"0,81","0,86","0,57","0,49","0,85","0,97"
"0,54","0,89","0,89","0,58","0,89","0,96"
"0,69","0,73","0,89","0,53","0,92","0,95"
"0,70","0,69","0,90","0,10","0,77","0,97"
"0,62","0,60","1,03","0,42","0,87","0,92"
"0,73","-0,07","0,12","0,15","0,87","0,84"
"0,77","0,70","0,97","0,20","0,92","0,93"
"0,37","0,79","0,86","0,49","0,81","0,89"
"0,70","0,01","0,85","0,52","0,83","0,91"
"0,84","0,43","0,89","0,19","0,88","0,85"
"0,77","0,78","0,93","0,08","0,85","0,95"
"0,68","0,65","0,94","0,49","0,38","0,90"
"0,79","0,70","0,99","0,08","0,89","0,96"
"0,82","0,83","0,94","0,13","0,87","0,74"
"0,81","0,80","0,97","0,70","0,92","0,96"
"0,77","0,62","0,92","0,02","0,89","0,92"
"0,75","0,60","0,93","0,72","0,91","0,99"
"0,80","0,69","0,86","0,69","0,94","0,90"
"0,84","0,85","0,94","0,45","0,89","0,83"
"0,71","0,92","0,84","0,28","0,90","0,98"
"0,88","0,79","0,98","0,36","0,90","0,90"
"0,81","0,78","0,92","0,07","0,92","0,89"
"0,80","0,33","0,78","0,09","0,84","0,92"
"0,79","0,68","0,95","0,35","0,86","0,84"
"0,74","-0,03","0,91","0,04","0,86","0,94"
"0,81","0,81","0,90","0,07","0,73","0,94"
"0,70","0,79","0,69","0,02","0,85","1,01"
"0,74","0,91","0,91","0,74","0,89","0,83"
"0,77","0,60","0,98","0,09","0,93","0,92"
"0,75","0,11","0,91","0,08","0,89","0,88"
"0,80","0,70","0,96","0,07","0,88","0,75"
"0,70","0,07","0,96","0,32","0,85","0,97"
"0,83","0,86","0,94","0,03","0,91","0,95"
"0,77","0,82","0,81","0,33","0,92","0,98"
"0,75","0,00","0,94","0,43","0,90","0,97"
"0,84","0,73","0,84","0,05","0,88","0,90"
"0,78","0,71","0,79","0,45","0,85","0,89"
"0,83","0,72","0,89","0,28","0,85","0,93"
"0,77","0,12","0,90","0,02","0,87","0,98"
"0,79","0,71","1,01","0,41","0,85","0,91"
"0,80","0,77","0,79","0,64","0,87","0,95"
"0,73","0,68","0,92","0,12","0,85","0,90"
"0,79","0,79","0,83","0,47","0,82","0,93"
"0,80","0,18","0,94","0,38","0,95","0,86"
"0,78","0,88","0,92","0,07","0,91","0,93"
"0,77","0,70","0,79","0,06","0,90","0,86"
"0,85","0,94","0,76","0,54","0,95","0,91"
"0,65","0,75","0,92","0,55","0,96","0,92"
"0,77","0,71","0,97","0,20","0,87","0,84"
"0,75","0,85","0,94","0,12","0,82","0,95"
"0,79","0,21","0,87","0,72","0,86","0,94"
"0,84","0,64","0,86","0,65","0,90","0,97"
"0,74","0,77","0,92","0,37","0,89","0,92"
"0,64","-0,02","0,92","0,23","0,84","0,95"
"0,74","0,73","0,89","0,11","0,89","1,00"
"0,78","0,60","0,88","0,04","0,84","0,93"
"0,73","0,81","0,85","0,06","0,81","0,89"
"0,74","0,65","0,97","0,20","0,87","0,99"
"0,78","0,03","0,95","0,57","0,86","0,89"
"0,71","0,19","0,85","0,48","0,58","0,94"
"0,81","0,80","0,90","0,01","0,92","0,95"
"0,76","0,79","0,95","0,30","0,91","1,01"
"0,79","0,14","0,94","0,07","0,83","0,92"
"0,79","0,71","0,96","0,33","0,87","0,98"
"0,81","0,14","0,94","0,53","0,92","0,94"
"0,74","0,07","0,93","0,46","0,88","0,90"
"0,79","0,73","0,93","0,16","0,96","0,90"
"0,82","0,48","0,94","0,09","0,65","1,01"
"0,52","-0,09","0,54","0,11","0,83","0,97"
"0,82","0,06","0,74","0,35","0,88","0,98"
"0,80","0,64","0,98","0,64","0,81","0,91"
"0,79","0,75","0,97","0,30","0,78","0,88"
"0,80","0,78","0,83","0,46","0,90","0,94"
"0,78","0,89","0,99","0,13","0,88","0,93"
"0,80","0,78","0,93","0,43","0,81","0,86"
"0,77","0,76","0,91","0,02","0,89","0,90"
"0,71","0,79","0,62","0,29","0,83","0,90"
"0,80","-0,04","0,76","0,06","0,89","0,92"
"0,80","0,73","0,84","-0,02","0,83","0,98"
"0,86","0,67","0,96","0,05","0,86","0,96"
"0,83","0,71","0,98","0,39","0,72","0,91"
"0,73","0,80","0,98","0,47","0,93","0,95"
"0,71","0,76","0,91","0,20","0,89","0,90"
"0,80","-0,02","0,80","0,40","0,86","0,92"
"0,83","0,83","0,84","0,37","0,81","0,90"
