"Categoria","Total_Episodios","Primeiro_Episodio_9m","Total_Passos","Passos_Ate_9m","Passos_Ate_Estabilizar","Passos_Apos_9m","Media_Distancia","Desvio_Padrao_Distancia","Maior_Recompensa","Tempo_Total_Treinamento","Melhor_Tempo_9m","Sucessos_9m","Percentual_Sucessos_Pos_9m","Velocidade_Media_Sucessos","Eficiencia_RP","Eficiencia_DP","Eficiencia_VT"
"CC",14433,8783,2617414,929053,500000,1688361,3041,3075,11937917,87247113,"8,4",1659,"29,345",758,13526,17,505
"CC_PG",2406,9787,425386,193336,425386,232050,3111,3047,11481224,14179535,"9,233",239,"30,749",829,15217,18,536
"CC_PRA",2406,10112,475986,225436,475986,250550,2249,2624,11898114,15866206,"13,167",126,"17,5",560,6940,11,341
"CC_PRB",2406,9531,442495,189432,442495,253063,3157,3164,11878441,14749838,"10,2",331,"40,392",738,16256,18,550
"CC_PRD",2405,9742,397122,189728,397122,207394,3413,3191,11360033,13237374,"8,4",333,"42,51",867,19753,22,661
"CC_PR",2405,8783,439152,154136,439152,285016,3141,3113,11937917,14638402,"9,833",306,"32,412",739,14265,17,518
"CC_PBA",2405,9828,437273,202934,437273,234339,3175,3147,11789009,14575758,"9,733",324,"42,112",755,16682,18,552
"PBA",11316,7694,1734396,793099,500000,941297,2337,2844,12578759,57813201,"8,767",729,"20,099",838,13211,16,486
"PG",12680,10466,1860208,1206938,500000,653270,2615,2716,11026318,62006938,"8,367",940,"42,412",890,16097,19,573
"PR",11859,8285,1813849,788292,500000,1025557,2280,3038,12011441,60461650,"9,2",1097,"30,666",797,15197,18,529
"PRA",10074,7749,1651792,948755,500000,703037,1965,2588,11464976,55059753,"9,7",513,"22,022",719,9059,13,397
"PRB",12542,8593,2074511,940445,500000,1134066,3136,3261,11519978,69150337,"8,733",1899,"48,063",814,20529,22,658
"PRD",16031,9539,2662273,1073641,500000,1588632,3660,3353,11431300,88742384,"8,533",2887,"44,455",872,22920,24,722
